name,value_known,value_curve_ref,value_default,value_unresolved_reason,table,source,note,provenance_origin,provenance_dev_name,provenance_source,provenance_source_authority
ArmorSetBonus.Quickplay.HasteBonus,0.2,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.Quickplay.SpiritBonus,0.2,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.SpiritBonus.SpiritIncrease,0.04,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.TargetLowHealthDamageBonus.DamageScaler,1.1,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.ThreatDecrease.ThreatScaler,0.85,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.ThreatIncrease.ThreatScaler,1.15,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
Artifact.02.CheatDeath.ActivationBuff.AdditionalLifeSteal,0.3,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.02.CheatDeath.ActivationBuff.Duration,6.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.02.CheatDeath.Cooldown,300.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.02.CheatDeath.MaxHealthHeal,0.3,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.02.LifeBreaker.Cooldown,45.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.02.LifeBreaker.DebuffDuration,6.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.02.LifeBreaker.SacrificeMaxHealthAsDamage,0.25,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.02.LifeBreaker.Tier4DamageBonus,0.3,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.02.MainBuff.AddedLifeSteal,0.1,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.02.MainBuff.MaxHealthMultiplier,1.15,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.07.MeditativeBreathing.BonusManaRegenRateMultiplier,0.01,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.07.MeditativeBreathing.ChanceToApply,0.1,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.07.MeditativeBreathing.ChanceToApply.Tier4,0.2,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.07.MeditativeBreathing.Duration,6.15,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.07.MeditativeBreathing.ManaPercentageThreshhold.Tier4,0.3,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.07.WogonsSigal.HealReplicationFraction.Base,0.3,,,,AbilityConstants,base,30% of healing is replicated to target(s),datamine,,,producer_bound
Artifact.07.WogonsSigal.HealReplicationFraction.Tier3,0.33,,,,AbilityConstants,base,no longer used,datamine,,,producer_bound
Artifact.07.WogonsSigal.IncomingHealMultiplierBonus.Tier3,1.1,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.07.WogonsSigal.Tier4SecondTargetFalloffDuration,10.0,,,,AbilityConstants,base,No longer used stays on the older target for 10 seconds,datamine,,,producer_bound
Artifact.4.Ability.IntellectCoefficient,10.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.4.SoulFragment.CritChance.Duration,8.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.4.SoulFragment.CritChance.Magnitude,0.25,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.4.SoulFragment.DamageTimeout,30.0,,,,AbilityConstants,base,The time window in seconds between you have made damage until the die where sould fragment should be spawned.,datamine,,,producer_bound
Artifact.4.SoulFragment.DropChance,0.2,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.4.SoulFragment.Haste,0.01,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.4.SoulFragment.LifeTime,30.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.6.CascadingStars.Cooldown,120.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.6.CascadingStars.Duration,15.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.6.CascadingStars.Period,0.5,,,,AbilityConstants,base,Each period spawns a star on a random character around you,datamine,,,producer_bound
Artifact.6.FallingStar.DamageRadius,150.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.6.FallingStar.IntellectCoefficient,0.08,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.6.FallingStar.Rank3CriticalStrikeChance,0.1,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.6.FallingStar.Spread,0.4,,,,AbilityConstants,base,,datamine,,,producer_bound
Artifact.6.StarCallerBuff.CritChanceBonusPerStack,0.0025,,,,AbilityConstants,base,0.3% per stack,datamine,,,producer_bound
Artifact.6.StarCallerBuff.CritDamageBonusPerStack,0.005,,,,AbilityConstants,base,0.3% per stack,datamine,,,producer_bound
Artifact.6.StarCallerBuff.Duration,6.0,,,,AbilityConstants,base,,datamine,,,producer_bound
Ascensions.DispelAndInterrupt.HeroBuff.DamageAndHealingScaler,1.0,,,,AbilityConstants,base,"""Elheryn's Exile""",datamine,,,producer_bound
Ascensions.EnemyNewAbilities.ThisIsAFakeEntrySinceWeHandleThisInAIBC,0.0,,,,AbilityConstants,base,"""Vayr's Legacy"" unlocked diff 3 - new",datamine,,,producer_bound
Ascensions.LessMagicDamageTakenLessHealing.IncomingHealthMultiplier,1.0,,,,AbilityConstants,base,"""Celestia's Retreat""",datamine,,,producer_bound
Ascensions.LessMagicDamageTakenLessHealing.MagicDamageTaken,1.0,,,,AbilityConstants,base,"""Celestia's Retreat"" unlocked diff 5 -  old name - ""Dampen Magic"" MoreHealthLessHealing in files",datamine,,,producer_bound
Ascensions.NoDispelNoInterrupt.Scaler,1.0,,,,AbilityConstants,base,"""Elheryn's Exile"" - unlocked diff 2 - old name ""Counterspell"" (yes this key should be renamed)",datamine,,,producer_bound
Ascensions.ReducedHealingAndAbsorb.WhenNotApplied.AbsorbScaler,1.0,,,,AbilityConstants,base,"NOTE! THIS CORRESPONDS TO THE ""25% REDUCED HEALING"" THAT IS PLAYER-FACING! (SO IF YOU TUNE THIS YOU NEED TO UPDATE THE ASCENSION DESC TO BE ""1 / [your value]"")",datamine,,,producer_bound
Ascensions.ReducedHealingAndAbsorb.WhenNotApplied.HealScaler,1.0,,,,AbilityConstants,base,"NOTE! THIS CORRESPONDS TO THE ""25% REDUCED HEALING"" THAT IS PLAYER-FACING! (SO IF YOU TUNE THIS YOU NEED TO UPDATE THE ASCENSION DESC TO BE ""1 / [your value]"")",datamine,,,producer_bound
Ascensions.ThreatManagement.HeroBuff.CritRatingIncrease,0.0,,,,AbilityConstants,base,"""Sahril's Madness"" - unlocked diff 1 - old name ""Aggression""",datamine,,,producer_bound
Ascensions.ThreatManagement.NonTank.DamageThreatMultiplier,1.0,,,,AbilityConstants,base,"""Sahril's Madness""",datamine,,,producer_bound
Ascensions.ThreatManagement.NonTank.HealThreatMultiplier,1.0,,,,AbilityConstants,base,"""Sahril's Madness""",datamine,,,producer_bound
Ascensions.TimerKillScore.HeroBuff.HasteRatingIncrease,0.0,,,,AbilityConstants,base,"""Asha's Dilemma"" - unlocked diff 4 - old name ""Strategy""",datamine,,,producer_bound
BloodShardVolley.DamageMaxHealthFactor,0.007,,,,DungeonModifiers,base,,datamine,,,producer_bound
BloodShardVolley.HeroBuff.CooldownReductionIncrease,0.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
BloodShardVolley.TargetingRange,6000.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
Boss.GlobalCooldown,1.5,,,,AbilityConstants,base,applied for most bosses it seems?,datamine,,,producer_bound
Bowguy.AimSlow.MovementMultiplier,0.5,,,,AC_Hero_Bowguy,base,The movementspeed he gets when casting or channeling (aiming),datamine,,,producer_bound
Bowguy.AoeProjectileDamage.AgilityCoefficient,3.7191,,,,AC_Hero_Bowguy,base,was 2.6565,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.CleaveAngel,100.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.Cost,20.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.DamageBounceSelfBuff.CooldownReductionInSeconds,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.DamageBounceSelfBuff.MinTargetsForCooldownReduction,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.MaxRadius,600.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.Proc.DamageMultiplier,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.Talent.CooldownReduction.CooldownReductionInSeconds,1.5,,,,AC_Hero_Bowguy,base,was 0.3,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.Talent.CooldownReduction.MaxCooldownReductionPerActivation,3.0,,,,AC_Hero_Bowguy,base,disabled - now done per cast,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.Talent.CooldownReductionEmpowered.CooldownReductionInSeconds,3.0,,,,AC_Hero_Bowguy,base,empowered multishot magnitude,datamine,,,producer_bound
Bowguy.AoeProjectileDamage.TargetCountThreshold,12.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedBouncyProjectileDamage.AgilityCoefficient,1.697,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedBouncyProjectileDamage.CastDuration,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedBouncyProjectileDamage.Cost,35.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedBouncyProjectileDamage.MaxSearchRadius,8000.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedBouncyProjectileDamage.ProjectileMaxSpeed,4000.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedFrontalConeAoe.AgilityCoefficient,1.3,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedFrontalConeAoe.CastDuration,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedFrontalConeAoe.ConeAngleWidth,45.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedFrontalConeAoe.ConeMaxRadius,800.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedFrontalConeAoe.Cost,20.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedFrontalConeAoe.TargetCountThreshold,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedFrontalConeAoe.VisualDelayBetweenHits,0.05,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.AgilityCoefficient,1.6164,,,,AC_Hero_Bowguy,base,was 1.347,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.Buff.DamageMultiplier,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.Buff.MaxStacks,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.CastDuration,1.5,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.FocusGain,20.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.DamageBonus,1.2,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.MinNumOfProjectiles,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.NumOfStacks,1.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.ProcChance,0.2,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.Talent.Enhanced.DamageScaler,2.0,,,,AC_Hero_Bowguy,base,this bonus is currently on both Celestial Shot and Focused Shot,datamine,,,producer_bound
Bowguy.CastedProjectileDamage.Talent.Enhanced.ResourceGenerationScaler,0.5,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamageDebuff.AgilityCoefficient,7.76,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamageDebuff.CastDuration,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamageDebuff.Cooldown,30.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileDamageDebuff.Cost,35.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.AgilityCoefficient,13.6673,,,,AC_Hero_Bowguy,base,was 10.23 then 9.7185 then 14.09,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.BounceDamageMultiplierAfterFirstHit,0.5,,,,AC_Hero_Bowguy,base,was 0.70,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.CastDuration,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Cooldown,15.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Cost,30.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.MaxCharges,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.ChanceToHaveIncreasedCritChance.AddedCritChance,1.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.ChanceToHaveIncreasedCritChance.ProcChance,0.4,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.HitReducesCooldown.CooldownReductionInSeconds,0.5,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.IncreasedCooldown.AdditionalCooldownInSeconds,0.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.IncreasedIncomingDamageDebuff.Duration,9.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.IncreasedIncomingDamageDebuff.IncomingDamageMultiplier,1.08,,,,AC_Hero_Bowguy,base,was 1.10,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.IncreasedIncomingDamageDebuff.MaxStacks,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.InstantNoCooldownProc.DamageScaleWhenHittingInsantMarkTarget,1.5,,,,AC_Hero_Bowguy,base,was 1.50   now always active with proc,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.InstantNoCooldownProc.Duration,15.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.InstantNoCooldownProc.OffensiveAbility.ProcChance,0.05,,,,AC_Hero_Bowguy,base,was 0.05,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.InstantNoCooldownProc.ProcChance,0.5,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.NoBounceBuff.BuffDuration,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.NoBounceBuff.ExpertiseAdded,0.02,,,,AC_Hero_Bowguy,base,per stack,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.NoBounceBuff.MaxStacks,3.0,,,,AC_Hero_Bowguy,base,old,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.StacksMoreDamageAndBounces.DamageMultiplier,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.StacksMoreDamageAndBounces.MaxBounces,9.0,,,,AC_Hero_Bowguy,base,was 7.0,datamine,,,producer_bound
Bowguy.CastedProjectileHeavyDamage.Talent.StacksMoreDamageAndBounces.MaxStacks,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.AgilityCoefficient,1.305,,,,AC_Hero_Bowguy,base,was 1.2490,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.CastDuration,0.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.ChannelDuration,2.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Cooldown,20.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Cost,30.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.MaxRadiusFromTarget,1000.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.MaxTicks,10.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.SearchMaxAngle,320.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Talent.IncomingDamage.DamageMultiplier,1.4,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Talent.IncomingDamage.Duration,12.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Talent.IncreasedChannelDuration.Amount,0.5,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Talent.InstantMarkTargetOnlyAndChance.IncreasedChance,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Talent.ResetCooldownAndBuff.AdditionalDamagePerProjectile,0.1,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Talent.ResetCooldownAndBuff.BuffDuration,15.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Talent.Riccochet.AdditionalTargets,1.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Talent.Riccochet.DamageScale,0.7,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.Talent.SpiritProcResetAndBuff,0.5,,,,AC_Hero_Bowguy,base,was maybe sharing csv with RW before,datamine,,,producer_bound
Bowguy.ChanneledMultiProjectileDebuff.TickInterval,0.2,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChargedMoveWithDirection.AdditionalCastDelayAtEnd,0.3,,,,AC_Hero_Bowguy,base,The additional time it will take to finish a casting ability after this ability has ended,datamine,,,producer_bound
Bowguy.ChargedMoveWithDirection.ChargeTime,8.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChargedMoveWithDirection.InAirExitSpeed,1000.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChargedMoveWithDirection.MaxCharges,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChargedMoveWithDirection.MaxDistance,1000.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.ChargedMoveWithDirection.Speed,2500.0,,,,AC_Hero_Bowguy,base,takes 0.4s to move 1000u. Deliberately slower than Rimes and Meikos Dashes because this is a roll.,datamine,,,producer_bound
Bowguy.DamageBounceSelfBuff.Bounce.HitsForProc,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DamageBounceSelfBuff.Bounce.MaxRadiusBetweenTargets,1000.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DamageBounceSelfBuff.Bounce.MaxTargets,3.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DamageBounceSelfBuff.Cooldown,40.0,,,,AC_Hero_Bowguy,base,lunarlight mark cooldown,datamine,,,producer_bound
Bowguy.DamageBounceSelfBuff.Cost,20.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DamageBounceSelfBuff.DamageMultiplier,1.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DurationalAoeDamage.CastTime,1.5,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DurationalAoeDamage.Cost,100.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DurationalAoeDamage.Duration,12.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DurationalAoeDamage.MaxTargets,5.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DurationalAoeDamage.Radius,3000.0,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DurationalAoeDamage.RandomMaxApplicationDelay,1.29,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
Bowguy.DurationalAoeDamage.RandomMinApplicationDelay,0.21,,,,AC_Hero_Bowguy,base,,datamine,,,producer_bound
