hero,id,numeric_params_ordinal,kind,value
Rime,Talent.ID.Talent98,0,object,
Rime,Talent.ID.Talent98,1,number,2.0
Rime,Talent.ID.Talent99,0,object,
Rime,Talent.ID.Talent99,1,number,1.05
Vigor,Talent.ID.Talent1,0,object,
Vigor,Talent.ID.Talent1,1,number,0.25
Vigor,Talent.ID.Talent1,2,number,3000.0
Vigor,Talent.ID.Talent10,0,object,
Vigor,Talent.ID.Talent10,1,number,4.0
Vigor,Talent.ID.Talent16,0,object,
Vigor,Talent.ID.Talent16,1,number,1.25
Vigor,Talent.ID.Talent16,2,number,6.0
Vigor,Talent.ID.Talent16,3,number,1.0
Vigor,Talent.ID.Talent18,0,object,
Vigor,Talent.ID.Talent18,1,number,0.2
Vigor,Talent.ID.Talent2,0,object,
Vigor,Talent.ID.Talent2,1,number,5.0
Vigor,Talent.ID.Talent2,2,number,0.9
Vigor,Talent.ID.Talent2,3,number,0.5
Vigor,Talent.ID.Talent3,0,object,
Vigor,Talent.ID.Talent3,1,number,1500.0
Vigor,Talent.ID.Talent3,2,number,250.0
Vigor,Talent.ID.Talent3,3,number,0.16
Vigor,Talent.ID.Talent3,4,number,0.5
Vigor,Talent.ID.Talent4,0,object,
Vigor,Talent.ID.Talent4,1,number,0.5
Vigor,Talent.ID.Talent4,2,number,0.15
Vigor,Talent.ID.Talent6,0,object,
Vigor,Talent.ID.Talent6,1,number,12.0
Vigor,Talent.ID.Talent6,2,number,1.25
Vigor,Talent.ID.Talent6,3,number,0.02
Vigor,Talent.ID.Talent6,4,number,1.2
Vigor,Talent.ID.Talent6,5,number,0.2
Vigor,Talent.ID.Talent6,6,number,3.0
Vigor,Talent.ID.Talent7,0,object,
Vigor,Talent.ID.Talent7,1,number,0.2
Vigor,Talent.ID.Talent7,2,number,6000.0
Vigor,Talent.ID.Talent86,0,object,
Vigor,Talent.ID.Talent86,1,number,1.25
Vigor,Talent.ID.Talent86,2,number,6.0
Vigor,Talent.ID.Talent86,3,number,1.0
Vigor,Talent.ID.Talent87,0,object,
Vigor,Talent.ID.Talent87,1,number,1.2
Vigor,Talent.ID.Talent87,2,object,
Vigor,Talent.ID.Talent87,3,number,9.0
Vigor,Talent.ID.Talent87,4,number,0.1
Vigor,Talent.ID.Talent89,0,object,
Vigor,Talent.ID.Talent89,1,number,3.0
Vigor,Talent.ID.Talent89,2,number,1.2
Vigor,Talent.ID.Talent89,3,number,2.0
Vigor,Talent.ID.Talent89,4,number,0.6
Vigor,Talent.ID.Talent92,0,object,
Vigor,Talent.ID.Talent92,1,number,0.9
Vigor,Talent.ID.Talent94,0,object,
Vigor,Talent.ID.Talent94,1,number,1.0
Vigor,Talent.ID.Talent94,2,number,2.0
Vigor,Talent.ID.Talent96,0,object,
Vigor,Talent.ID.Talent96,1,number,1.0
Vigor,Talent.ID.Talent97,0,object,
Vigor,Talent.ID.Talent97,1,number,0.5
Vigor,Talent.ID.Talent97,2,number,3.0
Vigor,Talent.ID.Talent97,3,number,0.15
