id,mechanics_effects_ordinal,role,effect,activation
GA_Bowguy_ChanneledMultiProjectileDebuff_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_ChanneledMultiProjectileDebuff_C,3,Slow Effect,GE_Bowguy_AimSlow,baseline_candidate
GA_Bowguy_ChargedMoveWithDirection_C,0,Active Effect,GE_Bowguy_ChargedMoveWithDirection_Active,baseline_candidate
GA_Bowguy_ChargedMoveWithDirection_C,1,ChargeGameplayEffectClass,GE_Shared_ChargeCooldownNoHaste,baseline_candidate
GA_Bowguy_ChargedMoveWithDirection_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_DurationalAoeDamage_C,0,BuffEffectRef,GE_Bowguy_DurationalAoeDamage_Buff,baseline_candidate
GA_Bowguy_DurationalAoeDamage_C,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_DurationalAoeDamage_C,2,Slow Effect,GE_Bowguy_AimSlow,baseline_candidate
GA_Bowguy_InstantMarkTarget_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Bowguy_InstantMarkTarget_C,1,Debuff Effect Ref,GE_Bowguy_InstantMarkTarget_Debuff,baseline_candidate
GA_Bowguy_InstantMarkTarget_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_InstantSingleInterrupt_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_Static,baseline_candidate
GA_Bowguy_InstantSingleInterrupt_C,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,AoeDamageEffectRef,GE_Bowguy_InstantMarkTarget_AoeDamage,baseline_candidate
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,1,DamageEffectRef,GE_Bowguy_InstantMarkTarget_Damage,baseline_candidate
GA_Bowguy_ProcHasteBuff_C,0,Buff Effect,GE_Bowguy_ProcHasteBuff_Buff,baseline_candidate
GA_Bowguy_ProcHasteBuff_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Bowguy_ProcHasteBuff_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_RangedAutoAttack_C,0,HitEffectRef,GE_Bowguy_RangedAutoAttack_Damage,baseline_candidate
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,BuffEffectRef,GE_Bowguy_ReducedCostCooldownRecoveryBuff_SelfBuff,baseline_candidate
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,2,Slow Effect,GE_Bowguy_AimSlow,baseline_candidate
GA_Bowguy_SelfBuffForAoeProjectile_C,0,Buff Effect,GE_Bowguy_SelfBuffForAoeProjectile_SelfBuff,baseline_candidate
GA_Bowguy_SelfBuffForAoeProjectile_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Bowguy_SelfBuffForAoeProjectile_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_SelfDefenceBuff_C,0,BuffEffectRef,GE_Bowguy_SelfDefenceBuff_SelfBuff,baseline_candidate
GA_Bowguy_SelfDefenceBuff_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Bowguy_SelfDefenceBuff_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_SingleProjectileDamage_C,0,DamageEffectRef,GE_Bowguy_SingleProjectileDamage_Damage,baseline_candidate
GA_Bowguy_SingleProjectileDamage_C,1,InstantMarkDebuffRef,GE_Bowguy_InstantMarkTarget_Debuff,baseline_candidate
GA_Bowguy_SingleProjectileDamage_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_TargetedAoeDamage_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Bowguy_TargetedAoeDamage_C,1,Damage Effect,GE_Bowguy_TargetedAoeDamage_Damage,baseline_candidate
GA_Bowguy_TargetedAoeDamage_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_TargetedAoePull_C,0,ChargeGameplayEffectClass,GE_Shared_ChargeCooldownNoHaste,baseline_candidate
GA_Bowguy_TargetedAoePull_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Bowguy_TargetedAoePull_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_TargetedAoePull_C,3,Slow Effect,GE_Bowguy_TargetedAoePull_Slow,baseline_candidate
GA_Firemage_CastedDotBoostProjectile,0,EffectRef,GE_Firemage_CastedDotBoostProjectile_DamageAndDotBoost,baseline_candidate
GA_Firemage_CastedDotBoostProjectile,1,Talent InstantCastedSingleDot Proc Effect,GE_Firemage_InstantDoubleDot_Buff,talent_candidate
GA_Firemage_CastedDotBoostProjectile,2,TalentCastedDotBoostProjectileBonusBuffEffectRef,GE_Firemage_PlacedProjectileAoe_Talent_CastedDotBoostProjectileBonusBuff,talent_candidate
GA_Firemage_CastedDotDetonate,0,DetonationEffectRef,GE_Firemage_CastedDotDetonate_DetonationDebuff,baseline_candidate
GA_Firemage_CastedPlacedAoe,0,AoeImpactEffectRef,GE_Firemage_CastedPlacedAoe_Damage,baseline_candidate
GA_Firemage_CastedPlacedAoe,1,ChargeGameplayEffectClass,GE_Shared_ChargeCooldownNoHaste,baseline_candidate
GA_Firemage_CastedPlacedAoe,2,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Firemage_CastedPlacedAoe,3,TalentStunAndCooldownReductionEffectRef,GE_Firemage_Talent_CastedPlacedAoe_StunAndCooldownReduction_Stun,talent_candidate
GA_Firemage_CastedSingleHeavyDot_C,0,ChargeGameplayEffectClass,GE_Shared_ChargeCooldownNoHaste,baseline_candidate
GA_Firemage_CastedSingleHeavyDot_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Firemage_CastedSingleHeavyDot_C,2,DotEffectRef,GE_Firemage_CastedSingleHeavyDot_Dot,baseline_candidate
GA_Firemage_CastedSingleHeavyDot_C,3,TalentInstantProcExtraEffectRef,GE_Firemage_InstantSingleTargetDot_Dot,talent_candidate
GA_Firemage_CastedSingleHeavyDot_C,4,TalentInstantProcExtraWithTalentEffectRef,GE_Firemage_InstantSingleTargetDot_Dot_StackingBoostTalent,talent_candidate
GA_Firemage_CastedSingleHeavyDot_C,5,TalentInstantProcMainTargetBonusDirectDamageEffectRef,GE_Firemage_InstantDoubleDot_MainTargetBonus_Damage,talent_candidate
GA_Firemage_ChanneledForwardAoeDamage,0,Damage Effect,GE_Firemage_ChanneledForwardAoeDamage_Damage,baseline_candidate
GA_Firemage_ChanneledForwardAoeDamage,1,DotEffectRef,GE_Firemage_ChanneledForwardAoeDamage_Dot,baseline_candidate
GA_Firemage_DashForward,0,ChargeGameplayEffectClass,GE_Shared_ChargeCooldownNoHaste,baseline_candidate
GA_Firemage_DashForward,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Firemage_Firefrogs,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Firemage_Firefrogs,1,DamageEffectRef,GE_Firemage_FireFrog_DirectDamage,baseline_candidate
GA_Firemage_InstantDotSpread,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Firemage_InstantDotSpread,1,DotBonusEffectRef,GE_Firemage_InstantDotSpread_DotBonusBuff,baseline_candidate
GA_Firemage_InstantDotSpread,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Firemage_InstantMultiTargetDot_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Firemage_InstantMultiTargetDot_C,1,Dot Effect,GE_Firemage_CastedSingleHeavyDot_Dot,baseline_candidate
GA_Firemage_InstantMultiTargetDot_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Firemage_InstantSingleDisorient,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Firemage_InstantSingleDisorient,1,DamageEffectRef,GE_Firemage_InstantSingleDisorient_Damage,baseline_candidate
GA_Firemage_InstantSingleDisorient,2,DisorientEffectRef,GE_Firemage_InstantSingleDisorient_Debuff,baseline_candidate
GA_Firemage_InstantSingleDisorient,3,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Firemage_InstantSingleInterrupt,0,CooldownEffectBaseClass,GE_Shared_Cooldown_Static,baseline_candidate
GA_Firemage_Passive_FrogDamageMonitor,0,DamageEffectRef,GE_Firemage_FireFrog_DirectDamage,baseline_candidate
GA_Firemage_Passive_FrogDamageMonitor,1,DotEffectRef,GE_Firemage_FireFrog_Dot,baseline_candidate
GA_Firemage_Passive_PlacedProjectileAoeDamageMonitor_Dot,0,DamageEffectRef,GE_Firemage_PlacedProjectileAoe_DirectDamageBased_Dot,baseline_candidate
GA_Firemage_Passive_PlacedProjectileAoeDamageMonitor_Dot,1,DotEffectRef,GE_Firemage_PlacedProjectileAoe_DirectDamageBased_Dot,baseline_candidate
GA_Firemage_PlacedProjectileAoe,0,AoeImpactDotEffectRef,GE_Firemage_PlacedProjectileAoe_DirectDamageBased_Dot,baseline_candidate
GA_Firemage_PlacedProjectileAoe,1,AoeImpactEffectRef,GE_Firemage_PlacedProjectileAoe_Damage,baseline_candidate
GA_Firemage_PlacedProjectileAoe,2,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Firemage_SelfDefenceBuff,0,BuffEffectRef,GE_Firemage_SelfDefenceBuff_SelfBuff,baseline_candidate
GA_Firemage_SelfDefenceBuff,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Gunde_BasicSingleTargetAttack,0,HitEffectRef,GE_Gunde_BasicSingleTargetAttack_Damage,baseline_candidate
GA_Gunde_DamageReductionSelfBuff,0,BuffEffectRef,GE_Gunde_DamageReductionSelfBuff_SelfBuff,baseline_candidate
GA_Gunde_DamageReductionSelfBuff,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Gunde_DamageReductionSelfBuff,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Gunde_DashAttack,0,ChargeGameplayEffectClass,GE_Shared_ChargeCooldownNoHaste,baseline_candidate
GA_Gunde_DashAttack,1,Damage Effect,GE_Gunde_DashAttack_Damage,baseline_candidate
GA_Gunde_DashAttack,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Gunde_DotTransfer,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Gunde_DotTransfer,1,EffectRef,GE_Gunde_DotTransfer_SelfBuff,baseline_candidate
GA_Gunde_DotTransfer,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Gunde_DotTransfer,3,Talent DotTransfer InstantAoeWithBuff DamageAndOrbs ProcEffect,GE_Gunde_Talent_DotTransfer_InstantAoeWithBuff_DamageAndOrbs_Proc,talent_candidate
GA_Gunde_DurationalAoeDotAndBuff,0,Damage Effect,GE_Gunde_DurationalAoeDotAndBuff_Damage,baseline_candidate
GA_Gunde_DurationalAoeDotAndBuff,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Gunde_DurationalAoeDotAndBuff,2,Self Buff Effect,GE_Gunde_DurationalAoeDotAndBuff_SelfBuff,baseline_candidate
GA_Gunde_ExtraDotDamageBuff,0,BuffEffectRef,GE_Gunde_ExtraDotDamageBuff_SelfBuff,baseline_candidate
GA_Gunde_ExtraDotDamageBuff,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Gunde_ExtraDotDamageBuff,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Gunde_HeavyMeleeDotBased,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Gunde_HeavyMeleeDotBased,1,DotBonusDamageEffectRef,GE_Gunde_HeavyMeleeDotBased_DotBonusDamage,baseline_candidate
GA_Gunde_HeavyMeleeDotBased,2,EffectRef,GE_Gunde_HeavyMeleeDotBased_Damage,baseline_candidate
GA_Gunde_HeavyMeleeDotBoost,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Gunde_HeavyMeleeDotBoost,1,DebuffEffectRef,GE_Gunde_BoostedDotDamage_TargetDebuff,baseline_candidate
GA_Gunde_HeavyMeleeDotBoost,2,EffectRef,GE_Gunde_HeavyMeleeDotBoost_Damage,baseline_candidate
GA_Gunde_InstantAoeDot,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Gunde_InstantAoeDot,1,EffectRef,GE_Gunde_InstantAoeDot_Dot,baseline_candidate
GA_Gunde_InstantAoeWithBuff,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Gunde_InstantAoeWithBuff,1,DamageEffectRef,GE_Gunde_InstantAoeWithBuff_Damage,baseline_candidate
GA_Gunde_InstantAoeWithBuff,2,InstantAoeWithBuff AdditionalStack SelfBuffEffect,GE_Gunde_Talent_InstantAoeWithBuff_AdditionalStack_SelfBuff,baseline_candidate
GA_Gunde_InstantAoeWithBuff,3,SelfBuffEffectRef,GE_Gunde_ExtraDotDamageGain_SelfBuff,baseline_candidate
GA_Gunde_InstantAoeWithBuff,4,Talent DotTransfer InstantAoeWithBuff DamageAndOrbs Buff,GE_Gunde_Talent_DotTransfer_InstantAoeWithBuff_DamageAndOrbs_OrbDropper,talent_candidate
GA_Gunde_InstantWhirlwindAoe,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Gunde_InstantWhirlwindAoe,1,DamageEffectRef,GE_Gunde_InstantWhirlwindAoe_Damage,baseline_candidate
GA_Gunde_JumpToLocation,0,ChargeGameplayEffectClass,GE_Shared_ChargeCooldownNoHaste,baseline_candidate
GA_Gunde_JumpToLocation,1,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Gunde_JumpToLocation,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Gunde_MeleeAutoAttack,0,EffectRef,GE_Gunde_MeleeAutoAttack_Damage,baseline_candidate
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,0,DamageEffectRef,GE_Gunde_PerTargetAccumulatedBleed_Damage,baseline_candidate
GA_Gunde_SingleTargetInterrupt,0,CooldownEffectBaseClass,GE_Shared_Cooldown_Static,baseline_candidate
GA_Gunde_SingleTargetInterrupt,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Gunde_SingleTargetPull,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Gunde_SingleTargetPull,1,DamageEffectRef,GE_Gunde_SingleTargetPull_Damage,baseline_candidate
GA_Gunde_SingleTargetPull,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Gunde_SingleTargetPull,3,PullEffectRef,GE_Gunde_SingleTargetPull_PullActivator,baseline_candidate
GA_Gunde_Talent_DotTransfer_Aoe,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Gunde_Talent_DotTransfer_Aoe,1,Effect Type,GE_Gunde_DotTransfer_SelfBuff,baseline_candidate
GA_Gunde_Talent_DotTransfer_Aoe,2,EffectRef,GE_Gunde_Talent_DotTransfer_Aoe_SelfBuff,baseline_candidate
GA_Gunde_Talent_DotTransfer_Aoe,3,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Gunde_TargetedAoeProjectile,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Gunde_TargetedAoeProjectile,1,HitEffectRef,GE_Gunde_TargetedAoeProjectile_Damage,baseline_candidate
GA_Ink_AoeAttack_C,0,Active Effect,GE_Ink_AoeAttack_Activated,baseline_candidate
GA_Ink_AoeAttack_C,1,Damage Effect,GE_Ink_AoeAttack_Damage,baseline_candidate
GA_Ink_AoeAttack_C,2,Lightning Damage Effect,GE_Ink_AoeAttack_LightningDamage,baseline_candidate
GA_Ink_AoeFear_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Ink_AoeFear_C,1,Fear Effect,GE_Ink_AoeFear_Fear,baseline_candidate
GA_Ink_AoeFear_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_AutoAttackBuff_Attack_C,0,Aoe Hit Effect,GE_Ink_AutoAttackBuff_AoeDamage,baseline_candidate
GA_Ink_AutoAttackBuff_Attack_C,1,HitEffectRef,GE_Ink_AutoAttackBuff_Damage,baseline_candidate
GA_Ink_AutoAttackBuff_C,0,Buff Effect,GE_Ink_AutoAttackBuff_Buff,baseline_candidate
GA_Ink_AutoAttackBuff_InstantAttack_C,0,Cleave Damage Effect,GE_Ink_AutoAttackBuff_CleaveDamage,baseline_candidate
GA_Ink_AutoAttackBuff_InstantAttack_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Ink_AutoAttackBuff_InstantAttack_C,2,HitEffectRef,GE_Ink_AutoAttackBuff_Damage,baseline_candidate
GA_Ink_AutoAttackBuff_InstantAttack_C,3,Lightning Hit Effect,GE_Ink_AutoAttackBuff_AoeDamage,baseline_candidate
GA_Ink_AutoAttackBuff_InstantAttack_C,4,Talent StackingBuffConsumedBySpenderStacker Ref,GE_Ink_Talent_AutoAttackBuff_StackingBuffConsumedBySpender_Stacker,talent_candidate
GA_Ink_BouncyProjectile_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Ink_BouncyProjectile_C,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_ChargedBuff_C,0,Buff Effect,GE_Ink_ChargedBuff_Buff,baseline_candidate
GA_Ink_ChargedBuff_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Ink_ChargedBuff_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_CleaveAttack_C,0,HitEffectRef,GE_Ink_CleaveAttack_Damage,baseline_candidate
GA_Ink_CleaveAttack_C,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_CostReductionBuff_C,0,Buff Effect,GE_Ink_CostReductionBuff_SelfBuff,baseline_candidate
GA_Ink_CostReductionBuff_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Ink_CostReductionBuff_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_EnhancedChargedBuff,0,Damage Effect,GE_Ink_EnhancedChargedBuff_AoeImpactDamage,baseline_candidate
GA_Ink_EnhancedChargedBuff,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_EnhancedChargedBuff,2,SelfBuffEffectRef,GE_Ink_EnhancedChargedBuff_PulsatingSingleDamage_SelfBuff,baseline_candidate
GA_Ink_HeavySingleTargetAttack_C,0,Damage Effect,GE_Ink_HeavySingleTargetAttack_Damage,baseline_candidate
GA_Ink_HeavySingleTargetAttack_C,1,Lightning Damage Effect,GE_Ink_HeavySingleTargetAttack_LightningDamage,baseline_candidate
GA_Ink_HeavySingleTargetAttack_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_LowHealthSingleTargetResourceDamage_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Ink_LowHealthSingleTargetResourceDamage_C,1,Damage Effect,GE_Ink_LowHealthSingleTargetResourceDamage_Damage,baseline_candidate
GA_Ink_LowHealthSingleTargetResourceDamage_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_MeleeAutoAttack_C,0,HitEffectRef,GE_Ink_MeleeAutoAttack_Damage,baseline_candidate
GA_Ink_MeleeInterrupt_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_Static,baseline_candidate
GA_Ink_MeleeInterrupt_C,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_MoveToLocationAoeDamage_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Ink_MoveToLocationAoeDamage_C,1,Damage Effect,GE_Ink_MoveToLocationAoeDamage_Damage,baseline_candidate
GA_Ink_MoveToLocationAoeDamage_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_MoveToLocationAoeDamage_C,3,TalentTargetExtraInkDamageDebuffEffectRef,GE_Ink_Talent_MoveToLocationAoeDamage_TargetExtraInkDamage_Debuff,talent_candidate
GA_Ink_SecondChanceSingleTargetAttack_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Ink_SecondChanceSingleTargetAttack_C,1,Damage Effect,GE_Ink_SecondChanceSingleTargetAttack_Damage,baseline_candidate
GA_Ink_SecondChanceSingleTargetAttack_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_SelfDefenceBuff_C,0,BuffEffectRef,GE_Ink_SelfDefenceBuff_SelfBuff_First,baseline_candidate
GA_Ink_SelfDefenceBuff_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Ink_SelfDefenceBuff_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_SingleTargetHeavyNonSpender_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Ink_SingleTargetHeavyNonSpender_C,1,Damage Effect,GE_Ink_SingleTargetHeavyNonSpender_Damage,baseline_candidate
GA_Ink_SingleTargetHeavyNonSpender_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Ink_Taunt_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_HasteScale,baseline_candidate
GA_Ink_Taunt_C,1,DebuffEffectRef,GE_Ink_Talent_SelfDefenceBuff_IncreasedDurationAndTaunt_Taunt_Debuff,baseline_candidate
GA_Ink_Taunt_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Lisa_AoeStaggerRemovalSpender_C,0,Heal Effect,GE_Lisa_AoeStaggerRemovalSpender_Heal,baseline_candidate
GA_Lisa_AoeStaggerRemovalSpender_C,1,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Lisa_AoeStaggerRemovalSpender_C,2,Stagger Removal Effect,GE_Lisa_AoeStaggerRemovalSpender_RemoveStagger,baseline_candidate
GA_Lisa_CastedHeal_C,0,EffectForShowingStacksAsCharges,GE_Lisa_Talent_CastedSingleTargetProjectile_CastedHealFromPreviousDamageProc_Proc,baseline_candidate
GA_Lisa_CastedHeal_C,1,HealEffectRef,GE_Lisa_CastedHeal_Heal,baseline_candidate
GA_Lisa_CastedHeal_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,0,ChargeGameplayEffectClass,GE_Shared_ChargeCooldownNoHaste,baseline_candidate
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,1,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,2,DamageEffectRef,GE_Lisa_CastedProjectileDamageIncreaseDebuff_Damage,baseline_candidate
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,3,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Lisa_CastedSingleTargetDamage_C,0,CooldownReduction ActiveEffectToCheck,GE_Lisa_InstantSingleTargetDamageAndDot_Dot,baseline_candidate
GA_Lisa_CastedSingleTargetDamage_C,1,DamageEffectRef,GE_Lisa_CastedSingleTargetProjectile_Damage,baseline_candidate
