id,trait_id,numeric_id,name,description,max_rank,random_chance,icon_id,icon_kind,icon_width,icon_height,provenance_origin,provenance_dev_name,provenance_source
IncomingDamageToHotAndAbsorb,ItemTrait.ID.IncomingDamageToHotAndAbsorb,37,Divine Mediation,"<rt.warning>Taking damage</> has a <rt.bold>chance</> to <rt.heal>Heal you</> for <rt.effect>332%</> / <rt.effect>572%</> / <rt.effect>816%</> / <rt.effect>1056%</> <rt.heal>Main Stat</> over <rt.bold>6 seconds</>.

<rt.warning>Once the heal expires</>, you apply an <rt.heal>Absorb Shield on yourself and all allies</> equal to <rt.effect>240%</> / <rt.effect>416%</> / <rt.effect>592%</> / <rt.effect>768%</> <rt.heal>Main Stat</>.

Damage dealt to the shield is <rt.heal>reduced by 50%</>.

<rt.bold>(1.0 PPM)</>",4,3,Priest12,Other,256,256,datamine,,
IncomingHealToStackingHealWithThreshold,ItemTrait.ID.IncomingHealToStackingHealWithThreshold,38,Latent Resurgence,"<rt.warning>When you are healed</>, you have a <rt.bold>chance</> to gain 1 stack of <rt.bold>Latent Resurgence</> up to a maximum of <rt.bold>10 stacks</>.

<rt.warning>When your health dips below 50%</> all stacks of <rt.bold>Latent Resurgence</> are consumed, instantly <rt.heal>Healing</> you for an amount equal to <rt.effect>108%</> / <rt.effect>188%</> / <rt.effect>268%</> / <rt.effect>348%</> of your <rt.heal>Main Stat</> <rt.bold>per stack</>.

<rt.bold>Latent Resurgence</> will attempt to save your life if the damage brings you below zero health.

<rt.bold>(3.3 PPM)</>",4,3,Tex_SpellBook03_57,Other,256,256,datamine,,
IncreasedMainStatAndSpiritRating,ItemTrait.ID.IncreasedMainStatAndSpiritRating,39,Willful Momentum,"Your <rt.warning>Spirit</> Rating is increased by <rt.effect>7</> / <rt.effect>11</> / <rt.effect>17</> / <rt.effect>23</>.

Whenever you trigger a <rt.effect>Spirit Refund</> your <rt.warning>Main Stat</> is increased by <rt.effect>1.5%</> / <rt.effect>2.6%</> / <rt.effect>3.7%</> / <rt.effect>4.8%</> for <rt.bold>4 seconds</>.",4,2,T_Nhance_RPG_Icons_SpiritFire,Other,256,256,datamine,,
IncreasedStaminaToHealthConversion,ItemTrait.ID.IncreasedStaminaToHealthConversion,40,Heart of Stone,You gain <rt.effect>2.5%</> / <rt.effect>4.7%</> / <rt.effect>7.0%</> / <rt.effect>9.3%</> more <rt.bold>Health</> from <rt.bold>Stamina</>.,4,3,Tex_orb_11_b,Other,256,256,datamine,,
NoDamageToDamageReduction,ItemTrait.ID.NoDamageToDamageReduction,41,Stalwart Readiness,"Every <rt.bold>4 seconds</> in combat that you do not take damage, you gain 1 stack of <rt.bold>Stalwart Readiness</>.

The <rt.warning>next time you take any damage</> it is <rt.bold>Reduced by</> <rt.effect>2% / 3% / 4.5% / 6%</> for each stack of <rt.bold>Stalwart Readiness</> you have and <rt.bold>1 stack is removed</>.

You can have a maximum of <rt.bold>3</> stacks of <rt.bold>Stalwart Readiness</>.",4,3,Tex_SpellBook06_78,Other,256,256,datamine,,
OffensiveAbilityHasteRatingStacking,ItemTrait.ID.OffensiveAbilityHasteRatingStacking,42,Hunter's Focus,"Your <rt.warning>targeted offensive abilities</> grant you <rt.effect>4</> / <rt.effect>8</> / <rt.effect>12</> / <rt.effect>16</> <rt.warning>Haste</> rating for <rt.bold>8 seconds</>, stacking up to <rt.bold>5</> times.

The <rt.warning>Haste</> is lost if you use a targeted offensive ability on any other enemy.",4,2,Tex_SpellBook01_82,Other,256,256,datamine,,
OffensiveAbilityToHighestStattBuff,ItemTrait.ID.OffensiveAbilityToHighestStatBuff,43,Navigator's Intuition,"Your offensive abilities have a <rt.bold>20% chance</> to grant you <rt.effect>28</> / <rt.effect>66</> / <rt.effect>104</> / <rt.effect>142</> <rt.warning>Critical Strike</>, <rt.warning>Haste</>, <rt.warning>Expertise</> <rt.bold>or</> <rt.warning>Spirit</> rating for <rt.bold>30 seconds</>. Your highest secondary stat is always the one that gets increased.

<rt.bold>Navigator's Intuition</> can trigger <rt.bold>once every 90 seconds</>.",4,2,Tex_SpellBook03_42,Other,256,256,datamine,,
RelicToDamageReduction,ItemTrait.ID.RelicToDamageReduction,44,Treasure Hunter's Delight,"<rt.warning>When you use a</> <rt.absorb>Relic Ability</>, all <rt.bold>damage you take is reduced</> by <rt.effect>4.7%</> / <rt.effect>7.8%</> / <rt.effect>10.9%</> / <rt.effect>14%</> for <rt.bold>12 seconds</>.",4,3,Tex_TrophyIcons_12_b,Other,256,256,datamine,,
Salamander,ItemTrait.ID.Salamander,61,The Dragon,,1,0,Dragonknight3,Other,256,256,datamine,,
StandingStillHealStacking,ItemTrait.ID.StandingStillHealStacking,45,Grounded Spirit,"<rt.warning>Every 1 second that you stand still</>, you gain 1 stack of <rt.bold>Grounded Spirit</> up to <rt.bold>10 stacks</>.

<rt.warning>Upon moving</>, all stacks of <rt.bold>Grounded Spirit</> are consumed, <rt.heal>healing you and 1 other ally with low health</> for <rt.effect>60%</> / <rt.effect>116%</> / <rt.effect>172%</> / <rt.effect>228%</> <rt.heal>Main Stat</> <rt.bold>per stack consumed</>.",4,3,Druid20,Other,256,256,datamine,,
StandingStillStaminaExpertiseRatingIncrease,ItemTrait.ID.StandingStillStaminaExpertiseRatingIncrease,46,Patient Soul,"<rt.warning>Standing still for 3 seconds</> grants you <rt.bold>Patient Soul</>, increasing your <rt.heal>Max Health</> by <rt.heal>5%</> and your <rt.warning>Expertise</> rating by <rt.effect>12</> / <rt.effect>22</> / <rt.effect>32</> / <rt.effect>42</>.

<rt.bold>Patient Soul</> <rt.bold>persists for 6 seconds</> after you start moving.",4,2,Tex_SpellBook06_99,Other,256,256,datamine,,
Turtoise,ItemTrait.ID.Turtoise,62,The Oak,Your <bold>Armor is increased by 35%</>.,1,0,T_Perk_Oak,Other,256,256,datamine,,
WeaponAndSpiritPoints,ItemTrait.ID.WeaponAndSpiritPoints,47,Visions of Grandeur,"Your <rt.absorb>Weapon Ability</> generates <rt.warning>2.5 Spirit Points</> multiplied by a value equal to your <rt.absorb>Weapon Ability's</> default cooldown, divided by 30.

Your <rt.absorb>Weapon Ability's</> <rt.bold>Cooldown</> is reduced by <rt.effect>25%</> / <rt.effect>50%</> / <rt.effect>75%</> / <rt.effect>100%</> when you activate your <rt.absorb>Spirit Ability</>.",4,1,Tex_SpellBook06_08,Other,256,256,datamine,,
WeaponCritChanceCooldownReduction,ItemTrait.ID.WeaponCritChanceCooldownReduction,48,Brave Machinations,"Your <rt.absorb>Weapon Ability's</> <rt.warning>Critical Strike chance</> is increased by <rt.effect>9.5%</> / <rt.effect>17%</> / <rt.effect>24%</> / <rt.effect>32%</>.

If your <rt.absorb>Weapon Ability</> deals a <rt.warning>Critical Strike</>, its <rt.bold>Cooldown</> is reduced by <rt.effect>15%</> / <rt.effect>20%</> / <rt.effect>25%</> / <rt.effect>30%</>.",4,1,Tex_violet_4,Other,256,256,datamine,,
WeaponDamageReductionPrimaryStatIncrease,ItemTrait.ID.WeaponDamageReductionPrimaryStatIncrease,51,Martial Initiative,Your <rt.absorb>Weapon Ability</> grants you <rt.warning>10% increased Main Stat</> and <rt.bold>15% Damage Reduction</> for a duration equal to <rt.effect>10%</> / <rt.effect>18%</> / <rt.effect>25%</> / <rt.effect>32%</> of your <rt.absorb>Weapon Ability's</> default cooldown.,4,1,Guardian5,Other,256,256,datamine,,
WeaponHealDamageIncrease,ItemTrait.ID.WeaponHealDamageIncrease,50,Heroic Brand,Your <rt.absorb>Weapon Ability</> <rt.warning>Damage</> and <rt.heal>Healing</> is increased by <rt.effect>24%</> / <rt.effect>42%</> / <rt.effect>60%</> / <rt.effect>80%</>.,4,1,Tex_SpellBook01_25,Other,256,256,datamine,,
Wolf,ItemTrait.ID.Wolf,63,The Wolf,,1,0,T_Perk_Wolf,Other,256,256,datamine,,
