id,namespace,tag,numeric_id,provenance_origin,provenance_dev_name,provenance_source,provenance_source_authority
CRAICharacter/BP_NPC_CM_BossWhisperingCore_old,CRAICharacter,BP_NPC_CM_BossWhisperingCore_old,254,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_ChargedConstruct_Ghost,CRAICharacter,BP_NPC_CM_ChargedConstruct_Ghost,251,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_CrystalConstructCharged,CRAICharacter,BP_NPC_CM_CrystalConstructCharged,252,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_CrystalConstructVolatile,CRAICharacter,BP_NPC_CM_CrystalConstructVolatile,250,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_EarthElemental,CRAICharacter,BP_NPC_CM_EarthElemental,249,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_Elf_ArcaneWarden,CRAICharacter,BP_NPC_CM_Elf_ArcaneWarden,248,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_Elf_Enforcer,CRAICharacter,BP_NPC_CM_Elf_Enforcer,247,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_Elf_Goon,CRAICharacter,BP_NPC_CM_Elf_Goon,246,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_Elf_Interrogator,CRAICharacter,BP_NPC_CM_Elf_Interrogator,245,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_Elf_Lookout,CRAICharacter,BP_NPC_CM_Elf_Lookout,244,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_Elf_Taskmaster,CRAICharacter,BP_NPC_CM_Elf_Taskmaster,243,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_ImpatientBrawler,CRAICharacter,BP_NPC_CM_ImpatientBrawler,242,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_ReflectedHero,CRAICharacter,BP_NPC_CM_ReflectedHero,253,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_RubiliteAurastone,CRAICharacter,BP_NPC_CM_RubiliteAurastone,241,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_RubiliteFocus,CRAICharacter,BP_NPC_CM_RubiliteFocus,240,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_Critter_Chicken,CRAICharacter,BP_NPC_Critter_Chicken,275,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_Critter_PolymorphChickenLarge,CRAICharacter,BP_NPC_Critter_PolymorphChickenLarge,278,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_Critter_PolymorphChickenMedium,CRAICharacter,BP_NPC_Critter_PolymorphChickenMedium,277,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_Critter_PolymorphChickenSmall,CRAICharacter,BP_NPC_Critter_PolymorphChickenSmall,276,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DD_Arbalist,CRAICharacter,BP_NPC_DD_Arbalist,179,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DD_BossCadavrianMagi,CRAICharacter,BP_NPC_DD_BossCadavrianMagi,178,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DD_DesertBrute,CRAICharacter,BP_NPC_DD_DesertBrute,177,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DD_DesertNomad,CRAICharacter,BP_NPC_DD_DesertNomad,176,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DD_DesertWarrior,CRAICharacter,BP_NPC_DD_DesertWarrior,175,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DD_NightboundMagi,CRAICharacter,BP_NPC_DD_NightboundMagi,174,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DD_WitheringMagi,CRAICharacter,BP_NPC_DD_WitheringMagi,173,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DM_ClockworkRat,CRAICharacter,BP_NPC_DM_ClockworkRat,283,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DM_FriendlyClockworkRat,CRAICharacter,BP_NPC_DM_FriendlyClockworkRat,285,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DM_WinterGiant,CRAICharacter,BP_NPC_DM_WinterGiant,280,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DM_WinterGiantFriendly,CRAICharacter,BP_NPC_DM_WinterGiantFriendly,284,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DM_WinterTrickster,CRAICharacter,BP_NPC_DM_WinterTrickster,282,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DM_WinterWitch,CRAICharacter,BP_NPC_DM_WinterWitch,281,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_BarbedRoot,CRAICharacter,BP_NPC_DR_BarbedRoot,202,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_BloodfangMauler,CRAICharacter,BP_NPC_DR_BloodfangMauler,201,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_BossCultLeader,CRAICharacter,BP_NPC_DR_BossCultLeader,200,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_BossDemonPlant,CRAICharacter,BP_NPC_DR_BossDemonPlant,199,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_BossGateWizard,CRAICharacter,BP_NPC_DR_BossGateWizard,198,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_BossSummonedDemon,CRAICharacter,BP_NPC_DR_BossSummonedDemon,195,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_BossSummonedDemon_Portal,CRAICharacter,BP_NPC_DR_BossSummonedDemon_Portal,197,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_BossSummonedDemon_PortalDemon,CRAICharacter,BP_NPC_DR_BossSummonedDemon_PortalDemon,196,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_BurningDemon,CRAICharacter,BP_NPC_DR_BurningDemon,194,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_CultistCaster,CRAICharacter,BP_NPC_DR_CultistCaster,193,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_CultistMajorCaster,CRAICharacter,BP_NPC_DR_CultistMajorCaster,191,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_CultistSickle,CRAICharacter,BP_NPC_DR_CultistSickle,190,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_CultistSickle_Praying,CRAICharacter,BP_NPC_DR_CultistSickle_Praying,192,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_DangerousBrute,CRAICharacter,BP_NPC_DR_DangerousBrute,189,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_FlyingImp,CRAICharacter,BP_NPC_DR_FlyingImp,188,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_FranticImp,CRAICharacter,BP_NPC_DR_FranticImp,187,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_HornedDemon,CRAICharacter,BP_NPC_DR_HornedDemon,186,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_Mancatcher,CRAICharacter,BP_NPC_DR_Mancatcher,185,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_Ritualist,CRAICharacter,BP_NPC_DR_Ritualist,184,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_RuinsLasher,CRAICharacter,BP_NPC_DR_RuinsLasher,183,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_Slaughtervine,CRAICharacter,BP_NPC_DR_Slaughtervine,182,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_SlaughtervineArchephyte,CRAICharacter,BP_NPC_DR_SlaughtervineArchephyte,181,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DR_WaveSummoner,CRAICharacter,BP_NPC_DR_WaveSummoner,180,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DT_ConvertedSoldier,CRAICharacter,BP_NPC_DT_ConvertedSoldier,9,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DT_Elf_ArcaneWarden1,CRAICharacter,BP_NPC_DT_Elf_ArcaneWarden1,8,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_Debug_Boss,CRAICharacter,BP_NPC_Debug_Boss,237,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_Debug_EnemyResurrector,CRAICharacter,BP_NPC_Debug_EnemyResurrector,235,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_DungeonModifier_ShadowLord,CRAICharacter,BP_NPC_DungeonModifier_ShadowLord,274,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_EM_BossGiantTroll,CRAICharacter,BP_NPC_EM_BossGiantTroll,172,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_EM_BossVaerith,CRAICharacter,BP_NPC_EM_BossVaerith,270,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_EM_Miner,CRAICharacter,BP_NPC_EM_Miner,171,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_BossElfDragon,CRAICharacter,BP_NPC_FK_BossElfDragon,170,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_BossFreezingWaterLord,CRAICharacter,BP_NPC_FK_BossFreezingWaterLord,169,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_BossRangerCaptain,CRAICharacter,BP_NPC_FK_BossRangerCaptain,168,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_Elf_Cleric,CRAICharacter,BP_NPC_FK_Elf_Cleric,167,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_Elf_Duelist,CRAICharacter,BP_NPC_FK_Elf_Duelist,166,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_Elf_Goon,CRAICharacter,BP_NPC_FK_Elf_Goon,165,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_Elf_Guard,CRAICharacter,BP_NPC_FK_Elf_Guard,164,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_Elf_Illusionist,CRAICharacter,BP_NPC_FK_Elf_Illusionist,163,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_Elf_Ranger,CRAICharacter,BP_NPC_FK_Elf_Ranger,162,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_Elf_Shardling,CRAICharacter,BP_NPC_FK_Elf_Shardling,161,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_IceGolem,CRAICharacter,BP_NPC_FK_IceGolem,160,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_MirroredElementalImage,CRAICharacter,BP_NPC_FK_MirroredElementalImage,159,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FK_MirroredRangerCaptain,CRAICharacter,BP_NPC_FK_MirroredRangerCaptain,158,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_AshenArsonist,CRAICharacter,BP_NPC_FM_AshenArsonist,312,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Bear,CRAICharacter,BP_NPC_FM_Bear,311,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Bear_Black,CRAICharacter,BP_NPC_FM_Bear_Black,310,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_BullyBasher,CRAICharacter,BP_NPC_FM_BullyBasher,308,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Facestabber,CRAICharacter,BP_NPC_FM_Facestabber,306,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_FrenziedLooter,CRAICharacter,BP_NPC_FM_FrenziedLooter,305,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_GoblinBrute,CRAICharacter,BP_NPC_FM_GoblinBrute,304,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_GoblinCaster,CRAICharacter,BP_NPC_FM_GoblinCaster,303,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_GoblinGrunt,CRAICharacter,BP_NPC_FM_GoblinGrunt,302,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_GravesnareKidnapper,CRAICharacter,BP_NPC_FM_GravesnareKidnapper,301,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Invoker,CRAICharacter,BP_NPC_FM_Invoker,300,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_OrcCaster,CRAICharacter,BP_NPC_FM_OrcCaster,299,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_OrcGrunt,CRAICharacter,BP_NPC_FM_OrcGrunt,298,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Pillager,CRAICharacter,BP_NPC_FM_Pillager,297,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_RotheartRecluse,CRAICharacter,BP_NPC_FM_RotheartRecluse,296,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Shinchopper,CRAICharacter,BP_NPC_FM_Shinchopper,295,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Slaver,CRAICharacter,BP_NPC_FM_Slaver,294,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Spiderling,CRAICharacter,BP_NPC_FM_Spiderling,293,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Stag,CRAICharacter,BP_NPC_FM_Stag,292,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Wolf,CRAICharacter,BP_NPC_FM_Wolf,291,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FM_Wolf_Grey,CRAICharacter,BP_NPC_FM_Wolf_Grey,290,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Arcane,CRAICharacter,BP_NPC_FxDebug_Arcane,234,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Base,CRAICharacter,BP_NPC_FxDebug_Base,233,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Blood,CRAICharacter,BP_NPC_FxDebug_Blood,232,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Arcane,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Arcane,231,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Base,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Base,230,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Blood,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Blood,229,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Demonic,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Demonic,228,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Fire,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Fire,227,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Frost,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Frost,226,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Holy,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Holy,225,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Lightning,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Lightning,224,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Necromancy,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Necromancy,223,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Poison,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Poison,222,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Shadow,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Shadow,221,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Soul,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Soul,220,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Cadavrian_Water,CRAICharacter,BP_NPC_FxDebug_Cadavrian_Water,219,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Demonic,CRAICharacter,BP_NPC_FxDebug_Demonic,218,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Fire,CRAICharacter,BP_NPC_FxDebug_Fire,217,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Frost,CRAICharacter,BP_NPC_FxDebug_Frost,216,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Holy,CRAICharacter,BP_NPC_FxDebug_Holy,215,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Lightning,CRAICharacter,BP_NPC_FxDebug_Lightning,214,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Nature,CRAICharacter,BP_NPC_FxDebug_Nature,213,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Necromancy,CRAICharacter,BP_NPC_FxDebug_Necromancy,212,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Orc_Base,CRAICharacter,BP_NPC_FxDebug_Orc_Base,211,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Orc_Blood,CRAICharacter,BP_NPC_FxDebug_Orc_Blood,210,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Orc_Demonic,CRAICharacter,BP_NPC_FxDebug_Orc_Demonic,209,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Orc_Necromancy,CRAICharacter,BP_NPC_FxDebug_Orc_Necromancy,208,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Placeholder,CRAICharacter,BP_NPC_FxDebug_Placeholder,207,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Poison,CRAICharacter,BP_NPC_FxDebug_Poison,206,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Shadow,CRAICharacter,BP_NPC_FxDebug_Shadow,205,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Soul,CRAICharacter,BP_NPC_FxDebug_Soul,204,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_FxDebug_Water,CRAICharacter,BP_NPC_FxDebug_Water,203,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_IC_Assassin,CRAICharacter,BP_NPC_IC_Assassin,157,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_IC_BossMagistrate,CRAICharacter,BP_NPC_IC_BossMagistrate,156,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_IC_Elf_Shardling,CRAICharacter,BP_NPC_IC_Elf_Shardling,152,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_IC_GlacialSprite,CRAICharacter,BP_NPC_IC_GlacialSprite,155,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_IC_GreaterIceElemental,CRAICharacter,BP_NPC_IC_GreaterIceElemental,154,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_IC_Healer,CRAICharacter,BP_NPC_IC_Healer,153,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_IC_Lookout,CRAICharacter,BP_NPC_IC_Lookout,151,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_JS_NPCRime,CRAICharacter,BP_NPC_JS_NPCRime,150,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_JS_NPCSylvie,CRAICharacter,BP_NPC_JS_NPCSylvie,149,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_JS_NPCWarmaster,CRAICharacter,BP_NPC_JS_NPCWarmaster,148,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_JS_TutorialGoblin,CRAICharacter,BP_NPC_JS_TutorialGoblin,147,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_JS_TutorialGoblin_Despawn,CRAICharacter,BP_NPC_JS_TutorialGoblin_Despawn,7,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_JS_TutorialOrc,CRAICharacter,BP_NPC_JS_TutorialOrc,146,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_JS_TutorialOrcCaster,CRAICharacter,BP_NPC_JS_TutorialOrcCaster,145,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_JS_TutorialSmallGoblin,CRAICharacter,BP_NPC_JS_TutorialSmallGoblin,144,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_JS_TutorialTroll,CRAICharacter,BP_NPC_JS_TutorialTroll,143,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_BloodAnimation,CRAICharacter,BP_NPC_MC_BloodAnimation,337,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_BloodCaster,CRAICharacter,BP_NPC_MC_BloodCaster,336,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_BloodCrystal,CRAICharacter,BP_NPC_MC_BloodCrystal,335,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_BloodGrunt,CRAICharacter,BP_NPC_MC_BloodGrunt,334,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_BloodGuard,CRAICharacter,BP_NPC_MC_BloodGuard,333,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_BloodHound,CRAICharacter,BP_NPC_MC_BloodHound,332,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_BloodSummoner,CRAICharacter,BP_NPC_MC_BloodSummoner,331,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_BossGuardian,CRAICharacter,BP_NPC_MC_BossGuardian,330,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_WanderingGhostGuard,CRAICharacter,BP_NPC_MC_WanderingGhostGuard,329,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_WanderingGhostPriest,CRAICharacter,BP_NPC_MC_WanderingGhostPriest,328,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MC_WanderingGhostWarrior,CRAICharacter,BP_NPC_MC_WanderingGhostWarrior,327,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MF_BlightedMorningGlory,CRAICharacter,BP_NPC_MF_BlightedMorningGlory,142,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MF_BossNecrolord,CRAICharacter,BP_NPC_MF_BossNecrolord,141,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MF_BossTotem,CRAICharacter,BP_NPC_MF_BossTotem,279,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MF_BossUnicorn,CRAICharacter,BP_NPC_MF_BossUnicorn,140,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MF_DawnstoneGuardian,CRAICharacter,BP_NPC_MF_DawnstoneGuardian,139,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MF_FoulTotemic,CRAICharacter,BP_NPC_MF_FoulTotemic,138,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MF_MangyBrute,CRAICharacter,BP_NPC_MF_MangyBrute,137,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MF_Skittershard,CRAICharacter,BP_NPC_MF_Skittershard,136,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MF_Totem,CRAICharacter,BP_NPC_MF_Totem,135,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_MalevolentSpirits_SpiritCharacter,CRAICharacter,BP_NPC_MalevolentSpirits_SpiritCharacter,3,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_NP_BossHellcaller,CRAICharacter,BP_NPC_NP_BossHellcaller,133,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_NP_BullyBasher,CRAICharacter,BP_NPC_NP_BullyBasher,132,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_NP_Facestabber,CRAICharacter,BP_NPC_NP_Facestabber,131,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_NP_HalfMancatcher,CRAICharacter,BP_NPC_NP_HalfMancatcher,134,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_NP_Shinchopper,CRAICharacter,BP_NPC_NP_Shinchopper,130,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_NP_Stormscreamer,CRAICharacter,BP_NPC_NP_Stormscreamer,129,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_BarbarousLasher,CRAICharacter,BP_NPC_PR_BarbarousLasher,128,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_Bilgerat,CRAICharacter,BP_NPC_PR_Bilgerat,127,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_BlunderbussPirate,CRAICharacter,BP_NPC_PR_BlunderbussPirate,126,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_BossAnchor,CRAICharacter,BP_NPC_PR_BossAnchor,125,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_BossPirateCaptain,CRAICharacter,BP_NPC_PR_BossPirateCaptain,124,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_BossPirateCaptain_Bansheetest,CRAICharacter,BP_NPC_PR_BossPirateCaptain_Bansheetest,123,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_BossTreasureDemon,CRAICharacter,BP_NPC_PR_BossTreasureDemon,121,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_CannonPirate,CRAICharacter,BP_NPC_PR_CannonPirate,119,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_GoldenConstructVolatile,CRAICharacter,BP_NPC_PR_GoldenConstructVolatile,118,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_GoldenOrc,CRAICharacter,BP_NPC_PR_GoldenOrc,117,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_PR_PirateGrunt,CRAICharacter,BP_NPC_PR_PirateGrunt,116,datamine,,,legacy_unbound
