id,encoding,x,value
BP_NPC_CM_RubiliteTriggerstone,dense,47.0,97.4
BP_NPC_CM_RubiliteTriggerstone,dense,48.0,99.35
BP_NPC_CM_RubiliteTriggerstone,dense,49.0,101.34
BP_NPC_CM_RubiliteTriggerstone,dense,50.0,103.37
BP_NPC_CM_RubiliteTriggerstone,dense,51.0,105.43
BP_NPC_CM_RubiliteTriggerstone,dense,52.0,107.54
BP_NPC_CM_RubiliteTriggerstone,dense,53.0,109.69
BP_NPC_CM_RubiliteTriggerstone,dense,54.0,111.89
BP_NPC_CM_RubiliteTriggerstone,dense,55.0,114.12
BP_NPC_CM_RubiliteTriggerstone,dense,56.0,116.41
BP_NPC_CM_RubiliteTriggerstone,dense,57.0,118.74
BP_NPC_CM_RubiliteTriggerstone,dense,58.0,121.11
BP_NPC_CM_RubiliteTriggerstone,dense,59.0,123.53
BP_NPC_CM_RubiliteTriggerstone,dense,60.0,126.0
BP_NPC_CM_RubiliteTriggerstone,dense,61.0,128.52
BP_NPC_CM_RubiliteTriggerstone,dense,62.0,131.09
BP_NPC_CM_RubiliteTriggerstone,dense,63.0,133.72
BP_NPC_CM_RubiliteTriggerstone,dense,64.0,136.39
BP_NPC_CM_RubiliteTriggerstone,dense,65.0,139.12
BP_NPC_CM_RubiliteTriggerstone,dense,66.0,141.9
BP_NPC_CM_RubiliteTriggerstone,dense,67.0,144.74
BP_NPC_CM_RubiliteTriggerstone,dense,68.0,147.63
BP_NPC_CM_RubiliteTriggerstone,dense,69.0,150.59
BP_NPC_CM_RubiliteTriggerstone,dense,70.0,153.6
BP_NPC_CM_RubiliteTriggerstone,dense,71.0,156.67
BP_NPC_CM_RubiliteTriggerstone,dense,72.0,159.8
BP_NPC_CM_RubiliteTriggerstone,dense,73.0,163.0
BP_NPC_CM_RubiliteTriggerstone,dense,74.0,166.26
BP_NPC_CM_RubiliteTriggerstone,dense,75.0,169.58
BP_NPC_CM_RubiliteTriggerstone,dense,76.0,172.98
BP_NPC_CM_RubiliteTriggerstone,dense,77.0,176.43
BP_NPC_CM_RubiliteTriggerstone,dense,78.0,179.96
BP_NPC_CM_RubiliteTriggerstone,dense,79.0,183.56
BP_NPC_CM_RubiliteTriggerstone,dense,80.0,187.23
BP_NPC_CM_RubiliteTriggerstone,dense,81.0,190.98
BP_NPC_CM_RubiliteTriggerstone,dense,82.0,194.8
BP_NPC_CM_RubiliteTriggerstone,dense,83.0,198.69
BP_NPC_CM_RubiliteTriggerstone,dense,84.0,202.67
BP_NPC_CM_RubiliteTriggerstone,dense,85.0,206.72
BP_NPC_CM_RubiliteTriggerstone,dense,86.0,210.86
BP_NPC_CM_RubiliteTriggerstone,dense,87.0,215.07
BP_NPC_CM_RubiliteTriggerstone,dense,88.0,219.37
BP_NPC_CM_RubiliteTriggerstone,dense,89.0,223.76
BP_NPC_CM_RubiliteTriggerstone,dense,90.0,228.24
BP_NPC_CM_RubiliteTriggerstone,dense,91.0,232.8
BP_NPC_CM_RubiliteTriggerstone,dense,92.0,237.46
BP_NPC_CM_RubiliteTriggerstone,dense,93.0,242.21
BP_NPC_CM_RubiliteTriggerstone,dense,94.0,247.05
BP_NPC_CM_RubiliteTriggerstone,dense,95.0,251.99
BP_NPC_CM_RubiliteTriggerstone,dense,96.0,257.03
BP_NPC_CM_RubiliteTriggerstone,dense,97.0,262.17
BP_NPC_CM_RubiliteTriggerstone,dense,98.0,267.42
BP_NPC_CM_RubiliteTriggerstone,dense,99.0,272.76
BP_NPC_CM_RubiliteTriggerstone,dense,100.0,278.22
BP_NPC_CM_RubiliteTriggerstone,dense,101.0,283.78
BP_NPC_CM_RubiliteTriggerstone,dense,102.0,289.46
BP_NPC_CM_RubiliteTriggerstone,dense,103.0,295.25
BP_NPC_CM_RubiliteTriggerstone,dense,104.0,301.15
BP_NPC_CM_RubiliteTriggerstone,dense,105.0,307.18
BP_NPC_CM_RubiliteTriggerstone,dense,106.0,313.32
BP_NPC_CM_RubiliteTriggerstone,dense,107.0,319.59
BP_NPC_CM_RubiliteTriggerstone,dense,108.0,325.98
BP_NPC_CM_RubiliteTriggerstone,dense,109.0,332.5
BP_NPC_CM_RubiliteTriggerstone,dense,110.0,339.15
BP_NPC_CM_RubiliteTriggerstone,dense,111.0,345.93
BP_NPC_CM_RubiliteTriggerstone,dense,112.0,352.85
BP_NPC_CM_RubiliteTriggerstone,dense,113.0,359.91
BP_NPC_CM_RubiliteTriggerstone,dense,114.0,367.11
BP_NPC_CM_RubiliteTriggerstone,dense,115.0,374.45
BP_NPC_CM_RubiliteTriggerstone,dense,116.0,381.94
BP_NPC_CM_RubiliteTriggerstone,dense,117.0,389.57
BP_NPC_CM_RubiliteTriggerstone,dense,118.0,397.37
BP_NPC_CM_RubiliteTriggerstone,dense,119.0,405.31
BP_NPC_CM_RubiliteTriggerstone,dense,120.0,413.42
BP_NPC_CM_RubiliteTriggerstone,dense,121.0,421.69
BP_NPC_CM_RubiliteTriggerstone,dense,122.0,430.12
BP_NPC_CM_RubiliteTriggerstone,dense,123.0,438.72
BP_NPC_CM_RubiliteTriggerstone,dense,124.0,447.5
BP_NPC_CM_RubiliteTriggerstone,dense,125.0,456.45
BP_NPC_CM_RubiliteTriggerstone,dense,126.0,465.58
BP_NPC_CM_RubiliteTriggerstone,dense,127.0,474.89
BP_NPC_CM_RubiliteTriggerstone,dense,128.0,484.39
BP_NPC_CM_RubiliteTriggerstone,dense,129.0,494.08
BP_NPC_CM_RubiliteTriggerstone,dense,130.0,503.96
BP_NPC_CM_RubiliteTriggerstone,dense,131.0,514.04
BP_NPC_CM_RubiliteTriggerstone,dense,132.0,524.32
BP_NPC_CM_RubiliteTriggerstone,dense,133.0,534.8
BP_NPC_CM_RubiliteTriggerstone,dense,134.0,545.5
BP_NPC_CM_RubiliteTriggerstone,dense,135.0,556.41
BP_NPC_CM_RubiliteTriggerstone,dense,136.0,567.54
BP_NPC_CM_RubiliteTriggerstone,dense,137.0,578.89
BP_NPC_CM_RubiliteTriggerstone,dense,138.0,590.47
BP_NPC_CM_RubiliteTriggerstone,dense,139.0,602.27
BP_NPC_CM_RubiliteTriggerstone,dense,140.0,614.32
BP_NPC_CM_RubiliteTriggerstone,dense,141.0,626.61
BP_NPC_CM_RubiliteTriggerstone,dense,142.0,639.14
BP_NPC_CM_RubiliteTriggerstone,dense,143.0,651.92
BP_NPC_CM_RubiliteTriggerstone,dense,144.0,664.96
BP_NPC_CM_RubiliteTriggerstone,dense,145.0,678.26
BP_NPC_CM_RubiliteTriggerstone,dense,146.0,691.82
BP_NPC_CM_RubiliteTriggerstone,dense,147.0,705.66
BP_NPC_CM_RubiliteTriggerstone,dense,148.0,719.77
BP_NPC_CM_RubiliteTriggerstone,dense,149.0,734.17
BP_NPC_CM_RubiliteTriggerstone,dense,150.0,748.85
BP_NPC_CM_RubiliteTriggerstone,dense,151.0,763.83
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,1.0,1.0
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,2.0,1.31
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,3.0,1.85
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,4.0,2.6
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,5.0,3.67
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,6.0,4.05
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,7.0,4.66
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,8.0,6.11
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,9.0,8.0
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,10.0,10.49
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,11.0,11.23
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,12.0,11.96
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,13.0,14.47
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,14.0,17.51
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,15.0,21.18
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,16.0,21.92
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,17.0,22.98
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,18.0,26.77
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,19.0,31.19
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,20.0,36.34
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,21.0,37.37
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,22.0,39.61
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,23.0,41.99
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,24.0,44.51
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,25.0,47.18
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,26.0,50.01
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,27.0,53.01
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,28.0,56.19
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,29.0,59.56
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,30.0,63.13
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,31.0,66.92
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,32.0,68.93
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,33.0,71.0
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,34.0,73.12
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,35.0,75.32
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,36.0,77.58
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,37.0,79.91
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,38.0,81.5
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,39.0,83.13
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,40.0,84.8
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,41.0,86.49
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,42.0,88.22
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,43.0,89.99
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,44.0,91.79
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,45.0,93.62
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,46.0,95.49
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,47.0,97.4
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,48.0,99.35
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,49.0,101.34
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,50.0,103.37
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,51.0,105.43
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,52.0,107.54
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,53.0,109.69
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,54.0,111.89
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,55.0,114.12
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,56.0,116.41
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,57.0,118.74
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,58.0,121.11
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,59.0,123.53
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,60.0,126.0
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,61.0,128.52
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,62.0,131.09
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,63.0,133.72
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,64.0,136.39
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,65.0,139.12
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,66.0,141.9
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,67.0,144.74
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,68.0,147.63
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,69.0,150.59
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,70.0,153.6
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,71.0,156.67
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,72.0,159.8
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,73.0,163.0
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,74.0,166.26
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,75.0,169.58
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,76.0,172.98
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,77.0,176.43
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,78.0,179.96
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,79.0,183.56
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,80.0,187.23
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,81.0,190.98
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,82.0,194.8
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,83.0,198.69
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,84.0,202.67
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,85.0,206.72
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,86.0,210.86
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,87.0,215.07
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,88.0,219.37
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,89.0,223.76
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,90.0,228.24
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,91.0,232.8
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,92.0,237.46
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,93.0,242.21
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,94.0,247.05
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,95.0,251.99
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,96.0,257.03
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,97.0,262.17
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,98.0,267.42
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,99.0,272.76
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,100.0,278.22
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,101.0,283.78
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,102.0,289.46
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,103.0,295.25
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,104.0,301.15
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,105.0,307.18
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,106.0,313.32
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,107.0,319.59
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,108.0,325.98
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,109.0,332.5
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,110.0,339.15
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,111.0,345.93
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,112.0,352.85
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,113.0,359.91
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,114.0,367.11
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,115.0,374.45
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,116.0,381.94
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,117.0,389.57
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,118.0,397.37
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,119.0,405.31
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,120.0,413.42
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,121.0,421.69
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,122.0,430.12
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,123.0,438.72
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,124.0,447.5
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,125.0,456.45
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,126.0,465.58
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,127.0,474.89
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,128.0,484.39
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,129.0,494.08
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,130.0,503.96
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,131.0,514.04
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,132.0,524.32
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,133.0,534.8
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,134.0,545.5
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,135.0,556.41
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,136.0,567.54
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,137.0,578.89
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,138.0,590.47
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,139.0,602.27
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,140.0,614.32
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,141.0,626.61
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,142.0,639.14
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,143.0,651.92
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,144.0,664.96
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,145.0,678.26
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,146.0,691.82
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,147.0,705.66
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,148.0,719.77
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,149.0,734.17
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,150.0,748.85
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,dense,151.0,763.83
BP_NPC_Shared_Environment,dense,1.0,1.0
BP_NPC_Shared_Environment,dense,2.0,1.31
BP_NPC_Shared_Environment,dense,3.0,1.85
BP_NPC_Shared_Environment,dense,4.0,2.6
BP_NPC_Shared_Environment,dense,5.0,3.67
BP_NPC_Shared_Environment,dense,6.0,4.05
BP_NPC_Shared_Environment,dense,7.0,4.66
BP_NPC_Shared_Environment,dense,8.0,6.11
BP_NPC_Shared_Environment,dense,9.0,8.0
BP_NPC_Shared_Environment,dense,10.0,10.49
BP_NPC_Shared_Environment,dense,11.0,11.23
BP_NPC_Shared_Environment,dense,12.0,11.96
BP_NPC_Shared_Environment,dense,13.0,14.47
BP_NPC_Shared_Environment,dense,14.0,17.51
BP_NPC_Shared_Environment,dense,15.0,21.18
BP_NPC_Shared_Environment,dense,16.0,21.92
BP_NPC_Shared_Environment,dense,17.0,22.98
BP_NPC_Shared_Environment,dense,18.0,26.77
BP_NPC_Shared_Environment,dense,19.0,31.19
BP_NPC_Shared_Environment,dense,20.0,36.34
BP_NPC_Shared_Environment,dense,21.0,37.37
BP_NPC_Shared_Environment,dense,22.0,39.61
BP_NPC_Shared_Environment,dense,23.0,41.99
BP_NPC_Shared_Environment,dense,24.0,44.51
BP_NPC_Shared_Environment,dense,25.0,47.18
BP_NPC_Shared_Environment,dense,26.0,50.01
BP_NPC_Shared_Environment,dense,27.0,53.01
BP_NPC_Shared_Environment,dense,28.0,56.19
BP_NPC_Shared_Environment,dense,29.0,59.56
BP_NPC_Shared_Environment,dense,30.0,63.13
BP_NPC_Shared_Environment,dense,31.0,66.92
BP_NPC_Shared_Environment,dense,32.0,68.93
BP_NPC_Shared_Environment,dense,33.0,71.0
BP_NPC_Shared_Environment,dense,34.0,73.12
BP_NPC_Shared_Environment,dense,35.0,75.32
BP_NPC_Shared_Environment,dense,36.0,77.58
BP_NPC_Shared_Environment,dense,37.0,79.91
BP_NPC_Shared_Environment,dense,38.0,81.5
BP_NPC_Shared_Environment,dense,39.0,83.13
BP_NPC_Shared_Environment,dense,40.0,84.8
BP_NPC_Shared_Environment,dense,41.0,86.49
BP_NPC_Shared_Environment,dense,42.0,88.22
BP_NPC_Shared_Environment,dense,43.0,89.99
BP_NPC_Shared_Environment,dense,44.0,91.79
BP_NPC_Shared_Environment,dense,45.0,93.62
BP_NPC_Shared_Environment,dense,46.0,95.49
BP_NPC_Shared_Environment,dense,47.0,97.4
BP_NPC_Shared_Environment,dense,48.0,99.35
BP_NPC_Shared_Environment,dense,49.0,101.34
BP_NPC_Shared_Environment,dense,50.0,103.37
BP_NPC_Shared_Environment,dense,51.0,105.43
BP_NPC_Shared_Environment,dense,52.0,107.54
BP_NPC_Shared_Environment,dense,53.0,109.69
BP_NPC_Shared_Environment,dense,54.0,111.89
BP_NPC_Shared_Environment,dense,55.0,114.12
BP_NPC_Shared_Environment,dense,56.0,116.41
BP_NPC_Shared_Environment,dense,57.0,118.74
BP_NPC_Shared_Environment,dense,58.0,121.11
BP_NPC_Shared_Environment,dense,59.0,123.53
BP_NPC_Shared_Environment,dense,60.0,126.0
BP_NPC_Shared_Environment,dense,61.0,128.52
BP_NPC_Shared_Environment,dense,62.0,131.09
BP_NPC_Shared_Environment,dense,63.0,133.72
BP_NPC_Shared_Environment,dense,64.0,136.39
BP_NPC_Shared_Environment,dense,65.0,139.12
BP_NPC_Shared_Environment,dense,66.0,141.9
BP_NPC_Shared_Environment,dense,67.0,144.74
BP_NPC_Shared_Environment,dense,68.0,147.63
BP_NPC_Shared_Environment,dense,69.0,150.59
BP_NPC_Shared_Environment,dense,70.0,153.6
BP_NPC_Shared_Environment,dense,71.0,156.67
BP_NPC_Shared_Environment,dense,72.0,159.8
BP_NPC_Shared_Environment,dense,73.0,163.0
BP_NPC_Shared_Environment,dense,74.0,166.26
BP_NPC_Shared_Environment,dense,75.0,169.58
BP_NPC_Shared_Environment,dense,76.0,172.98
BP_NPC_Shared_Environment,dense,77.0,176.43
BP_NPC_Shared_Environment,dense,78.0,179.96
BP_NPC_Shared_Environment,dense,79.0,183.56
BP_NPC_Shared_Environment,dense,80.0,187.23
BP_NPC_Shared_Environment,dense,81.0,190.98
BP_NPC_Shared_Environment,dense,82.0,194.8
BP_NPC_Shared_Environment,dense,83.0,198.69
BP_NPC_Shared_Environment,dense,84.0,202.67
BP_NPC_Shared_Environment,dense,85.0,206.72
BP_NPC_Shared_Environment,dense,86.0,210.86
BP_NPC_Shared_Environment,dense,87.0,215.07
BP_NPC_Shared_Environment,dense,88.0,219.37
BP_NPC_Shared_Environment,dense,89.0,223.76
BP_NPC_Shared_Environment,dense,90.0,228.24
BP_NPC_Shared_Environment,dense,91.0,232.8
BP_NPC_Shared_Environment,dense,92.0,237.46
BP_NPC_Shared_Environment,dense,93.0,242.21
BP_NPC_Shared_Environment,dense,94.0,247.05
BP_NPC_Shared_Environment,dense,95.0,251.99
BP_NPC_Shared_Environment,dense,96.0,257.03
BP_NPC_Shared_Environment,dense,97.0,262.17
BP_NPC_Shared_Environment,dense,98.0,267.42
BP_NPC_Shared_Environment,dense,99.0,272.76
BP_NPC_Shared_Environment,dense,100.0,278.22
BP_NPC_Shared_Environment,dense,101.0,283.78
BP_NPC_Shared_Environment,dense,102.0,289.46
