id,value,unresolved_reason,provenance_origin,provenance_dev_name,provenance_source
constants.Ascensions.DispelAndInterrupt.HeroBuff.DamageAndHealingScaler,1.0,,datamine,,
constants.Ascensions.EnemyNewAbilities.ThisIsAFakeEntrySinceWeHandleThisInAIBC,0.0,,datamine,,
constants.Ascensions.LessMagicDamageTakenLessHealing.IncomingHealthMultiplier,1.0,,datamine,,
constants.Ascensions.LessMagicDamageTakenLessHealing.MagicDamageTaken,1.0,,datamine,,
constants.Ascensions.NoDispelNoInterrupt.Scaler,1.0,,datamine,,
constants.Ascensions.ReducedHealingAndAbsorb.WhenNotApplied.AbsorbScaler,1.0,,datamine,,
constants.Ascensions.ReducedHealingAndAbsorb.WhenNotApplied.HealScaler,1.0,,datamine,,
constants.Ascensions.ThreatManagement.HeroBuff.CritRatingIncrease,0.0,,datamine,,
constants.Ascensions.ThreatManagement.NonTank.DamageThreatMultiplier,1.0,,datamine,,
constants.Ascensions.ThreatManagement.NonTank.HealThreatMultiplier,1.0,,datamine,,
constants.Ascensions.TimerKillScore.HeroBuff.HasteRatingIncrease,0.0,,datamine,,
constants.Boss.GlobalCooldown,1.5,,datamine,,
constants.DebugHero1.CastedAoeAbility.CastingDuration,3.0,,datamine,,
constants.Debug_Boss.AutoAttack.Cooldown,2.0,,datamine,,
constants.Debug_Boss.AutoAttack.DamageIntellectCoefficient,12.0,,datamine,,
constants.Debug_Boss.AutoAttack.MaxRange,500.0,,datamine,,
constants.Debug_Boss.AutoAttack.Spread,0.4,,datamine,,
constants.DefaultStatusEffects.Disorient.Duration,20.0,,datamine,,
constants.DefaultStatusEffects.Disorient.MaxMoveRange,500.0,,datamine,,
constants.DefaultStatusEffects.Disorient.MaxWaitTime,1.0,,datamine,,
constants.DefaultStatusEffects.Disorient.MinMoveRange,300.0,,datamine,,
constants.DefaultStatusEffects.Disorient.MinWaitTime,0.0,,datamine,,
constants.DefaultStatusEffects.Disorient.MoveSpeedScaler,0.25,,datamine,,
constants.DefaultStatusEffects.Fear.DamageThresholdAttributeScaler,10.0,,datamine,,
constants.DefaultStatusEffects.Fear.Duration,8.0,,datamine,,
constants.DefaultStatusEffects.Fear.MaxMoveRange,1000.0,,datamine,,
constants.DefaultStatusEffects.Fear.MaxWaitTime,2.0,,datamine,,
constants.DefaultStatusEffects.Fear.MinMoveRange,500.0,,datamine,,
constants.DefaultStatusEffects.Fear.MinWaitTime,1.0,,datamine,,
constants.DefaultStatusEffects.Fear.MoveSpeedScaler,0.8,,datamine,,
constants.Global.Ability.ProcUiFlashDuration,2.0,,datamine,,
constants.Global.AbilityPadding.CC,2.0,,datamine,,
constants.Global.AbilityPadding.Interrupt,2.0,,datamine,,
constants.Global.ArmorToDamageReductionMultiplier,0.7,,datamine,,
constants.Global.Block.ArmorToFlatDamageReductionScalar,0.15,,datamine,,
constants.Global.Block.IncomingDamageMultiplier,0.8,,datamine,,
constants.Global.DefaultCCCooldown,9.0,,datamine,,
constants.Global.DefaultFillerCastInterruptCooldown,6.0,,datamine,,
constants.Global.DungeonQualifyTimePenaltyOnDeath,0.0,,datamine,,
constants.Global.GrievousCritScalar,1.0,,datamine,,
constants.Global.SecondaryThreatMaxDistance,5000.0,,datamine,,
constants.HealerPriestess.DivineIntervention.ChannelDuration,5.0,,datamine,,
constants.HealerPriestess.DivineIntervention.Cooldown,300.0,,datamine,,
constants.HealerPriestess.DivineIntervention.IntellectCoefficientPerTick,1.22,,datamine,,
constants.HealerPriestess.DivineIntervention.TickPeriod,0.5,,datamine,,
constants.HealerPriestess.DivineSteel.Cooldown,4.0,,datamine,,
constants.HealerPriestess.DivineSteel.Duration,10.0,,datamine,,
constants.HealerPriestess.DivineSteel.HolyDamageFactor,0.15,,datamine,,
constants.HealerPriestess.DivineSteel.ManaCost,3.0,,datamine,,
constants.HealerPriestess.Prayer.ChannelDuration,9.15,,datamine,,
constants.HealerPriestess.Prayer.ChannelTickInterval,1.0,,datamine,,
constants.HealerPriestess.Prayer.Cooldown,120.0,,datamine,,
constants.HealerPriestess.Prayer.ManaRegenRate,0.1,,datamine,,
constants.HealerVamp.AutoAttack.Cooldown,1.5,,datamine,,
constants.HealerVamp.AutoAttack.IntellectCoefficient,1.0,,datamine,,
constants.HealerVamp.AutoAttack.LifeSteal,0.4,,datamine,,
constants.HealerVamp.Autoattack.Spread,0.4,,datamine,,
constants.HealerVamp.BloodBarrier.AbsorbMultiplier,3.0,,datamine,,
constants.HealerVamp.BloodBarrier.Cooldown,12.0,,datamine,,
constants.HealerVamp.BloodBarrier.Duration,10.0,,datamine,,
constants.HealerVamp.BloodBarrier.HpCostFactor,0.3,,datamine,,
constants.HealerVamp.BloodLash.Cooldown,5.0,,datamine,,
constants.HealerVamp.BloodLash.IntellectCoefficient,1.3,,datamine,,
constants.HealerVamp.BloodLash.LifeSteal,0.4,,datamine,,
constants.HealerVamp.BloodLash.Spread,0.4,,datamine,,
constants.HealerVamp.DarkGift.Cooldown,30.0,,datamine,,
constants.HealerVamp.DarkGift.Duration,10.0,,datamine,,
constants.HealerVamp.DarkGift.LifeSteal,0.2,,datamine,,
constants.HealerVamp.DarkRebirth.Cooldown,120.0,,datamine,,
constants.HealerVamp.DarkRebirth.Countdown,3.0,,datamine,,
constants.HealerVamp.DarkRebirth.RevivedHealthPercentage,1.0,,datamine,,
constants.HealerVamp.Feast.Cooldown,24.0,,datamine,,
constants.HealerVamp.Feast.HpCost,0.0,,datamine,,
constants.HealerVamp.Feast.IntellectCoefficient,6.0,,datamine,,
constants.HealerVamp.Feast.LifeSteal,1.0,,datamine,,
constants.HealerVamp.Feast.Spread,0.4,,datamine,,
constants.HealerVamp.NosferatusGift.CastingDuration,0.0,,datamine,,
constants.HealerVamp.NosferatusGift.HpCostFactor,2.28,,datamine,,
constants.HealerVamp.NosferatusGift.IntellectCoefficient,3.8,,datamine,,
constants.HealerVamp.NosferatusGift.Spread,0.4,,datamine,,
constants.HealerVamp.SanguineMark.Cooldown,15.0,,datamine,,
constants.HealerVamp.SanguineMark.Duration,8.0,,datamine,,
constants.HealerVamp.SanguineMark.IntellectCoefficient,3.0,,datamine,,
constants.HealerVamp.SanguineMark.LifeSteal,0.4,,datamine,,
constants.HealerVamp.SanguineMark.ReflectHealing,0.2,,datamine,,
constants.HealerVamp.SanguineMark.Spread,0.4,,datamine,,
constants.HealerVamp.ShadowStalk.Cooldown,20.0,,datamine,,
constants.HealerVamp.ShadowStalk.HpCost,0.0,,datamine,,
constants.HealerVamp.Transfusion.CastingDuration,2.5,,datamine,,
constants.HealerVamp.Transfusion.HpCostfactor,1.14,,datamine,,
constants.HealerVamp.Transfusion.IntellectCoefficient,3.8,,datamine,,
constants.HealerVamp.Transfusion.Spread,0.4,,datamine,,
constants.Hero.AbilityPaddingCooldown.Default.Duration,0.3,,datamine,,
constants.Hero.AbilitySpamProtectionCooldown.Default.Duration,0.4,,datamine,,
constants.Hero.AbilitySpamProtectionCooldown.ShortAbility.Duration,0.18,,datamine,,
constants.Hero.AutoAttack.DefaultSwingTimer,2.5,,datamine,,
constants.Hero.MercenaryBuff.DamageHealScaleExponent,0.98,,datamine,,
constants.Hero.PowerScaling.DamageScalingReductionMultiplier,0.74,,datamine,,
constants.Hero.PowerScaling.HealthScalingExponent,0.93,,datamine,,
constants.Hero.PowerScaling.HighestCompletedDifficultyToScaleFrom,30.0,,datamine,,
constants.Hero.PowerScaling.HighestDungeonDifficultyToScaleAt,20.0,,datamine,,
constants.Hero.PowerScaling.ItemLevelIncreasePerDungeonDifficulty,15.0,,datamine,,
constants.Hero.PowerScaling.NoDamageScalingReductionMulitplierWindow,2.0,,datamine,,
constants.Hero.PowerScaling.NoScalingWindow,3.0,,datamine,,
constants.Hero.Spirit.Buff.Duration,20.0,,datamine,,
constants.Hero.Spirit.Buff.HasteIncrease,0.3,,datamine,,
constants.Hero.Spirit.Buff.ManaRegenRateMultiplier,3.0,,datamine,,
constants.Hero.Spirit.Buff.ManaRegenTickTimeMultiplier,0.5,,datamine,,
constants.Hero.Spirit.Buff.NonTankThreatGenerationScaler,0.5,,datamine,,
constants.Hero.Spirit.DamageReductionFactor,0.5,,datamine,,
constants.Hero.Spirit.OnReviveSpiritPointRetainFactor,0.75,,datamine,,
constants.Hero.Spirit.PassiveGainPeriod,3.0,,datamine,,
constants.Hero.Spirit.PassiveGainRate,1.0,,datamine,,
constants.Hero.SpiritPointGain.DungeonTimerExpiredMultiplier,4.0,,datamine,,
constants.Hero.SpiritPointGain.SpiritPointsFromDamageScaler,0.25,,datamine,,
constants.Hero.SpiritProcRefundResource.Buff.AdditionalPrimaryStatBonusPerStack,0.05,,datamine,,
constants.Hero.SpiritProcRefundResource.Buff.Duration,10.0,,datamine,,
constants.Hero.SpiritProcRefundResource.Buff.DurationIncreasePerStack,2.0,,datamine,,
constants.Hero.SpiritProcRefundResource.Buff.MaxDuration,20.0,,datamine,,
constants.Hero.SpiritProcRefundResource.Delay,0.2,,datamine,,
constants.Hero.Talent.AbilityCommitToSpiritRefund.AdditionalFlatSpiritPointsFromSpiritRefunds,1.0,,datamine,,
constants.Hero.Talent.AbilityCommitToSpiritRefund.AdditionalSpiritRefundChance,1.0,,datamine,,
constants.Hero.Talent.AbilityCommitToSpiritRefund.ProcChance,0.05,,datamine,,
constants.Item.001.ApplicationChance,0.08,,datamine,,
constants.Item.001.Buff.Duration,10.0,,datamine,,
constants.Item.001.Buff.PrimaryStatBonus,20.0,,datamine,,
constants.Item.002.ApplicationHealthThreshold,0.3,,datamine,,
constants.Item.002.Buff.Duration,8.0,,datamine,,
constants.Item.002.Buff.HasteRatingBonus,20.0,,datamine,,
constants.Item.003.Buff.SpiritRatingPerStack,2.0,,datamine,,
constants.Item.003.StacksPerHealthPercentage,0.2,,datamine,,
constants.Item.004.AOE.Buff.CritChanceBonus,0.15,,datamine,,
constants.Item.004.AOE.Duration,8.0,,datamine,,
constants.Item.004.AOE.Radius,800.0,,datamine,,
constants.Item.004.ProcChance,0.05,,datamine,,
constants.Item.005.ApplicationCooldown,30.0,,datamine,,
constants.Item.005.Buff.Duration,6.0,,datamine,,
constants.Item.005.Buff.HasteBonus,0.2,,datamine,,
constants.Item.005.Buff.MovementSpeedBonus,1.2,,datamine,,
constants.Item.BattleArmor.TriggerThresholdLifePercent,0.3,,datamine,,
constants.Item.CatBurglarsMitts.DodgeBuffRechargeTime,8.0,,datamine,,
constants.Item.CatBurglarsMitts.DodgeChanceBuffAmount,0.75,,datamine,,
constants.Item.CrimsonSoulstone.ConsumeSouls.MaxHealPercentagePerStack,0.02,,datamine,,
constants.Item.CrystalOfForlornMemories.RestorativeReflections.Charges,3.0,,datamine,,
constants.Item.CrystalOfForlornMemories.RestorativeReflections.Cooldown,12.0,,datamine,,
constants.Item.CrystalOfForlornMemories.RestorativeReflections.Duration,12.15,,datamine,,
constants.Item.CrystalOfForlornMemories.RestorativeReflections.HealInterval,2.0,,datamine,,
constants.Item.CrystalOfForlornMemories.RestorativeReflections.PowerCoefficient,1.63,,datamine,,
constants.Item.CrystalOfForlornMemories.RestorativeReflections.Radius,1000.0,,datamine,,
constants.Item.CrystalOfForlornMemories.RestorativeReflections.Spread,0.4,,datamine,,
constants.Item.DeliciousApple.Active.Charges,3.0,,datamine,,
constants.Item.DeliciousApple.Active.Cooldown,20.0,,datamine,,
constants.Item.DeliciousApple.Active.MaxHealthPercentageRestored,0.3,,datamine,,
constants.Item.EverlastingDecree.IncomingHealMultiplier,1.1,,datamine,,
constants.Item.GoldenFeather.Quickening.Duration,15.0,,datamine,,
constants.Item.GoldenFeather.Quickening.HasteBonus,0.2,,datamine,,
constants.Item.GoldenFeather.Quickening.ProccChance,0.05,,datamine,,
constants.Item.GoldenFeather.Quickening.ProccCooldown,25.0,,datamine,,
constants.Item.HiddenStrikes.ThreatMultiplier,0.85,,datamine,,
constants.Item.IronbarkBoots.DeepRoots.Buff.HasteRating,1.0,,datamine,,
constants.Item.IronbarkBoots.DeepRoots.Buff.Timer,1.0,,datamine,,
constants.Item.IronscaleWarhorn.GrandMelee.Buff.Duration,5.0,,datamine,,
constants.Item.IronscaleWarhorn.GrandMelee.Buff.MovementSpeedIncrease,1.5,,datamine,,
constants.Item.IronscaleWarhorn.GrandMelee.Cooldown,180.0,,datamine,,
constants.Item.JuicyPlum.Active.Charges,3.0,,datamine,,
constants.Item.JuicyPlum.Active.Cooldown,20.0,,datamine,,
constants.Item.JuicyPlum.Active.MaxManaPercentageRestored,0.3,,datamine,,
constants.Item.LeggingsOfTheSwiftHunt.Active.Charges,5.0,,datamine,,
constants.Item.LeggingsOfTheSwiftHunt.Active.Cooldown,20.0,,datamine,,
constants.Item.LeggingsOfTheSwiftHunt.Active.MovementSpeedIncrease,1.5,,datamine,,
constants.Item.LeggingsOfTheSwiftHunt.Active.MovementSpeedIncreaseDuration,10.0,,datamine,,
constants.Item.LingeringPresence.SpiritRatingAdd,34.0,,datamine,,
constants.Item.LingeringPresence.cooldown,120.0,,datamine,,
constants.Item.LingeringPresence.duration,15.0,,datamine,,
constants.Item.MarkofArchWarlock.CriticalEffectMultiplier,1.1,,datamine,,
constants.Item.MaroonBreaches.LeapAirTime,0.5,,datamine,,
constants.Item.MaroonBreaches.LeapCooldown,45.0,,datamine,,
constants.Item.MaroonBreaches.LeapMaxRange,800.0,,datamine,,
constants.Item.MoccasinsOfDiscovery.Passive.CritBonus,5.0,,datamine,,
constants.Item.MoccasinsOfDiscovery.Passive.Duration,12.0,,datamine,,
constants.Item.MoccasinsOfDiscovery.Passive.ExpertiseBonus,5.0,,datamine,,
constants.Item.MoccasinsOfDiscovery.Passive.HasteBonus,5.0,,datamine,,
constants.Item.MoonshardRing.TearsOfTheMoon.PickupHealthScalerBonus,0.1,,datamine,,
constants.Item.MoonshardRing.TearsOfTheMoon.PickupMosseManaScalerBonus,0.1,,datamine,,
constants.Item.MoonshardRing.TearsOfTheMoon.PickupQuetzalFocusBonus,5.0,,datamine,,
constants.Item.MoonshardRing.TearsOfTheMoon.PickupRimeFocusBonus,2.0,,datamine,,
constants.Item.MoonshardRing.TearsOfTheMoon.PickupVigorManaScalerBonus,0.1,,datamine,,
constants.Item.MoonshardRing.TearsOfTheMoon.PickupWarmasterFocusBonus,20.0,,datamine,,
constants.Item.MoonshardRing.TearsOfTheMoon.ProccChance,0.05,,datamine,,
constants.Item.MoonshardRing.TearsOfTheMoon.ProccCooldown,15.0,,datamine,,
constants.Item.MurderousClub.Passive.Duration,5.0,,datamine,,
constants.Item.MurderousClub.Passive.PercentageDamageBonus,1.15,,datamine,,
constants.Item.SanctifiedGirdle.Passive.Duration,6.0,,datamine,,
constants.Item.SanctifiedGirdle.Passive.HealPercentOfDamage,0.15,,datamine,,
constants.Item.SanctifiedGirdle.Passive.Period,1.5,,datamine,,
constants.Item.ShadowsEmbrace.Charges,3.0,,datamine,,
constants.Item.ShadowsEmbrace.MagicResistOverride,225.0,,datamine,,
constants.Item.ShadowsEmbrace.cooldown,60.0,,datamine,,
constants.Item.ShadowsEmbrace.duration,8.0,,datamine,,
constants.Item.ShandrasSkeletonKey.Cooldown,120.0,,datamine,,
constants.Item.ShandrasSkeletonKey.CooldownReductionFactor,0.5,,datamine,,
constants.Item.ShortBow.Active.CastingDuration,2.0,,datamine,,
constants.Item.ShortBow.Active.Cooldown,24.0,,datamine,,
constants.Item.ShortBow.Active.FlatDamage,2.5,,datamine,,
constants.Item.Skystriders.BlessedTraveler.ProccAbsorbFactor,0.1,,datamine,,
constants.Item.Skystriders.BlessedTraveler.ProccCooldown,10.0,,datamine,,
constants.Item.Skystriders.BlessedTraveler.ProccDuration,8.0,,datamine,,
constants.Item.SpiderFangSickle.InjectVenomCooldown,60.0,,datamine,,
constants.Item.SpiderFangSickle.InjectVenomFlatDamagePerTick,0.93,,datamine,,
constants.Item.SpiderFangSickle.InjectVenomTickPeriod,3.0,,datamine,,
constants.Item.SpiderFangSickle.InjectVenomTotalTime,18.15,,datamine,,
constants.Item.StaffOfFleetingMoments.SecondChance.CastTime,3.0,,datamine,,
constants.Item.StaffOfFleetingMoments.SecondChance.NumCharges,1.0,,datamine,,
constants.Item.SteelToeKicks.Active.Cooldown,60.0,,datamine,,
constants.Item.SteelToeKicks.Active.KickForce,500.0,,datamine,,
constants.Item.TapestryOfWar.InspiringPresence.Buff.Duration,600.0,,datamine,,
constants.Item.TapestryOfWar.InspiringPresence.Buff.MaxHealthMultiplier,1.1,,datamine,,
constants.Item.TapestryOfWar.InspiringPresence.CastTime,3.0,,datamine,,
constants.Item.TapestryOfWar.InspiringPresence.Charges,3.0,,datamine,,
constants.Item.ThunderlordsJudgement.ChainLightning.ChainDamageReduction,0.8,,datamine,,
constants.Item.ThunderlordsJudgement.ChainLightning.MaxChainJumps,2.0,,datamine,,
constants.Item.ThunderlordsJudgement.ChainLightning.PowerCoefficient,3.0,,datamine,,
constants.Item.ThunderlordsJudgement.ChainLightning.ProccChance,0.08,,datamine,,
constants.Item.ThunderlordsJudgement.ChainLightning.Spread,0.4,,datamine,,
constants.Item.UnholyMight.CriticalEffectMultiplier,0.75,,datamine,,
constants.Item.WeightedStrikes.ArmorDamageReductionToDamageMultiplier,0.25,,datamine,,
constants.Opportunity.EffectDuration,30.0,,datamine,,
constants.Player.ActiveDefenseTriggered.EffectDuration,5.0,,datamine,,
constants.Player.TeleportDeadPlayerToValidPosition.Delay,3.0,,datamine,,
constants.Player.TeleportDeadPlayerToValidPosition.DistanceFromEdge,300.0,,datamine,,
constants.PlayerAction.CoffinInteract.CastingDuration,1.5,,datamine,,
constants.PlayerAction.Mount.CastingDuration,1.5,,datamine,,
constants.PlayerAction.Revive.CastingDuration,8.0,,datamine,,
constants.PlayerAction.TheEternalizedMartyrInteract.CastingDuration,1.5,,datamine,,
constants.Shared.BackgroundFighting.HighMinHealthPercent,0.95,,datamine,,
constants.Shared.BackgroundFighting.IncomingDamageMultiplier,0.1,,datamine,,
constants.Shared.BackgroundFighting.LowMinHealthPercent,0.8,,datamine,,
constants.Shared.RespawnCooldown.Duration,30.0,,datamine,,
constants.Shared.RespawnGracePeriod.Duration,3.0,,datamine,,
constants.Shared.Tank.ReducedIncomingDamage,0.9,,datamine,,
constants.Shared.UpdateRespawnPoint.BlockedByNearbyEnemies.Range,1500.0,,datamine,,
constants.Shared.UpdateRespawnPoint.CastTime,2.0,,datamine,,
constants.Shared_PolymorphChickenSmall.AutoAttack.Cooldown,2.1,,datamine,,
constants.Shared_PolymorphChickenSmall.AutoAttack.Damage.StrengthCoefficient,1.02,,datamine,,
constants.Shared_PolymorphChickenSmall.AutoAttack.MaxRange,400.0,,datamine,,
constants.Stagger.AmountOfBuckets,5.0,,datamine,,
constants.Stagger.MaxHealthPercentage,0.6,,datamine,,
constants.Stagger.Period,3.0,,datamine,,
constants.Stealth.Hero.DissolveAmount,0.65,,datamine,,
constants.Stealth.Hero.DissolveDuration,1.0,,datamine,,
constants.Stealth.NPC.DissolveAmount,1.0,,datamine,,
constants.Stealth.NPC.DissolveDuration,1.0,,datamine,,
constants.Winter.Collectable.InteractionTime,1.0,,datamine,,
constants.Winter.Collectable.StackingBuff.Duration,20.0,,datamine,,
constants.Winter.Collectable.StackingBuff.MoveSpeedBonusPerStack,1.05,,datamine,,
key_values.ability_padding_cooldown,0.3,,datamine,,
key_values.ability_spam_protection.Default.Duration,0.4,,datamine,,
key_values.ability_spam_protection.ShortAbility.Duration,0.18,,datamine,,
key_values.armor_to_damage_reduction_multiplier,0.7,,datamine,,
key_values.auto_attack_default_swing_timer,2.5,,datamine,,
key_values.boss_global_cooldown,1.5,,datamine,,
key_values.default_cc_cooldown,9.0,,datamine,,
key_values.default_status_effect_durations.Disorient,20.0,,datamine,,
key_values.default_status_effect_durations.Fear,8.0,,datamine,,
key_values.hero_global_cooldown_effect_duration.computed_by,,the source records no value for this build,datamine,,
key_values.power_scaling.DamageScalingReductionMultiplier,0.74,,datamine,,
key_values.power_scaling.HealthScalingExponent,0.93,,datamine,,
key_values.power_scaling.HighestCompletedDifficultyToScaleFrom,30.0,,datamine,,
key_values.power_scaling.HighestDungeonDifficultyToScaleAt,20.0,,datamine,,
key_values.power_scaling.ItemLevelIncreasePerDungeonDifficulty,15.0,,datamine,,
key_values.power_scaling.NoDamageScalingReductionMulitplierWindow,2.0,,datamine,,
key_values.power_scaling.NoScalingWindow,3.0,,datamine,,
