id,constants_ordinal,name,curve_ref,value_known,value_curve_ref,value_default,value_unresolved_reason
GA_Bowguy_CastedProjectileHeavyDamage_C,8,IncreasedIncomingDamageDebuff DamageMultiplier,Bowguy.CastedProjectileHeavyDamage.Talent.IncreasedIncomingDamageDebuff.IncomingDamageMultiplier,1.08,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,9,InstantNoCooldownProc DamageScale,Bowguy.CastedProjectileHeavyDamage.Talent.InstantNoCooldownProc.DamageScaleWhenHittingInsantMarkTarget,1.5,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,10,Max Charges,Bowguy.CastedProjectileHeavyDamage.MaxCharges,3.0,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,11,MaxRangeRef,Bowguy.RangedRange,3000.0,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,12,StacksMoreDamageAndBounces Max Bounces,Bowguy.CastedProjectileHeavyDamage.Talent.StacksMoreDamageAndBounces.MaxBounces,9.0,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,Angle Degrees,Bowguy.ChanneledMultiProjectileDebuff.SearchMaxAngle,320.0,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,1,Channel Duration Ref,Bowguy.ChanneledMultiProjectileDebuff.ChannelDuration,2.0,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,2,ChannelingTickInterval,Bowguy.ChanneledMultiProjectileDebuff.TickInterval,0.2,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,3,CooldownDuration,Bowguy.ChanneledMultiProjectileDebuff.Cooldown,20.0,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,4,Increased Channel Duration,Bowguy.ChanneledMultiProjectileDebuff.Talent.IncreasedChannelDuration.Amount,0.5,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,5,Max Ticks,Bowguy.ChanneledMultiProjectileDebuff.MaxTicks,10.0,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,6,MaxRadiusFromTarget,Bowguy.ChanneledMultiProjectileDebuff.MaxRadiusFromTarget,1000.0,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,7,MaxRangeRef,Bowguy.RangedRange,3000.0,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,8,ResetCooldownAndBuff DamageBonus,Bowguy.ChanneledMultiProjectileDebuff.Talent.ResetCooldownAndBuff.AdditionalDamagePerProjectile,0.1,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,9,Riccochet Additional Targets,Bowguy.ChanneledMultiProjectileDebuff.Talent.Riccochet.AdditionalTargets,1.0,,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,10,Tick Interval,Bowguy.ChanneledMultiProjectileDebuff.TickInterval,0.2,,,
GA_Bowguy_ChargedMoveWithDirection_C,0,CooldownDuration,Bowguy.ChargedMoveWithDirection.ChargeTime,8.0,,,
GA_Bowguy_ChargedMoveWithDirection_C,1,InAirExitSpeed Ref,Bowguy.ChargedMoveWithDirection.InAirExitSpeed,1000.0,,,
GA_Bowguy_ChargedMoveWithDirection_C,2,Max Charges,Bowguy.ChargedMoveWithDirection.MaxCharges,3.0,,,
GA_Bowguy_ChargedMoveWithDirection_C,3,Max Distance,Bowguy.ChargedMoveWithDirection.MaxDistance,1000.0,,,
GA_Bowguy_ChargedMoveWithDirection_C,4,Speed Ref,Bowguy.ChargedMoveWithDirection.Speed,2500.0,,,
GA_Bowguy_DurationalAoeDamage_C,0,CastingDuration,Bowguy.DurationalAoeDamage.CastTime,1.5,,,
GA_Bowguy_InstantMarkTarget_C,0,AdditionalTargetRadiusRef,Bowguy.InstantMarkTarget.AdditionalTargetsRadius,850.0,,,
GA_Bowguy_InstantMarkTarget_C,1,CooldownDuration,Bowguy.DamageBounceSelfBuff.Cooldown,40.0,,,
GA_Bowguy_InstantMarkTarget_C,2,Max Range Ref,Bowguy.InstantMarkTarget.MaxRange,3000.0,,,
GA_Bowguy_InstantMarkTarget_C,3,StacksApplied,Bowguy.InstantMarkTarget.StacksApplied,3.0,,,
GA_Bowguy_InstantSingleInterrupt_C,0,CooldownDuration,Bowguy.InstantSingleInterrupt.Cooldown,20.0,,,
GA_Bowguy_InstantSingleInterrupt_C,1,MaxRangeRef,Bowguy.RangedRange,3000.0,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,AoeDamageScaleTargetCountThreshold Ref,Bowguy.InstantMarkTarget.AdditionalHit.Aoe.TargetCountThreshold,12.0,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,1,AoeHeightRef,Bowguy.InstantMarkTarget.AdditionalHit.Aoe.Height,500.0,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,2,AoeRadiusRef,Bowguy.InstantMarkTarget.AdditionalHit.Aoe.Radius,800.0,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,3,InstantMarkTarget IncreasedInstantMarkTriggerChance ChanceMultiplier,Bowguy.InstantMarkTarget.Talent.IncreasedInstantMarkTriggerChance.ChanceMultiplier,2.0,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,4,Lunarlight ChanceToProc,Bowguy.InstantMarkTarget.AdditionalHit.ChanceToProc,0.25,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,5,Lunarlight ChanceToProc IfCrit,Bowguy.InstantMarkTarget.AdditionalHit.ChanceToProcIfCrit,0.5,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,6,SingleProjectileDamage ChanceInstantMarkTarget AdditionalChance,Bowguy.SingleProjectileDamage.Talent.ChanceInstantMarkTarget.ChanceMultiply,1.0,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,7,SplashDamageScaleRef,Bowguy.InstantMarkTarget.AdditionalHit.DamageScale,1.0,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,8,SplashZoneRadiusRef,Bowguy.InstantMarkTarget.AdditionalHit.MaxRadius,3000.0,,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,9,TargetedAoeDamage IncreasedInstantMarkTargetTriggerChance AddedCrit,Bowguy.TargetedAoeDamage.Talent.IncreasedInstantMarkTriggerChance.AddedCritChance,0.2,,,
GA_Bowguy_ProcHasteBuff_C,0,CooldownDuration,Bowguy.ProcHasteBuff.Cooldown,120.0,,,
GA_Bowguy_ProcHasteBuff_C,1,Modifier,Bowguy.ProcHasteBuff.Talent.Passive.ReducedCooldown.CooldownScaler,0.8,,,
GA_Bowguy_RangedAutoAttack_C,0,MaxRangeRef,Bowguy.RangedRange,3000.0,,,
GA_Bowguy_RangedAutoAttack_C,1,Proc Chance,Bowguy.RangedAutoAttack.Proc.Chance,2.0,,,
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,CastingDuration,Bowguy.ReducedCostCooldownRecoveryBuff.CastTime,0.7,,,
GA_Bowguy_SelfBuffForAoeProjectile_C,0,ChargesCooldownAndDuration Max Stacks,Bowguy.SelfBuffForAoeProjectile.MaxStacks,4.0,,,
GA_Bowguy_SelfBuffForAoeProjectile_C,1,CooldownDuration,Bowguy.SelfBuffForAoeProjectile.Cooldown,45.0,,,
GA_Bowguy_SelfBuffForAoeProjectile_C,2,Cost Multiplier,Bowguy.SelfBuffForAoeProjectile.CostMultiplier,0.5,,,
GA_Bowguy_SelfBuffForAoeProjectile_C,3,Min Projectiles,Bowguy.SelfBuffForAoeProjectile.MinProjectiles,3.0,,,
GA_Bowguy_SelfBuffForAoeProjectile_C,4,Modifier,Bowguy.SelfBuffForAoeProjectile.Talent.ChargesCooldownAndDuration.CooldownReductionInSeconds,10.0,,,
GA_Bowguy_SelfDefenceBuff_C,0,CooldownDuration,Bowguy.SelfDefenceBuff.Cooldown,30.0,,,
GA_Bowguy_SingleProjectileDamage_C,0,MaxRangeRef,Bowguy.RangedRange,3000.0,,,
GA_Bowguy_SingleProjectileDamage_C,1,StacksApplied,Bowguy.InstantMarkTarget.StacksApplied,3.0,,,
GA_Bowguy_TargetedAoeDamage_C,0,BaseRadius,Bowguy.TargetedAoeDamage.Radius,700.0,,,
GA_Bowguy_TargetedAoeDamage_C,1,CooldownDuration,Bowguy.TargetedAoeDamage.Cooldown,40.0,,,
GA_Bowguy_TargetedAoeDamage_C,2,Duration,Bowguy.TargetedAoeDamage.Duration,8.0,,,
GA_Bowguy_TargetedAoeDamage_C,3,Max Range Ref,Bowguy.RangedRange,3000.0,,,
GA_Bowguy_TargetedAoeDamage_C,4,RangeDown,Bowguy.PlacedAOEMaxRangeDown,2000.0,,,
GA_Bowguy_TargetedAoeDamage_C,5,RangeHorizontal,Bowguy.PlacedAOEMaxRangeHorizontal,3000.0,,,
GA_Bowguy_TargetedAoeDamage_C,6,RangeUp,Bowguy.PlacedAOEMaxRangeUp,1500.0,,,
GA_Bowguy_TargetedAoeDamage_C,7,Target Count Threshold,Bowguy.TargetedAoeDamage.TargetCountThreshold,12.0,,,
GA_Bowguy_TargetedAoeDamage_C,8,Tick Interval,Bowguy.TargetedAoeDamage.TickInterval,1.0,,,
GA_Bowguy_TargetedAoePull_C,0,BaseRadius,Bowguy.TargetedAoePull.Radius,800.0,,,
GA_Bowguy_TargetedAoePull_C,1,CooldownDuration,Bowguy.TargetedAoePull.Cooldown,120.0,,,
GA_Bowguy_TargetedAoePull_C,2,Modifier,Bowguy.TargetedAoePull.Talent.ChargedLongerCooldown.AdditionalCooldownInSeconds,30.0,,,
GA_Bowguy_TargetedAoePull_C,3,Projectile Speed,Bowguy.TargetedAoePull.ProjectileSpeed,8000.0,,,
GA_Bowguy_TargetedAoePull_C,4,RangeDown,Bowguy.PlacedAOEMaxRangeDown,2000.0,,,
GA_Bowguy_TargetedAoePull_C,5,RangeHorizontal,Bowguy.PlacedAOEMaxRangeHorizontal,3000.0,,,
GA_Bowguy_TargetedAoePull_C,6,RangeUp,Bowguy.PlacedAOEMaxRangeUp,1500.0,,,
GA_Bowguy_TargetedAoePull_C,7,TargetedAoePull_ChargedLongerCooldown Charges,Bowguy.TargetedAoePull.Talent.ChargedLongerCooldown.MaxCharges,2.0,,,
GA_Gunde_BasicSingleTargetAttack,0,FirstHitVisualDelayRef,Gunde.BasicSingleTargetAttack.FirstVisualHitDelay,0.1,,,
GA_Gunde_BasicSingleTargetAttack,1,MeleeMaxRangeRef,Gunde.MeleeRange,500.0,,,
GA_Gunde_BasicSingleTargetAttack,2,RangedMaxRangeRef,Gunde.BasicSingleTargetAttack.MaxRange,3000.0,,,
GA_Gunde_BasicSingleTargetAttack,3,SecondHitVisualDelayRef,Gunde.BasicSingleTargetAttack.SecondVisualHitDelay,0.45,,,
GA_Gunde_DamageReductionSelfBuff,0,CooldownDuration,Gunde.DamageReductionSelfBuff.Cooldown,30.0,,,
GA_Gunde_DamageReductionSelfBuff,1,VisualDelayRef,Gunde.DamageReductionSelfBuff.VisualDelay,0.24,,,
GA_Gunde_DashAttack,0,CooldownDuration,Gunde.DashAttack.CooldownDuration,8.0,,,
GA_Gunde_DashAttack,1,Cylinder Radius,Gunde.DashAttack.DamageRadius,250.0,,,
GA_Gunde_DashAttack,2,InAirExitSpeed Ref,Gunde.DashAttack.InAirExitSpeed,1000.0,,,
GA_Gunde_DashAttack,3,Max Charges,Gunde.DashAttack.MaxCharges,2.0,,,
GA_Gunde_DashAttack,4,Max Distance,Gunde.DashAttack.MaxDistance,1000.0,,,
GA_Gunde_DashAttack,5,Speed Ref,Gunde.DashAttack.Speed,2500.0,,,
GA_Gunde_DotTransfer,0,CooldownDuration,Gunde.DotTransfer.Target.Cooldown,3.0,,,
GA_Gunde_DotTransfer,1,MaxRangeRef,Gunde.DotTransfer.MaxRange,2000.0,,,
GA_Gunde_DotTransfer,2,Talent DotTransfer InstantAoeWithBuff DamageAndOrbs AdditionalIncreasePerStack,Gunde.DotTransfer.Talent.InstantAoeWithBuff.DamageAndOrbs.AdditionalDamagePerStack,0.02,,,
GA_Gunde_DotTransfer,3,Talent DotTransfer InstantAoeWithBuff DamageAndOrbs BaseMultiplier,Gunde.DotTransfer.Talent.InstantAoeWithBuff.DamageAndOrbs.DamageMultiplier,1.2,,,
GA_Gunde_DotTransfer,4,VisualDelayRef,Gunde.DotTransfer.VisualDelay,0.25,,,
GA_Gunde_DurationalAoeDotAndBuff,0,Application Period,Gunde.DurationalAoeDotAndBuff.Period,1.5,,,
GA_Gunde_DurationalAoeDotAndBuff,1,CastingDuration,Gunde.DurationalAoeDotAndBuff.CastTime,1.0,,,
GA_Gunde_DurationalAoeDotAndBuff,2,Life Span,Gunde.DurationalAoeDotAndBuff.Duration,6.15,,,
GA_Gunde_DurationalAoeDotAndBuff,3,Radius,Gunde.DurationalAoeDotAndBuff.Radius,1000.0,,,
GA_Gunde_DurationalAoeDotAndBuff,4,TargetCountThreshold,Gunde.DurationalAoeDotAndBuff.DamageScalingTargetCountThreshold,1.0,,,
GA_Gunde_DurationalAoeDotAndBuff,5,TotalDamageToStackCountRef,Gunde.PerTargetAccumulatedBleed.TotalDamageToStackCountScaler,0.0025,,,
GA_Gunde_ExtraDotDamageBuff,0,BonusDotDamage Ref,Gunde.ExtraDotDamageBuff.BonusDotDamage,0.3,,,
GA_Gunde_ExtraDotDamageBuff,1,CooldownDuration,Gunde.ExtraDotDamageBuff.Cooldown,90.0,,,
GA_Gunde_ExtraDotDamageBuff,2,Talent AddedDotTransfer Ref,Gunde.ExtraDotDamageBuff.Talent.AddedBonus.AddedTransfer,0.25,,,
GA_Gunde_ExtraDotDamageBuff,3,VisualDelayRef,Gunde.ExtraDotDamageBuff.VisualDelay,0.2,,,
GA_Gunde_HeavyMeleeDotBased,0,CooldownDuration,Gunde.HeavyMeleeDotBased.Cooldown,12.0,,,
GA_Gunde_HeavyMeleeDotBased,1,DamageDotCoefficientRef,Gunde.HeavyMeleeDotBased.Damage.DotCoefficient,0.3,,,
GA_Gunde_HeavyMeleeDotBased,2,DamageStrengthCoefficientRef,Gunde.HeavyMeleeDotBased.Damage.StrengthCoefficient,4.7,,,
GA_Gunde_HeavyMeleeDotBased,3,HitVisualDelayRef,Gunde.HeavyMeleeDotBased.VisualDelay,0.35,,,
GA_Gunde_HeavyMeleeDotBased,4,MaxRangeRef,Gunde.MeleeRange,500.0,,,
GA_Gunde_HeavyMeleeDotBased,5,Talent Charges,Gunde.HeavyMeleeDotBased.Talent.Charges.NumOfCharges,2.0,,,
GA_Gunde_HeavyMeleeDotBased,6,Talent DoubleStrike Chance,Gunde.HeavyMeleeDotBased.Talent.Charges.DoubleStrike.Chance,0.25,,,
GA_Gunde_HeavyMeleeDotBased,7,Talent DoubleStrike Delay,Gunde.HeavyMeleeDotBased.Talent.Charges.DoubleStrike.DelayBetweenStrikes,0.4,,,
GA_Gunde_HeavyMeleeDotBased,8,Talent ReducedTickSpeed PeriodFrequencyIncrease Ref,Gunde.PerTargetAccumulatedBleed.Talent.ReducedTickSpeed.PeriodFrequencyIncrease,1.1,,,
GA_Gunde_HeavyMeleeDotBoost,0,CooldownDuration,Gunde.HeavyMeleeDotBoost.Cooldown,60.0,,,
GA_Gunde_HeavyMeleeDotBoost,1,HitVisualDelayRef,Gunde.HeavyMeleeDotBoost.VisualHitDelay,0.3,,,
GA_Gunde_HeavyMeleeDotBoost,2,MaxRangeRef,Gunde.MeleeRange,500.0,,,
GA_Gunde_InstantAoeDot,0,AccDotToNewDotDamageScalerRef,Gunde.InstantAoeDot.Dot.AccDotToNewDotScaler,1.6,,,
GA_Gunde_InstantAoeDot,1,AoeRadiusRef,Gunde.InstantAoeDot.Aoe.Radius,700.0,,,
GA_Gunde_InstantAoeDot,2,BoostedDotDamage DamageScaler,Gunde.BoostedDotDamage.Debuff.BleedDamageScaler,1.2,,,
GA_Gunde_InstantAoeDot,3,CooldownDuration,Gunde.InstantAoeDot.Cooldown,30.0,,,
GA_Gunde_InstantAoeDot,4,HitVisualDelayRef,Gunde.InstantAoeDot.VisualDelay,0.5,,,
GA_Gunde_InstantAoeDot,5,Talent ReducedTickSpeed PeriodFrequencyIncrease Ref,Gunde.PerTargetAccumulatedBleed.Talent.ReducedTickSpeed.PeriodFrequencyIncrease,1.1,,,
GA_Gunde_InstantAoeWithBuff,0,AoeRadiusRef,Gunde.InstantAoeWithBuff.AoeRadius,700.0,,,
GA_Gunde_InstantAoeWithBuff,1,ConePieAngleWidthRef,Gunde.InstantAoeWithBuff.ConePieAngleWidth,120.0,,,
GA_Gunde_InstantAoeWithBuff,2,ConePieMinRadiusRef,Gunde.InstantAoeWithBuff.ConePieMinRadius,0.0,,,
GA_Gunde_InstantAoeWithBuff,3,CooldownDuration,Gunde.InstantAoeWithBuff.Cooldown,9.0,,,
GA_Gunde_InstantAoeWithBuff,4,DamageScalingTargetCountRef,Gunde.InstantAoeWithBuff.DamageScalingTargetCountThreshold,8.0,,,
GA_Gunde_InstantAoeWithBuff,5,Empowered AddedCritChance Ref,Gunde.InstantAoeWithBuff.Talent.Empowered.AddedCriticalStrikeChance,1.0,,,
GA_Gunde_InstantAoeWithBuff,6,InstantAoeWithBuff AdditionalStack MaxStacks,Gunde.InstantAoeWithBuff.Talent.AdditionalStack.MaxStacks,2.0,,,
GA_Gunde_InstantAoeWithBuff,7,Talent DotTransfer InstantAoeWithBuff DamageAndOrbs StacksPerOrb,Gunde.DotTransfer.Talent.InstantAoeWithBuff.DamageAndOrbs.StacksPerOrb,3.0,,,
GA_Gunde_InstantAoeWithBuff,8,VisualHitDelayRef,Gunde.InstantAoeWithBuff.VisualHitDelay,0.2,,,
GA_Gunde_InstantWhirlwindAoe,0,AoeRadiusRef,Gunde.InstantWhirlwindAoe.AoeRadius,700.0,,,
GA_Gunde_InstantWhirlwindAoe,1,CooldownDuration,Gunde.InstantWhirlwindAoe.Cooldown,5.0,,,
GA_Gunde_InstantWhirlwindAoe,2,DamageScalingTargetCountRef,Gunde.InstantWhirlwindAoe.DamageScalingTargetCountThreshold,8.0,,,
GA_Gunde_InstantWhirlwindAoe,3,VisualHitDelayRef,Gunde.InstantWhirlwindAoe.VisualHitDelay,0.45,,,
GA_Gunde_JumpToLocation,0,CooldownDuration,Gunde.JumpToLocation.Cooldown,20.0,,,
GA_Gunde_JumpToLocation,1,JumpDurationRef,Gunde.JumpToLocation.JumpDuration,0.3,,,
GA_Gunde_JumpToLocation,2,NumChargesRef,Gunde.JumpToLocation.NumCharges,2.0,,,
GA_Gunde_JumpToLocation,3,RangeDownRef,Gunde.JumpToLocation.MaxRangeDown,5000.0,,,
GA_Gunde_JumpToLocation,4,RangeHorizontalRef,Gunde.JumpToLocation.MaxRangeHorizontal,2000.0,,,
GA_Gunde_JumpToLocation,5,RangeUpRef,Gunde.JumpToLocation.MaxRangeUp,1000.0,,,
GA_Gunde_JumpToLocation,6,TargetingRadiusRef,Gunde.JumpToLocation.TargetingRadius,50.0,,,
GA_Gunde_JumpToLocation,7,Visual Hit Delay,Ink.MoveToLocationAoeDamage.VisualHitDelay,0.03,,,
GA_Gunde_MeleeAutoAttack,0,HitVisualDelayRef,Gunde.MeleeAutoAttack.HitVisualDelay,0.51,,,
GA_Gunde_MeleeAutoAttack,1,MaxRangeRef,Gunde.MeleeRange,500.0,,,
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,0,DefaultDuraitonRef,Gunde.PerTargetAccumulatedBleed.Dot.Duration,30.0,,,
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,1,DefaultTickPeriodRef,Gunde.PerTargetAccumulatedBleed.Dot.Period,3.0,,,
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,2,HeavyMeleeDotBoost IncreasedDotDamage DamageMultiplier,Gunde.HeavyMeleeDotBoost.Talent.IncreasedDotDamage.DamageMultiplier,1.12,,,
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,3,PerTargetAccumulatedBleed ReducedTickSpeed PeriodMultiplier,Gunde.PerTargetAccumulatedBleed.Talent.ReducedTickSpeed.PeriodFrequencyIncrease,1.1,,,
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,4,TotalDamageToStackCountRef,Gunde.PerTargetAccumulatedBleed.TotalDamageToStackCountScaler,0.0025,,,
GA_Gunde_SingleTargetInterrupt,0,CooldownDuration,Gunde.SingleTargetInterrupt.Cooldown,16.0,,,
GA_Gunde_SingleTargetInterrupt,1,MaxRangeRef,Gunde.SingleTargetInterrupt.MaxRange,500.0,,,
GA_Gunde_SingleTargetInterrupt,2,VisualDelayRef,Gunde.SingleTargetInterrupt.VisualDelay,0.2,,,
GA_Gunde_SingleTargetPull,0,CooldownDuration,Gunde.SingleTargetPull.Cooldown,30.0,,,
GA_Gunde_SingleTargetPull,1,Cylinder Radius,Gunde.SingleTargetPull.Talent.MultiTargets.Radius,800.0,,,
GA_Gunde_SingleTargetPull,2,DelayRef,Gunde.SingleTargetPull.PullDelay,0.25,,,
GA_Gunde_SingleTargetPull,3,MaxRangeRef,Gunde.SingleTargetPull.MaxRange,3000.0,,,
GA_Gunde_SingleTargetPull,4,Modifier,Gunde.SingleTargetPull.Talent.MultiTargets.AdditionalCooldown,15.0,,,
GA_Gunde_Talent_DotTransfer_Aoe,0,CooldownDuration,Gunde.DotTransfer.Talent.Aoe.Cooldown,20.0,,,
GA_Gunde_Talent_DotTransfer_Aoe,1,Cylinder Radius,Gunde.DotTransfer.Talent.Aoe.Radius,1000.0,,,
GA_Gunde_Talent_DotTransfer_Aoe,2,Max Stacks,Gunde.DotTransfer.Talent.Aoe.MaxStacks,80.0,,,
GA_Gunde_Talent_DotTransfer_Aoe,3,MaxRangeRef,Gunde.DotTransfer.MaxRange,2000.0,,,
GA_Gunde_Talent_DotTransfer_Aoe,4,TotalDamageToStackCountScaler,Gunde.PerTargetAccumulatedBleed.TotalDamageToStackCountScaler,0.0025,,,
GA_Gunde_Talent_DotTransfer_Aoe,5,VisualDelayRef,Gunde.DotTransfer.VisualDelay,0.25,,,
GA_Gunde_TargetedAoeProjectile,0,AoeDurationRef,Gunde.TargetedAoeProjectile.Aoe.Duration,1.15,,,
GA_Gunde_TargetedAoeProjectile,1,AoePeriodRef,Gunde.TargetedAoeProjectile.Aoe.Period,0.5,,,
GA_Gunde_TargetedAoeProjectile,2,AoeRadiusRef,Gunde.TargetedAoeProjectile.Aoe.Radius,700.0,,,
GA_Gunde_TargetedAoeProjectile,3,CooldownDuration,Gunde.TargetedAoeProjectile.Cooldown,15.0,,,
GA_Gunde_TargetedAoeProjectile,4,MeleeMaxRangeRef,Gunde.MeleeRange,500.0,,,
GA_Gunde_TargetedAoeProjectile,5,RangedMaxRangeRef,Gunde.TargetedAoeProjectile.MaxRange,3000.0,,,
GA_Gunde_TargetedAoeProjectile,6,SpawnDelayRef,Gunde.TargetedAoeProjectile.ProjectileSpawnDelay,0.14,,,
GA_Gunde_TargetedAoeProjectile,7,Speed,Gunde.TargetedAoeProjectile.Speed,5000.0,,,
GA_Gunde_TargetedAoeProjectile,8,Talent TargetedAoeProjectile AdditionalTicks,Gunde.TargetedAoeProjectile.Talent.AdditionalTicks.Amount,2.0,,,
GA_Gunde_TargetedAoeProjectile,9,TargetCountScalingRef,Gunde.TargetedAoeProjectile.DamageScalingTargetCountThreshold,5.0,,,
GA_Gunde_TargetedAoeProjectile,10,TargetedAoeProjectile_Empowered AddedCritChance,Gunde.TargetedAoeProjectile.Talent.Empowered.AddedCritChance,1.0,,,
