name,definitions_ordinal,calculation_modifiers_ordinal,ordinal,value
CRAgilityDamageCalculation,24,4,0,CustomGrantedTags.Mara.Talent.ResourceAttackSpenderCritChance.Proc
CRAgilityDamageCalculation,24,5,0,CustomAssetTags.Mara.HeavyAttackSpender.Ability
CRAgilityDamageCalculation,24,6,0,Talents.Mara.AoeAttackSpender.StackDamageBonusToHeavyAttackSpender
CRAgilityDamageCalculation,24,7,0,CustomGrantedTags.Mara.Talent.Stealth.SpenderIncreasedDamage.Proc
CRAgilityDamageCalculation,24,8,0,CustomGrantedTags.Mara.Talent.DamageSpenders.BuffOtherSpender.HeavyAttackSpenderProc
CRAgilityDamageCalculation,25,1,0,CharacterStatus.Stealth
CRAgilityDamageCalculation,26,1,0,CharacterStatus.Stealth
CRAgilityDamageCalculation,31,2,0,Talents.Meiko.ChanneledHeavyDamage.IncreasedDamage
CRAgilityDamageCalculation,31,3,0,Talents.Meiko.ChanneledHeavyDamage.IncreasedDamageHealthThreshold
CRAgilityDamageCalculation,31,4,0,Talents.Meiko.ChanneledHeavyDamage.FinalHitCritChance
CRAgilityDamageCalculation,31,5,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,31,6,0,Talents.Meiko.Earth.IncreasedDamage
CRAgilityDamageCalculation,31,7,0,Talents.Meiko.Finishers.IncreasedDamage
CRAgilityDamageCalculation,32,2,0,Talents.Meiko.ChanneledHeavyDamage.IncreasedDamage
CRAgilityDamageCalculation,32,3,0,Talents.Meiko.ChanneledHeavyDamage.IncreasedDamageHealthThreshold
CRAgilityDamageCalculation,32,4,0,Talents.Meiko.ChanneledHeavyDamage.FinalHitCritChance
CRAgilityDamageCalculation,32,5,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,32,6,0,Talents.Meiko.Earth.IncreasedDamage
CRAgilityDamageCalculation,32,7,0,Talents.Meiko.Finishers.IncreasedDamage
CRAgilityDamageCalculation,33,3,0,Talents.Meiko.Earth.IncreasedDamage
CRAgilityDamageCalculation,33,4,0,Talents.Meiko.DamageSoakBuff.IncreasedDamage
CRAgilityDamageCalculation,33,5,0,Talents.Meiko.TauntTotem.BuffAfterDestroyed
CRAgilityDamageCalculation,34,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,34,3,0,Talents.Meiko.DurationalAoeDamageBuff.IncreasedDamage
CRAgilityDamageCalculation,34,4,0,Talents.Meiko.Finishers.IncreasedDamage
CRAgilityDamageCalculation,34,7,0,Talents.Meiko.Wind.DamageIncrease
CRAgilityDamageCalculation,35,1,0,Talents.Meiko.DurationalMultiTeleportDamage.IncreasedDamage
CRAgilityDamageCalculation,35,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,35,3,0,Talents.Meiko.Wind.DamageIncrease
CRAgilityDamageCalculation,36,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,36,3,0,Talents.Meiko.Earth.IncreasedDamage
CRAgilityDamageCalculation,37,3,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,37,4,0,Talents.Meiko.HighDamageCleave.DoubleStrike
CRAgilityDamageCalculation,37,6,0,Talents.Meiko.HighDamageCleave.IncreasedCriticalChance
CRAgilityDamageCalculation,37,7,0,Talents.Meiko.Finishers.IncreasedDamage
CRAgilityDamageCalculation,37,8,0,Talents.Meiko.Wind.DamageIncrease
CRAgilityDamageCalculation,39,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,39,3,0,Talents.Meiko.Finishers.IncreasedDamage
CRAgilityDamageCalculation,39,4,0,CustomGrantedTags.Meiko.Talent.ConsumedBuffsToDefensiveBuff
CRAgilityDamageCalculation,40,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,40,3,0,Talents.Meiko.Earth.IncreasedDamage
CRAgilityDamageCalculation,40,4,0,Talents.Meiko.Finishers.IncreasedDamage
CRAgilityDamageCalculation,41,3,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,41,4,0,Talents.Meiko.Finishers.IncreasedDamage
CRAgilityDamageCalculation,41,5,0,Talents.Meiko.Wind.DamageIncrease
CRAgilityDamageCalculation,42,3,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,42,4,0,Talents.Meiko.Wind.DamageIncrease
CRAgilityDamageCalculation,43,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,44,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,44,3,0,Talents.Meiko.Earth.IncreasedDamage
CRAgilityDamageCalculation,45,3,0,Talents.Meiko.Earth.IncreasedDamage
CRAgilityDamageCalculation,45,4,0,Talents.Meiko.TauntTotem.BuffAfterDestroyed
CRAgilityDamageCalculation,46,1,0,Talents.Meiko.TauntTotem.BuffAfterDestroyed
CRIntellectDamageCalculation,84,2,0,Talents.Firemage.CastedDotBoostProjectile.IncreasedCritChance
CRIntellectDamageCalculation,84,3,0,CustomAssetTags.Firemage.Talent.CastedDotBoostProjectile.IncreasedCritChance.Active
CRIntellectDamageCalculation,85,2,0,Talents.Firemage.CastedPlacedAoe.TargetHealthScaledDamageBonus
CRIntellectDamageCalculation,86,1,0,Talents.Firemage.IncreasedDotCritChance
CRIntellectDamageCalculation,86,2,0,Talents.Firemage.CastedSingleDot.IncreasedDamage
CRIntellectDamageCalculation,86,4,0,Talents.Firemage.BaseDots.IncreasedCritChance
CRIntellectDamageCalculation,87,1,0,Talents.Firemage.IncreasedDotCritChance
CRIntellectDamageCalculation,87,2,0,Talents.Firemage.CastedSingleDot.IncreasedDamage
CRIntellectDamageCalculation,87,4,0,Talents.Firemage.BaseDots.IncreasedCritChance
CRIntellectDamageCalculation,89,2,0,Talents.Firemage.IncreasedDotCritChance
CRIntellectDamageCalculation,90,3,0,Talents.Firemage.FireFrogs.DirectDamageIncrease
CRIntellectDamageCalculation,91,1,0,Talents.Firemage.InstantDoubleDot.AdditionalHit.DamageIncreased
CRIntellectDamageCalculation,93,2,0,Talents.Firemage.IncreasedDotCritChance
CRIntellectDamageCalculation,93,4,0,Talents.Firemage.BaseDots.IncreasedCritChance
CRIntellectDamageCalculation,94,2,0,CustomGrantedTags.Firemage.Talent.PlacedProjectileAoe.ResetCooldownDamageBuff
CRIntellectDamageCalculation,110,1,0,Talents.Lisa.CastedProjectileDamageIncreaseDebuff.ChargesAndCrit
CRIntellectDamageCalculation,111,2,0,CustomGrantedTags.Lisa.Talent.CastedProjectileDamageIncreaseDebuff.AbilityDamageIncrease.Proc
CRIntellectDamageCalculation,112,1,0,Talents.Lisa.InstantDamageSpender.CritPowerBonus
CRIntellectDamageCalculation,115,1,0,Talents.Lisa.SingleTargetDot.StunAndDamageIncrease
CRIntellectDamageCalculation,127,2,0,Talents.Mosse.ExplosiveMinion.IncreasedDamage
CRIntellectDamageCalculation,128,1,0,Talents.Mosse.ProjectileTurret.DamageIncreasePerPinkButterfly
CRIntellectDamageCalculation,147,3,0,Talents.Rime.QuickProjectile.IncreasedCritChance
CRIntellectDamageCalculation,148,2,0,Talents.Rime.CastedDebuffAoeDamage.IncreasedDamage
CRIntellectDamageCalculation,148,4,0,CustomGrantedTags.Rime.Talent.CastedDebuffAoeDamage.BuffWhileActive
CRIntellectDamageCalculation,150,2,0,Talents.Rime.CastedProjectileDamageOrbSpender.IncreasedCritChance
CRIntellectDamageCalculation,150,3,0,Talents.Rime.CastedProjectileDamageOrbSpender.DamageIncreaseAndCastTimeIncrease
CRIntellectDamageCalculation,152,2,0,Talents.Rime.ChanneledBeamSingleDamageAndCastedDebuffAoeDamage.IncreasedDamage
CRIntellectDamageCalculation,152,4,0,CustomGrantedTags.Rime.Talent.ChanneledBeamSingleDamage.BoostByCritProc.ProcActive
CRIntellectDamageCalculation,156,3,0,Talents.Rime.QuickProjectile.IncreasedCritChance
CRIntellectDamageCalculation,220,1,0,Talents.Vigor.CastedSingleTargetDamage.IncreasedDamage
CRIntellectDamageCalculation,221,3,0,EffectStatus.Vigor.PartyHealAndSelfBuff
CRIntellectDamageCalculation,221,4,0,CustomGrantedTags.Vigor.Talent.InstantFrontalConeDamageHeal.DotProc
CRIntellectDamageCalculation,221,5,0,Talents.Vigor.InstantFrontalConeDamageHeal.IncreasedHeal
CRIntellectDamageCalculation,222,2,0,CustomGrantedTags.Vigor.InstantResourceGainBuff
CRIntellectDamageCalculation,222,3,0,Talents.Vigor.RuneSpenders.PowerScaler
CRIntellectDamageCalculation,222,4,0,CustomGrantedTags.Vigor.Talent.SpiritProcBuff.NextRuneSpenderIncreasedPower
CRIntellectDamageCalculation,222,5,0,CharacterStatus.Overcharged
CRIntellectDamageCalculation,222,5,1,Talents.Vigor.Runes.ChargeUpMultiple
CRIntellectDamageCalculation,223,1,0,CustomGrantedTags.Vigor.InstantResourceGainBuff
CRIntellectDamageCalculation,223,2,0,Talents.Vigor.RuneSpenders.PowerScaler
CRIntellectDamageCalculation,223,3,0,CustomGrantedTags.Vigor.Talent.SpiritProcBuff.NextRuneSpenderIncreasedPower
CRIntellectDamageCalculation,223,4,0,CharacterStatus.Overcharged
CRIntellectDamageCalculation,223,4,1,Talents.Vigor.Runes.ChargeUpMultiple
CRIntellectDamageCalculation,224,1,0,CustomGrantedTags.Vigor.InstantResourceGainBuff
CRIntellectDamageCalculation,224,2,0,Talents.Vigor.SkillshotAoeProjectile.IncreasedCriticalStrikeChance
CRIntellectDamageCalculation,224,3,0,CustomGrantedTags.Vigor.Talent.SpiritProcBuff.NextRuneSpenderIncreasedPower
CRIntellectDamageCalculation,224,5,0,Talents.Vigor.SkillshotAoeProjectile.PingPong
CRIntellectHealCalculation,9,2,0,CustomGrantedTags.Mosse.Talent.IncreasedHealOnLowHealthTarget
CRIntellectHealCalculation,9,3,0,Talents.Mosse.PlacedAoeBuff.HealingTotem.IncreasedCritChance
CRIntellectHealCalculation,10,2,0,Talents.Mosse.PinkButterfly.Double.IncreasedCriticalStrikeChance
CRIntellectHealCalculation,10,3,0,CustomGrantedTags.Mosse.Talent.IncreasedHealOnLowHealthTarget
CRIntellectHealCalculation,11,3,0,Talents.Mosse.YellowButterflies.MoveToLowestHealth
CRIntellectHealCalculation,11,4,0,CustomGrantedTags.Mosse.Talent.IncreasedHealOnLowHealthTarget
CRIntellectHealCalculation,12,2,0,Talents.Mosse.YellowButterflies.MoveToLowestHealth
CRIntellectHealCalculation,12,3,0,CustomGrantedTags.Mosse.Talent.IncreasedHealOnLowHealthTarget
CRIntellectHealCalculation,12,5,0,Talents.Mosse.PinkButterfly.Simple.PassiveIncreasedHealing
CRIntellectHealCalculation,13,1,0,CustomGrantedTags.Mosse.Talent.IncreasedHealOnLowHealthTarget
CRIntellectHealCalculation,18,1,0,Talents.Vigor.CastedSingleTargetHeal.IncreasedCritChance
CRIntellectHealCalculation,19,2,0,Talents.Vigor.InstantAoeHeal.IncreasedHealDependentOnHealth
CRIntellectHealCalculation,19,3,0,Talents.Vigor.InstantAoeHeal.DamageReduction
CRIntellectHealCalculation,20,2,0,CustomGrantedTags.Vigor.Talent.InstantFrontalConeDamageHeal.DotProc
CRIntellectHealCalculation,20,3,0,Talents.Vigor.InstantFrontalConeDamageHeal.IncreasedHeal
CRIntellectHealCalculation,22,1,0,Talents.Vigor.RuneSpenders.PowerScaler
CRIntellectHealCalculation,22,2,0,CustomGrantedTags.Vigor.Talent.SpiritProcBuff.NextRuneSpenderIncreasedPower
CRIntellectHealCalculation,22,3,0,Talents.Vigor.SingleTargetChargedHot.DirectHealBonusWhenBuffed
CRIntellectHealCalculation,22,4,0,CustomGrantedTags.Vigor.InstantResourceGainBuff
CRIntellectHealCalculation,22,5,0,CharacterStatus.Overcharged
CRIntellectHealCalculation,22,5,1,Talents.Vigor.Runes.ChargeUpMultiple
CRIntellectHealCalculation,23,1,0,CustomGrantedTags.Vigor.InstantResourceGainBuff
CRIntellectHealCalculation,23,2,0,Talents.Vigor.SkillshotAoeProjectile.IncreasedCriticalStrikeChance
CRIntellectHealCalculation,23,3,0,CustomGrantedTags.Vigor.Talent.SpiritProcBuff.NextRuneSpenderIncreasedPower
CRIntellectHealCalculation,23,5,0,Talents.Vigor.SkillshotAoeProjectile.PingPong
CRStrengthDamageCalculation,170,1,0,CustomGrantedTags.Gunde.HealthAndBleedSelfBuff
CRStrengthDamageCalculation,172,1,0,Talents.Gunde.HeavyMeleeDotBased.IncreasedDirectDamage
CRStrengthDamageCalculation,172,2,0,Talents.Gunde.HeavyMeleeDotBased.CritHealthyTargets
CRStrengthDamageCalculation,181,1,0,CustomGrantedTags.Gunde.HealthAndBleedSelfBuff
CRStrengthDamageCalculation,184,1,0,CustomGrantedTags.Gunde.HealthAndBleedSelfBuff
CRStrengthDamageCalculation,201,3,0,Talents.Ink.LighningDamage.IncreasedCriticalStrikeChance
CRStrengthDamageCalculation,202,2,0,CustomGrantedTags.Ink.SwingTimer.InHitWindow
CRStrengthDamageCalculation,202,2,1,Talents.Ink.AutoAttackBuff.GainToIncreasedDamage
CRStrengthDamageCalculation,202,4,0,Talents.Ink.AutoAttackBuff.AlwaysHitWindowBuff
CRStrengthDamageCalculation,203,3,0,CustomGrantedTags.Ink.SwingTimer.InHitWindow
CRStrengthDamageCalculation,203,3,1,Talents.Ink.AutoAttackBuff.GainToIncreasedDamage
CRStrengthDamageCalculation,203,5,0,Talents.Ink.AutoAttackBuff.AlwaysHitWindowBuff
CRStrengthDamageCalculation,204,1,0,CustomGrantedTags.Ink.SwingTimer.InHitWindow
CRStrengthDamageCalculation,204,1,1,Talents.Ink.AutoAttackBuff.GainToIncreasedDamage
CRStrengthDamageCalculation,204,3,0,Talents.Ink.AutoAttackBuff.AlwaysHitWindowBuff
CRStrengthDamageCalculation,205,1,0,Talents.Ink.LighningDamage.IncreasedCriticalStrikeChance
CRStrengthDamageCalculation,205,2,0,Talents.Ink.BouncyProjectile.IncreasedDamage
CRStrengthDamageCalculation,208,2,0,Talents.Ink.LighningDamage.IncreasedCriticalStrikeChance
CRStrengthDamageCalculation,209,3,0,Talents.Ink.HeavySingleTargetAttack.IncreasedDamage
CRStrengthDamageCalculation,209,4,0,Talents.Ink.HeavySingleTargetAttack.ProcAddedCritChance
CRStrengthDamageCalculation,210,2,0,Talents.Ink.LighningDamage.IncreasedCriticalStrikeChance
CRStrengthDamageCalculation,210,4,0,Talents.Ink.HeavySingleTargetAttack.IncreasedDamage
CRStrengthDamageCalculation,210,5,0,Talents.Ink.HeavySingleTargetAttack.ProcAddedCritChance
CRStrengthDamageCalculation,211,4,0,CustomGrantedTags.Ink.CostReductionBuff.SelfBuff
CRStrengthDamageCalculation,211,5,0,Talents.Ink.LowHealthSingleTargetResourceDamage.AddedCritChance
CRStrengthDamageCalculation,213,3,0,Talents.Ink.MoveToLocationAoeDamage.ReducedCooldownIfNoHit
CRStrengthDamageCalculation,214,1,0,Talents.Ink.SecondChanceSingleTargetAttack.IncreasedCritChance
CRStrengthDamageCalculation,214,3,0,Talents.Ink.SecondChanceSingleTargetAttack.IncreasedDamage
CRStrengthDamageCalculation,215,1,0,Talents.Ink.SecondChanceSingleTargetAttack.IncreasedCritChance
CRStrengthDamageCalculation,423,3,0,CustomGrantedTags.Sune.Talent.AoeMelee.CooldownProc.Procced
CRStrengthDamageCalculation,426,3,0,Talents.Sune.DroppedPulseAoe.DamageIncrease
CRStrengthDamageCalculation,427,2,0,Talents.Sune.InstantCleaveMelee.DamageIncrease
CRStrengthDamageCalculation,429,3,0,Talents.Sune.InstantSingleTargetHealOrDamage.PowerScaler
CRStrengthDamageCalculation,432,1,0,Talents.Sune.SingleTargetFillerMelee.CritChanceIncrease
CRStrengthDamageCalculation,434,2,0,Talents.Sune.SingleTargetFillerMelee.CritChanceIncrease
CRStrengthDamageCalculation,591,1,0,Talents.Warmaster.BouncyProjectile.IncreasedCritChance
CRStrengthDamageCalculation,591,2,0,Talents.Warmaster.BouncyProjectile.FirstHitDamage
CRStrengthDamageCalculation,591,3,0,CustomGrantedTags.Warmaster.Talent.BouncyProjectile.DamageCooldownReset
CRStrengthDamageCalculation,592,3,0,Talents.Warmaster.IncreasedMeleeCleaveAndHeavyMeleeDamage
CRStrengthDamageCalculation,593,1,0,Talents.Warmaster.IncreasedMeleeCleaveAndHeavyMeleeDamage
CRStrengthDamageCalculation,596,1,0,CharacterStatus.Warmaster.Talent.LightMelee.Tier3b.LightMeleeProc
CRStrengthDamageCalculation,596,2,0,Talents.Warmaster.LightMelee.Tier1.Level1
CRStrengthDamageCalculation,596,3,0,Talents.Warmaster.LightMelee.Tier1.Level2
CRStrengthDamageCalculation,596,4,0,Talents.Warmaster.LightMelee.Tier1.Level3
CRStrengthDamageCalculation,597,2,0,Talents.Warmaster.MeleeAoeSlow.IncreasedDamage
CRStrengthDamageCalculation,597,3,0,Talents.Warmaster.MeleeAoeSlow.IncreasedToughnessAndDamage
CRStrengthDamageCalculation,599,2,0,CustomGrantedTags.Warmaster.Talent.DefenceBuff.MeleeCleaveIncreasedDamageHeal
CRStrengthDamageCalculation,599,3,0,Talents.Warmaster.IncreasedMeleeCleaveAndHeavyMeleeDamage
CRStrengthDamageCalculation,600,1,0,CustomGrantedTags.Warmaster.Talent.DefenceBuff.MeleeCleaveIncreasedDamageHeal
CRStrengthDamageCalculation,600,2,0,Talents.Warmaster.IncreasedMeleeCleaveAndHeavyMeleeDamage
CRUserDefinedDamageCalculation,23,2,0,Talents.Firemage.CastedDotDetonate.ExtraDamageAgainstLowHealthEnemy
CRUserDefinedDamageCalculation,24,0,0,Talents.Firemage.FireFrogs.BonusDotDamage
CRUserDefinedDamageCalculation,24,3,0,Talents.Firemage.IncreasedDotCritChance
CRUserDefinedDamageCalculation,25,2,0,Talents.Firemage.IncreasedDotCritChance
CRUserDefinedDamageCalculation,26,2,0,Talents.Firemage.IncreasedDotCritChance
CRUserDefinedDamageCalculation,27,2,0,Talents.Firemage.IncreasedDotCritChance
CRUserDefinedDamageCalculation,28,1,0,CustomGrantedTags.Gunde.HealthAndBleedSelfBuff
CRUserDefinedDamageCalculation,40,1,0,CustomAssetTags.Lisa.Talent.ChanneledHealOrDamageProjectilesSpender.ResourceToEmpower.Active
CRUserDefinedHealCalculation,16,1,0,CustomAssetTags.Lisa.Talent.ChanneledHealOrDamageProjectilesSpender.ResourceToEmpower.Active
CRUserDefinedHealCalculation,26,0,0,Talents.Meiko.InstantSelfDefensive.IncreasedCritChance
CRUserDefinedHealCalculation,29,0,0,CustomGrantedTags.Mosse.Talent.IncreasedHealOnLowHealthTarget
CRUserDefinedHealCalculation,56,0,0,CharacterStatus.Overcharged
CRUserDefinedHealCalculation,56,0,1,Talents.Vigor.Runes.ChargeUpMultiple
