name,definitions_ordinal,ordinal,value
CRStrengthDamageCalculation,392,0,Ability.AutoAttack
CRStrengthDamageCalculation,395,0,Ability.AutoAttack
CRStrengthDamageCalculation,396,0,Ability.AutoAttack
CRStrengthDamageCalculation,398,0,Ability.AutoAttack
CRStrengthDamageCalculation,399,0,Ability.AutoAttack
CRStrengthDamageCalculation,401,0,Ability.AutoAttack
CRStrengthDamageCalculation,414,0,Ability.AutoAttack
CRStrengthDamageCalculation,417,0,Ability.AutoAttack
CRStrengthDamageCalculation,418,0,Ability.AutoAttack
CRStrengthDamageCalculation,419,0,Ability.AutoAttack
CRStrengthDamageCalculation,420,0,Ability.AutoAttack
CRStrengthDamageCalculation,421,0,Ability.AutoAttack
CRStrengthDamageCalculation,422,0,Ability.AutoAttack
CRStrengthDamageCalculation,525,0,Ability.AutoAttack
CRStrengthDamageCalculation,526,0,Ability.AutoAttack
CRStrengthDamageCalculation,527,0,Ability.AutoAttack
CRStrengthDamageCalculation,531,0,Ability.AutoAttack
CRStrengthDamageCalculation,534,0,Ability.AutoAttack
CRStrengthDamageCalculation,535,0,Ability.AutoAttack
CRStrengthDamageCalculation,538,0,Ability.AutoAttack
CRStrengthDamageCalculation,544,0,Ability.AutoAttack
CRStrengthDamageCalculation,545,0,Ability.AutoAttack
CRStrengthDamageCalculation,563,0,Ability.AutoAttack
CRUserDefinedDamageCalculation,61,0,Ability.AutoAttack
