id,source_category,dispellable,duration_policy,ui_name,ui_description,stacking,period,provenance_origin,provenance_dev_name,provenance_source
GE_Ascension_EnemyBoost_HeroBuff,modifier,true,Infinite,,,AggregateByTarget,,datamine,,
GE_Ascension_ThreatManagement_HeroBuff,modifier,true,Infinite,,,AggregateByTarget,,datamine,,
GE_Ascension_ThreatManagement_ThreatDebuff,modifier,true,Infinite,,,AggregateByTarget,,datamine,,
GE_Ascension_TimerKillScore_HeroBuff,modifier,true,Infinite,,,AggregateByTarget,,datamine,,
GE_BaseLogic_Disorient,shared,true,Infinite,,,,,datamine,,
GE_BaseLogic_Fear,shared,true,Infinite,,,,,datamine,,
GE_BlackmistShadowMinion_Cast_Buff,ability_system,false,Infinite,Devour Light,"Increased damage, haste and size",AggregateByTarget,,datamine,,
GE_BlackmistShadowMinion_Cast_Damage,ability_system,true,,,,,,datamine,,
GE_BlackmistShadowMinion_Cast_Debuff,ability_system,false,HasDuration,Devour Light,You take increased damage,AggregateByTarget,,datamine,,
GE_BlackmistShadowMinion_Cast_HasteBuff,ability_system,false,Infinite,,,AggregateByTarget,,datamine,,
GE_BlackmistShadowMinion_OnDeathExplosion_Damage,ability_system,true,,,,,,datamine,,
GE_BlackmistShadowMinion_OnDeathExplosion_FriendlyDamage,ability_system,true,,,,,,datamine,,
GE_BlackmistShadowMinion_OnDeathExplosion_Stun,ability_system,false,HasDuration,Stunned,,,,datamine,,
GE_BossVikingMystic_RuneMinion_Cast_Buff,ability_system,false,Infinite,Devour Light,"Increased damage, haste and size",AggregateByTarget,,datamine,,
GE_BossVikingMystic_RuneMinion_Cast_Damage,ability_system,true,,,,,,datamine,,
GE_BossVikingMystic_RuneMinion_Cast_Debuff,ability_system,false,Infinite,Devour Light,You take increased damage,AggregateByTarget,,datamine,,
GE_BossVikingMystic_RuneMinion_Cast_HasteBuff,ability_system,false,Infinite,,,AggregateByTarget,,datamine,,
GE_BossVikingMystic_RuneMinion_OnDeathExplosion_Damage,ability_system,true,,,,,,datamine,,
GE_Bowguy_AimSlow,hero,true,HasDuration,,,,,datamine,,
GE_Bowguy_AoeProjectileDamage_Cost,hero,true,,,,,,datamine,,
GE_Bowguy_AoeProjectileDamage_Damage,hero,true,,,,,,datamine,,
GE_Bowguy_AoeProjectileDamage_Damage_Magical,hero,true,,,,,,datamine,,
GE_Bowguy_AoeProjectileDamage_Proc,hero,true,Infinite,,,AggregateByTarget,,datamine,,
GE_Bowguy_CastedBouncyProjectileDamage_Cost,hero,true,,,,,,datamine,,
GE_Bowguy_CastedBouncyProjectileDamage_Damage,hero,true,,,,,,datamine,,
GE_Bowguy_CastedProjectileDamage_Buff,hero,true,Infinite,Steady Hands,Increasing the damage of your next Highwind Arrow by 50%. Stacks up to 3 times.,AggregateBySource,,datamine,,
GE_Bowguy_CastedProjectileDamage_Damage,hero,true,,,,,,datamine,,
GE_Bowguy_CastedProjectileHeavyDamage_Cost,hero,true,,,,,,datamine,,
GE_Bowguy_CastedProjectileHeavyDamage_Damage,hero,true,,,,,,datamine,,
GE_Bowguy_ChanneledMultiProjectileDebuff_Cost,hero,true,,,,,,datamine,,
GE_Bowguy_ChanneledMultiProjectileDebuff_Damage,hero,true,,,,,,datamine,,
GE_Bowguy_ChargedMoveWithDirection_Active,hero,true,Infinite,,,,,datamine,,
GE_Bowguy_DurationalAoeDamage_Buff,hero,false,HasDuration,Event Horizon,You are enraptured in celestial energy causing Lunarlight Salvos to hit up to 5 enemies in combat with you every 2 seconds.,AggregateBySource,,datamine,,
GE_Bowguy_DurationalAoeDamage_Cost,hero,true,,,,,,datamine,,
GE_Bowguy_DurationalAoeDamage_Visual,hero,true,HasDuration,,,,,datamine,,
GE_Bowguy_InstantMarkTarget_AoeDamage,hero,true,,,,,,datamine,,
GE_Bowguy_InstantMarkTarget_Damage,hero,true,,,,,,datamine,,
GE_Bowguy_InstantMarkTarget_Debuff,hero,true,HasDuration,Lunarlight Mark,Damage you deal against this enemy has a chance to cause a <bold>Lunarlight Salvo</> to strike them for additional magic damage.,AggregateBySource,,datamine,,
GE_Bowguy_InstantSingleInterrupt_Interrupt,hero,true,,,,,,datamine,,
GE_Bowguy_InstantSingleInterrupt_Lockout,hero,true,,Interrupted,Cannot cast spells for a short duration.,,,datamine,,
GE_Bowguy_ProcHasteBuff_Buff,hero,true,HasDuration,Skystrider's Grace,Increases haste by 40% for 20 seconds.,AggregateByTarget,,datamine,,
GE_Bowguy_RangedAutoAttack_Damage,hero,true,,,,,,datamine,,
GE_Bowguy_RangedAutoAttack_Proc,hero,true,HasDuration,Celestial Impetus,Your next Celestial Shot applies 3 stacks of Lunarlight Mark to the target.,AggregateByTarget,,datamine,,
GE_Bowguy_ReducedCostCooldownRecoveryBuff_CooldownRecoveryBuff,hero,true,Infinite,,,AggregateBySource,,datamine,,
GE_Bowguy_ReducedCostCooldownRecoveryBuff_Cost,hero,true,,,,,,datamine,,
GE_Bowguy_ReducedCostCooldownRecoveryBuff_SelfBuff,hero,false,HasDuration,Event Horizon,"Dealing <bold>20% more damage</>.

All <bold>Focus costs are reduced by 50%</> and your <bold>Cooldown Acceleration</> is increased by an amount equal to your Haste.",AggregateBySource,,datamine,,
GE_Bowguy_ReducedCostCooldownRecoveryBuff_Visual,hero,true,HasDuration,,,,,datamine,,
GE_Bowguy_SelfBuffForAoeProjectile_SelfBuff,hero,true,HasDuration,Skystrider's Supremacy,"Your next <bold>Multishots</> is <bold>Empowered</>, causing it to have <bold>50% reduced Focus cost</> and deal magic damage.

<bold>Empowered Multishots</> always fire at least 3 arrows regardless of how many targets are in range.",AggregateByTarget,,datamine,,
GE_Bowguy_SelfDefenceBuff_SelfBuff,hero,true,HasDuration,Celestial Veil,Damage taken reduced by 40%.,,,datamine,,
GE_Bowguy_SingleProjectileDamage_Cost,hero,true,,,,,,datamine,,
GE_Bowguy_SingleProjectileDamage_Damage,hero,true,,,,,,datamine,,
GE_Bowguy_Talent_CastedProjectileDamage_AoeProjectileDamageEmpowered_SelfBuff,hero,true,HasDuration,Focused Expanse,"Your next <bold>Multishot</> is empowered, causing it to have 50% reduced Focus cost, damage as Magic damage and always fire at least 3 arrows regardless of how many targets are in range.",AggregateBySource,,datamine,,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_IncreasedIncomingDamageDebuff_Debuff,hero,true,HasDuration,Shimmer,,AggregateBySource,,datamine,,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_IncreasedIncomingDamageDebuff_OwnerEffect,hero,true,,,,AggregateBySource,,datamine,,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_InstantNoCooldownProc_Proc,hero,true,HasDuration,Resurgent Winds,"Highwind Arrow is Instant Cast, Free, and deals increased damage.",AggregateBySource,,datamine,,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_NoBounceBuff_SelfBuff,hero,true,HasDuration,Striker's Aim,Increased Expertise.,AggregateBySource,,datamine,,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_StacksMoreDamageAndBounces_Proc,hero,true,,,,,,datamine,,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_StacksMoreDamageAndBounces_Stacker,hero,true,Infinite,Final Cresendo,"At 2 stacks, your next Highwind Arrow consumes all stacks and deals 100% increased damage and Ricochets to up to 9 additional targets.",AggregateBySource,,datamine,,
GE_Bowguy_Talent_ChanneledMultiProjectileDebuff_IncomingDamage_Debuff,hero,true,HasDuration,Lingering Heartseeker,Taking 50% increased damage from Multishot and Celestial Shot.,AggregateBySource,,datamine,,
GE_Bowguy_Talent_ChanneledMultiProjectileDebuff_ResetCooldownAndBuff_Proc,hero,true,HasDuration,Impending Heartseeker,Your next <bold>Heartseeker Barrage</> deals 10% increased damage with each successive arrow fired.,AggregateBySource,,datamine,,
GE_Bowguy_Talent_IncomingAoeDamageReduction,hero,true,Infinite,,,,,datamine,,
GE_Bowguy_Talent_IncreasedCritChanceAtLowHealth,hero,true,Infinite,,,AggregateBySource,,datamine,,
GE_Bowguy_Talent_IncreasedMovementSpeed,hero,true,Infinite,,,AggregateBySource,,datamine,,
GE_Bowguy_Talent_ReducedIncomingMagicDamage,hero,true,Infinite,,,,,datamine,,
GE_Bowguy_TargetedAoeDamage_Cost,hero,true,,,,,,datamine,,
GE_Bowguy_TargetedAoeDamage_Damage,hero,true,,,,,1.0,datamine,,
GE_Bowguy_TargetedAoeDamage_MainTargetBuff,hero,true,Infinite,,,AggregateBySource,,datamine,,
GE_Bowguy_TargetedAoeDamage_Talent_BuffWhileActive,hero,true,Infinite,Skylit Grace,Your <bold>Skystrider's Grace</> ability has +120% increased cooldown recovery.,AggregateBySource,,datamine,,
GE_Bowguy_TargetedAoePull_Pull,hero,true,HasDuration,Grappling Arrow,Being pulled.,AggregateByTarget,,datamine,,
GE_Bowguy_TargetedAoePull_Slow,hero,true,HasDuration,Grappling Arrow,Slowed by 65%,AggregateByTarget,,datamine,,
GE_CCImmune,shared,true,Infinite,,,,,datamine,,
GE_CM_BlackburnMantrader_CastedRangedProjectile_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BlackburnMantrader_CastedRangedProjectile_SlowDebuff,ability_system,true,HasDuration,Frost Bolt,Movement speed is reduced by 40%,AggregateByTarget,,datamine,,
GE_CM_BlackburnMantrader_CastedRoot_Debuff,ability_system,true,HasDuration,Freezing Grasp,Immobilized for a short duration.,AggregateByTarget,,datamine,,
GE_CM_BlackburnMantrader_LargeRangedProjectile_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BlackburnMantrader_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossAina_CastDebuffProjectile_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossAina_CastDebuffProjectile_Debuff,ability_system,true,HasDuration,Creeping Vulnerability,You take massively increased damage from Creeping Decay,AggregateByTarget,,datamine,,
GE_CM_BossAina_CastFillerProjectile_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossAina_CastHealDebuff_Debuff,ability_system,true,HasDuration,Coldbrine Curse,Heals are received as damage instead,,,datamine,,
GE_CM_BossAina_Charge_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossAina_Charge_SelfBuff,ability_system,true,Infinite,,,,,datamine,,
GE_CM_BossAina_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossAina_PlacedSlowAoe_AoeDot,ability_system,true,Infinite,,,AggregateByTarget,1.0,datamine,,
GE_CM_BossAina_PlacedSlowAoe_CastCounter,ability_system,true,Infinite,,,,,datamine,,
GE_CM_BossAina_PlacedSlowAoe_SlowEffect,ability_system,true,Infinite,Wildroot Thorns,Reduces movement speed and impact of forced movement.,AggregateByTarget,,datamine,,
GE_CM_BossTroll_AutoAttack_CrushStack,ability_system,true,Infinite,Rage,"At 5x stacks, Slam current target for immense damage.",AggregateBySource,,datamine,,
GE_CM_BossTroll_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossTroll_Charge,ability_system,true,Infinite,,,,,datamine,,
GE_CM_BossTroll_Charge_BumpDamage,ability_system,true,,,,,,datamine,,
GE_CM_BossTroll_Charge_ImpactDamage,ability_system,true,,,,,,datamine,,
GE_CM_BossTroll_Enrage_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossTroll_FallingRocks_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossTroll_FallingRocks_Slow,ability_system,true,Infinite,Cave In,You are slowed,AggregateByTarget,,datamine,,
GE_CM_BossTroll_FinalEnrageHealth,ability_system,true,Infinite,,,,,datamine,,
GE_CM_BossWhisperingCore_Beam_Damage,ability_system,true,Infinite,,,,1.0,datamine,,
GE_CM_BossWhisperingCore_PlatformAoEDamage_Dot,ability_system,true,Infinite,Seethe,Exposure to the corrupted magic deals damage to you every 3 seconds.,AggregateByTarget,1.0,datamine,,
GE_CM_BossWhisperingCore_PulsingAoEDamage,ability_system,true,,,,,,datamine,,
GE_CM_BossWhisperingCore_RangedAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossWhisperingCore_TankSlam_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossYrsa_Aina_Shared_Enrage_FinalBuff,ability_system,false,Infinite,Enraged,Damage Dealt is increased by 5% for each stack. Stacks are now increasing over time,AggregateBySource,,datamine,,
GE_CM_BossYrsa_Aina_Shared_Enrage_StackingBuff,ability_system,false,Infinite,Enraged,Damage Dealt is increased by 5% for each stack. Stacks are added for every 1% more health compared to the other boss,AggregateBySource,,datamine,,
GE_CM_BossYrsa_AoEDamageSlow_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossYrsa_AoeSoak_SoakedDamage,ability_system,true,,,,,,datamine,,
GE_CM_BossYrsa_AoeSoak_UnsoakedDamage,ability_system,true,,,,,,datamine,,
GE_CM_BossYrsa_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_BossYrsa_ConjureScythe_Damage,ability_system,true,,,,,1.0,datamine,,
GE_CM_BossYrsa_DamageCooldown,ability_system,true,HasDuration,,,,,datamine,,
GE_CM_Charged_Construct_Ghost_SelfDamageDebuff,ability_system,true,Infinite,,,AggregateByTarget,1.0,datamine,,
GE_CM_Construct_Charged_ChainLightning_Damage,ability_system,true,,,,,,datamine,,
GE_CM_Construct_Charged_Ghost_AutoAttack,ability_system,true,,,,,,datamine,,
GE_CM_Construct_Charged_RangedAutoAttack,ability_system,true,,,,,,datamine,,
GE_CM_CrystalConstructCharged_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_CrystalConstructCharged_RotatingBeam_Dot,ability_system,false,Infinite,Searing Refraction,Taking damage from standing in a beam.,,1.0,datamine,,
GE_CM_EarthElemental_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_EarthElemental_BurrowBuff,ability_system,true,Infinite,,,AggregateByTarget,,datamine,,
GE_CM_EarthElemental_BurrowedStrike_Damage,ability_system,true,,,,,,datamine,,
GE_CM_EarthElemental_CastAoeDamage_Damage,ability_system,true,,,,,,datamine,,
GE_CM_EarthElemental_CastAoeDamage_Debuff,ability_system,true,HasDuration,Shattering,You take increased damage from Shatter.,AggregateByTarget,,datamine,,
GE_CM_EarthElemental_EarthBreaker_Damage,ability_system,true,,,,,,datamine,,
GE_CM_EarthElemental_EarthBreaker_Slow,ability_system,true,HasDuration,Slowed,,,,datamine,,
GE_CM_EarthElemental_EarthStomp_Damage,ability_system,true,,,,,,datamine,,
GE_CM_EarthElemental_Upheaval_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfEnforcer_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfEnforcer_Protect_Buff,ability_system,false,Infinite,Reflective Shield,Reflects all damage received while channeling at the end of the cast.,,,datamine,,
GE_CM_ElfEnforcer_Protect_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfEnforcer_TankSlam_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfEnforcer_TankSlam_Debuff,ability_system,true,HasDuration,Piercing Strike,Reduces Armor by 20%.,AggregateByTarget,,datamine,,
GE_CM_ElfGoon_FirstThreatProjectile_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfInterrogator_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfInterrogator_IncreaseDamageTakenDebuff,ability_system,true,HasDuration,Expose Weakness,Increases damage taken by 1% for each stack.,AggregateByTarget,,datamine,,
GE_CM_ElfInterrogator_PoisonDagger_ConvertHealingDebuff,ability_system,true,HasDuration,Necrotic Venom,Significantly reduces healing received.,AggregateByTarget,,datamine,,
GE_CM_ElfInterrogator_PoisonDagger_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfInterrogator_WickedStrike_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfInterrogator_WickedStrike_Dot,ability_system,true,HasDuration,Agonizing Poison,You are taking magic damage over time.,,1.0,datamine,,
GE_CM_ElfInterrogator_WickedStrike_HideBuff,ability_system,true,HasDuration,,,AggregateByTarget,,datamine,,
GE_CM_ElfInterrogator_WickedStrike_Marked,ability_system,true,HasDuration,,,AggregateByTarget,,datamine,,
GE_CM_ElfInterrogator_WickedStrike_Stun,ability_system,true,Infinite,Stun,Stunned.,,,datamine,,
GE_CM_ElfLookout_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfLookout_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfLookout_QuickShots_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfTaskmaster_ConePull_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfTaskmaster_ConePull_Dot,ability_system,true,HasDuration,Bleeding,Taking damage over time.,AggregateByTarget,1.0,datamine,,
GE_CM_ElfTaskmaster_ConePull_PullDebuff,ability_system,true,HasDuration,,,AggregateByTarget,,datamine,,
GE_CM_ElfTaskmaster_MarkForPull_Mark,ability_system,true,HasDuration,Taskmaster's Mark,You have been marked. The taskmaster is coming for you!,,,datamine,,
GE_CM_ElfWarden_CastSingleBlast_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfWarden_Fear_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ElfWarden_Fear_Fear,ability_system,true,HasDuration,Fear,You are fleeing in terror for a short duration or until you take too much damage.,AggregateBySource,,datamine,,
GE_CM_Elf_Goon_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_Elf_Taskmaster_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_Elf_Warden_BurstingBarrier_Buff,ability_system,true,HasDuration,Bursting Barrier,,,,datamine,,
GE_CM_Elf_Warden_BurstingBarrier_Damage,ability_system,true,,,,,,datamine,,
GE_CM_Elf_Warden_DrainMana,ability_system,true,,,,,,datamine,,
GE_CM_Elf_Warden_DrainMana_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ImpatientBrawler_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ReflectedHero_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_ReflectedHero_DeathBuff,ability_system,true,HasDuration,Pure of Heart,"Your soul is redeemed, for now...",AggregateByTarget,,datamine,,
GE_CM_RubiliteAurastone_ChasingLaser_Dot,ability_system,false,Infinite,Searing Beam,Deals damage over time.,AggregateByTarget,1.0,datamine,,
GE_CM_RubiliteAurastone_LockOnLaser_Dot,ability_system,false,HasDuration,Searing Beam,Deals damage over time.,,1.0,datamine,,
GE_CM_RubiliteAurastone_Vulnerable_SelfStun,ability_system,true,HasDuration,Vulnerable,The Wardstone is stunned and takes 750% damage from attacks.,,,datamine,,
GE_CM_RubiliteFocus_Laser_Damage,ability_system,true,,,,,,datamine,,
GE_CM_RubiliteFocus_Laser_Stun,ability_system,true,HasDuration,Focused Light Stun,You are stunned,AggregateByTarget,,datamine,,
GE_CM_RubiliteFocus_Vulnerable_Buff,ability_system,false,Infinite,Brittle,Interrupting or stunning this target will cause it to become vulnerable.,,,datamine,,
GE_CM_RubiliteFocus_Vulnerable_SelfStun,ability_system,true,HasDuration,Vulnerable,The Wardstone is stunned and takes 750% damage from attacks.,,,datamine,,
GE_CM_RubiliteTriggerstone_Trap_Dot,ability_system,true,HasDuration,Bloodstone Blight,Stunned and taking damage over time.,,1.0,datamine,,
GE_CM_RubiliteTriggerstone_Trap_Immobilize,ability_system,true,HasDuration,,,,,datamine,,
GE_CM_TrollBoss_Charge_Stun,ability_system,true,HasDuration,Stunned,The troll is stunned.,,,datamine,,
GE_CM_TrollBoss_CrushAoeDamage,ability_system,true,,,,,,datamine,,
GE_CM_VolatileConstruct_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_CM_VolatileConstruct_CastProjectile_Damage,ability_system,true,,,,,,datamine,,
GE_CM_VolatileConstruct_DeathBomb_Damage,ability_system,true,,,,,,datamine,,
GE_CM_VolatileConstruct_ExplosiveCrystal_Damage,ability_system,true,,,,,,datamine,,
GE_CM_VolatileConstruct_JaggedCrystal_Damage,ability_system,true,,,,,,datamine,,
GE_CM_VolatileConstruct_JaggedCrystal_Debuff,ability_system,false,HasDuration,Volatile Crystal,All nearby heroes will take damage after a short duration!,,,datamine,,
GE_Critter_Chicken_AutoAttack_Damage,ability_system,true,,Peck,,,,datamine,,
GE_DD_Arbalist_AutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_DD_Arbalist_LineAttack_Damage,ability_system,true,,,,,,datamine,,
GE_DD_Arbalist_LineAttack_Debuff,ability_system,true,HasDuration,Soulpiercer,"Main stat reduced by 25% and chance to Dodge, Block and Parry reduced by 25%.",AggregateByTarget,,datamine,,
GE_DD_Arbalist_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_DD_Arbalist_Trap_Damage,ability_system,true,,,,,,datamine,,
GE_DD_Arbalist_Trap_Root,ability_system,true,HasDuration,Dunesnare Trap,Immobilized.,,,datamine,,
GE_DD_BossCadavrianMagi_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_DD_BossCadavrianMagi_MoonCast_Damage,ability_system,true,,,,,,datamine,,
GE_DD_BossCadavrianMagi_MoonCast_Slow,ability_system,true,HasDuration,Moonfrost,You are slowed.,AggregateByTarget,,datamine,,
GE_DD_BossCadavrianMagi_ShadowCast_Damage,ability_system,true,,,,,,datamine,,
GE_DD_BossCadavrianMagi_SunCast_Debuff,ability_system,true,Infinite,Sunfire,You are taking damage over time,AggregateByTarget,1.0,datamine,,
GE_DD_DesertBrute_AoEPulse_Damage,ability_system,true,,,,,,datamine,,
GE_DD_DesertBrute_CastedGrowingEarthStomp_Damage,ability_system,true,,,,,,datamine,,
GE_DD_DesertBrute_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_DD_DesertNomad_MeleeAutoAttack_Buff,ability_system,true,HasDuration,Fervor,1% increased Haste per stack.,AggregateByTarget,,datamine,,
GE_DD_DesertNomad_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_DD_DesertWarrior_AutoAttackMelee_Damage,ability_system,true,,,,,,datamine,,
GE_DD_DesertWarrior_ChanneledAOE_Damage,ability_system,true,,,,,,datamine,,
GE_DD_DesertWarrior_Charge_Bleed,ability_system,true,HasDuration,Bleeding,Damage over Time debuff,,1.0,datamine,,
GE_DD_DesertWarrior_Charge_Damage,ability_system,true,,,,,,datamine,,
GE_DD_DesertWarrior_Charge_Stun,ability_system,true,HasDuration,Stun,Stunned.,,,datamine,,
GE_DD_NightboundMagi_CastedPartyAoeDebuff_Damage,ability_system,true,,,,,,datamine,,
GE_DD_NightboundMagi_CastedPartyAoeDebuff_Debuff,ability_system,true,HasDuration,Weakened Soul,Magic Damage taken increased by 50%.,AggregateByTarget,,datamine,,
GE_DD_NightboundMagi_CastedRangedProjectile_Damage,ability_system,true,,,,,,datamine,,
GE_DD_NightboundMagi_ChanneledFriendlyBuff_Buff,ability_system,true,Infinite,Increased Damage,The Souls Spreader has given the soldier increased damage,,,datamine,,
GE_DD_NightboundMagi_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_DD_NightboundMagi_MultiAoeSoak_SoakedDamage,ability_system,true,,,,,,datamine,,
GE_DD_NightboundMagi_MultiAoeSoak_UnsoakedDamage,ability_system,true,,,,,,datamine,,
GE_DD_NightboundMagi_SoakDebuff_Damage,ability_system,true,,,,,,datamine,,
GE_DD_NightboundMagi_SoakDebuff_Debuff,ability_system,false,HasDuration,Harrowing Solitude,"Deals heavy Soul magic damage when expired.

The damage is split for each player standing within the radius as it expires.",,,datamine,,
GE_DD_WitheringMagiPeriodicDamage_Buff,ability_system,true,HasDuration,Sinnari's Wrath,Deals damage to random nearby enemies.,,,datamine,,
GE_DD_WitheringMagiPeriodicDamage_Damage,ability_system,true,,,,,,datamine,,
GE_DD_WitheringMagi_CastedRangedInstantProjectile_Damage,ability_system,true,,,,,,datamine,,
GE_DD_WitheringMagi_CastedRangedProjectileDot_Damage,ability_system,true,HasDuration,Collapsing Star,Taking magic damage over time.,,1.0,datamine,,
GE_DD_WitheringMagi_MeleeAutoAttack_Damage,ability_system,true,,,,,,datamine,,
GE_DM_ClockworkRat_MoveToTarget_Buff,dungeon_modifier,true,Infinite,,,,,datamine,,
GE_DM_ClockworkRat_OnDeathAoe_Damage,dungeon_modifier,true,,,,,,datamine,,
GE_DM_ClockworkRat_ProximityTriggerAoe_EmptyEffect,dungeon_modifier,true,,,,,,datamine,,
GE_DM_ClockworkRat_SaveSelf,dungeon_modifier,true,Infinite,,,,,datamine,,
GE_DM_FriendlyClockworkRat_OnHit_Dammage,dungeon_modifier,true,,,,,,datamine,,
GE_DM_FriendlyClockworkRat_Projectile_Damage,dungeon_modifier,true,,,,,,datamine,,
GE_DM_MiniBoss_Disengaged,dungeon_modifier,true,Infinite,,,,,datamine,,
