id,guid,hero,name,gameplay_ability_asset,enabled_in_game,category,damage_school,attack_range,offensive,description,dynamic_description,cost_effect,global_cooldown_effect,icon_id,icon_kind,icon_width,icon_height,provenance_origin,provenance_dev_name,provenance_source
GA_Bowguy_ProcHasteBuff_C,1ee06afe-5fb8-5e43-9532-8e2b9685c3af,Bowguy,Skystrider's Grace,GA_Bowguy_ProcHasteBuff_C,true,Major,,,,"You are granted <rt.warning>+30% Haste</> for <rt.bold>20 seconds</>.

<rt.meikoability2>Can be used during Global Cooldown and while Casting or Channeling</>",,,,Bowguy_HasteBuff,AbilityIcon,512,512,datamine,,
GA_Bowguy_RangedAutoAttack_C,faf295c9-9758-5dc6-abb9-c4b2cef8d531,Bowguy,Shoot,GA_Bowguy_RangedAutoAttack_C,true,,Physical,Ranged,true,,,,,Bowguy_FocusShot,AbilityIcon,256,256,datamine,,
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,678fd4df-d14c-57c9-9eb7-369a1a55886d,Bowguy,Event Horizon,GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,true,Spirit,Magic.Arcane,,true,"The power of the stars flow through you as you prepare to decimate your foes. For the next <rt.bold>20 seconds</>, you deal <rt.warning>20% more damage</>, gain <rt.meikoability2>Cooldown Acceleration</> equal to your Haste and all <rt.mana>Focus costs are reduced by 50%</>.

While <rt.absorb>Event Horizon</> is active, your <rt.absorb>Highwind Arrow</> reduces the cooldown of <rt.absorb>Heartseeker Barrage</> by <rt.bold>0.5 seconds</>, and every hit from your <rt.absorb>Heartseeker Barrage</> reduces the cooldown of <rt.absorb>Starfall Volley</> by <rt.bold>1.5 seconds</>.

<rt.absorb>SPIRIT ABILITY</>
<rt.greyitalic>When you activate your Spirit ability you gain </><rt.effect> Spirit of Heroism</><rt.greyitalic>, granting +30% Haste for 20 sec.</>",,GE_Bowguy_ReducedCostCooldownRecoveryBuff_Cost,,Bowguy_Spirit,AbilityIcon,512,512,datamine,,
GA_Bowguy_SelfBuffForAoeProjectile_C,cf799361-8bee-5e33-a6a5-8bca964bb0dc,Bowguy,Skystrider's Supremacy,GA_Bowguy_SelfBuffForAoeProjectile_C,true,Major,,,,"For the next <rt.bold>4 seconds</> you are enraptured in celestial energy, causing your <rt.absorb>Multishot</> ability to shoot <rt.effect>Empowered Multishots</>.

<rt.meikoability2>Can be used during Global Cooldown.</>

<rt.effect>EMPOWERED MULTISHOT</>
<rt.effect>Empowered Multishots</> always fire at least <rt.bold>3 arrows</> regardless of how many targets are in range, costs <rt.mana>50% less Focus</>, and deals magic damage.",,,,Bowguy_Supremacy,AbilityIcon,256,256,datamine,,
GA_Bowguy_SelfDefenceBuff_C,cf4704a1-7b51-5bbb-92ed-a9e485db4a06,Bowguy,Celestial Veil,GA_Bowguy_SelfDefenceBuff_C,true,Defensive,,,,"You take <rt.absorb>40% reduced damage</> for 4 seconds.

<rt.meikoability2>Can be used during Global Cooldown</>",,,,Bowguy_Abilityicon_Defensive,AbilityIcon,512,512,datamine,,
GA_Bowguy_SingleProjectileDamage_C,ee535b44-3259-55da-a9c6-357b6816e171,Bowguy,Celestial Shot,GA_Bowguy_SingleProjectileDamage_C,true,Basic,Magic.Arcane,Ranged,true,,"Fire a magical arrow at target enemy , dealing <rt.warning>{CelestShot}</> magic damage to it.

<rt.effect>CELESTIAL IMPETUS</>
Your <rt.absorb>Focused Shot</> hits have a chance to grant you <rt.effect>Celestial Impetus</> for <rt.bold>15 seconds</>, causing your next <rt.absorb>Celestial Shot</> to be <rt.mana>Free</> and apply <rt.bold>3 stacks</> of <rt.absorb>Lunarlight Mark</> to the target.

You can have up to <rt.bold>2 charges</> of <rt.effect>Celestial Impetus</> at any one time. (2.0 PPM)",GE_Bowguy_SingleProjectileDamage_Cost,GE_GlobalCooldown,Bowguy_Shot,AbilityIcon,256,256,datamine,,
GA_Bowguy_TargetedAoeDamage_C,e2eea18f-7c9a-58b8-8d26-aafce5a8b681,Bowguy,Starfall Volley,GA_Bowguy_TargetedAoeDamage_C,true,Power,Magic.Arcane,,true,,"Fire a volley of celestial arrows into the sky that pelt the area around target enemy for <rt.bold>8 seconds</>, dealing <rt.warning>{StarfallDmg}</> magic damage <rt.bold>every</> <rt.warning>{StarfallPeriod}</> <rt.bold>seconds</> to the target and any nearby enemies.

<rt.absorb>Starfall Volley</> follows the target for its duration.",GE_Bowguy_TargetedAoeDamage_Cost,GE_GlobalCooldown,Bowguy_Rain,AbilityIcon,256,256,datamine,,
GA_Bowguy_TargetedAoePull_C,b1841a3a-0d58-5e6b-95e8-3079e3192c6b,Bowguy,Grappling Arrow,GA_Bowguy_TargetedAoePull_C,true,Control,,,,"Fire a <rt.absorb>Grappling Arrow</> at the targeted area. Once the arrow lands, it grapples and <rt.meikoability1>pulls all enemies within 800 radius</> to the arrow's location and reduces their movement speed by 65% for 8 seconds.

<rt.meikoability2>Can be used during Global Cooldown</>",,,,Bowguy_GrappleShot,AbilityIcon,256,256,datamine,,
GA_Firemage_CastedDotBoostProjectile,81cb8ea2-e3df-5fad-a70d-3f156930dd1d,Firemage,Infernal Wave,GA_Firemage_CastedDotBoostProjectile_C,true,Basic,Magic.Fire,Ranged,true,,"Conjure a fiery wave to cascade toward your target, dealing <rt.warning>{InfernWaveDirect}</> fire damage.

<rt.mana>Generates 40 Cinders</>.

<rt.mana>CINDERS</>
For every <rt.mana>100 Cinder</> you generate, you gain <rt.mana>1 Burning Ember</>, shown in the UI below your character as four orbs. Your <rt.mana>Burning Embers</> are used to cast your powerful <rt.absorb>Detonate</> ability.",,GE_GlobalCooldown,Firemage_Bolt,AbilityIcon,512,512,datamine,,
GA_Firemage_CastedDotDetonate,783c45af-bed3-5e5e-94c1-ff781d87493f,Firemage,Detonate,GA_Firemage_CastedDotDetonate_C,true,Power,Magic.Fire,Ranged,true,"Instantly <rt.absorb>Detonate</> all active fire damage over time effects from Ardeos abilities on enemies, dealing damage equal to <rt.warning>3.0 seconds of average ticking damage</> to each enemy.",,,GE_Firemage_CastedDotDetonate_CustomGlobalCooldown,Firemage_detonate,AbilityIcon,512,512,datamine,,
GA_Firemage_CastedPlacedAoe,8fbb59fe-b18d-5947-91f0-10945de3f968,Firemage,Apocalypse,GA_Firemage_CastedPlacedAoe_C,true,Major,Magic.Fire,Ranged,true,,"Conjure a major eruption of fire in the targeted area, dealing <rt.warning>{ApocDirect}</> fire damage and applying <rt.absorb>Searing Blaze</> to all enemies in a large radius.",,GE_GlobalCooldown,Firemage_Apocalypse,AbilityIcon,256,256,datamine,,
GA_Firemage_CastedSingleDot2_C,3597d8fc-ba1a-520b-8365-08fe0b265b9a,Firemage,Searing Blaze,GA_Firemage_CastedSingleDot2_C,true,Core,Magic.Fire,Ranged,true,,"Target enemy burns for <rt.warning>{SearingBlaze}</> fire damage <rt.bold>every</> <rt.warning>{EngulfPeriod}</> <rt.bold>seconds for 30 seconds</>

<rt.mana>Generates 12 Cinders over its full duration</>.

<rt.mana>CINDERS</>
For every <rt.mana>100 Cinder</> you generate, you gain <rt.mana>1 Burning Ember</>, shown in the UI below your character as four orbs. Your <rt.mana>Burning Embers</> are used to cast your powerful <rt.absorb>Detonate</> ability.",,GE_GlobalCooldown,Firemage_Dot_02,AbilityIcon,512,512,datamine,,
GA_Firemage_CastedSingleHeavyDot_C,44279af2-ae30-5233-ae27-3cd5d8cd12ed,Firemage,Engulfing Flames,GA_Firemage_CastedSingleHeavyDot_C,true,Core,Magic.Fire,Ranged,true,,"Engulf your target in flames, dealing  <rt.warning>{EngulfingFlames}</> fire damage <rt.bold>every</> <rt.warning>{EngulfPeriod}</> <rt.bold>seconds for 9 seconds</>.

<rt.effect>REKINDLED FLAME</>
Each stack of <rt.absorb>Engulfing Flames</> that is active on an enemy as it dies, grants you <rt.bold>10 seconds</> reduced cooldown on your <rt.absorb>Engulfing Flames</>.

<rt.mana>Generates 30 Cinders over its full duration</>.

<rt.mana>CINDERS</>
For every <rt.mana>100 Cinder</> you generate, you gain <rt.mana>1 Burning Ember</>, shown in the UI below your character as four orbs. Your <rt.mana>Burning Embers</> are used to cast your powerful <rt.absorb>Detonate</> ability.",,GE_GlobalCooldown,Firemage_Dot_01,AbilityIcon,512,512,datamine,,
GA_Firemage_ChanneledForwardAoeDamage,6bd7604c-af7a-5913-a580-b37487b3576f,Firemage,Incinerate,GA_Firemage_ChanneledForwardAoeDamage_C,true,Spirit,Magic.Fire,,true,,"A jet of fire erupts from your hands as you <rt.bold>channel for 2.5 seconds</>, dealing <rt.warning>{IncinerateDirect}</> fire damage <rt.bold>every</> <rt.warning>{IncinerateChannelInterval}</> <rt.bold>seconds</> to all enemies in a cone in front of you.

Each hit <rt.effect>extends the duration of your active damage over time effects by 1.5 seconds</> on the targets and applies a stacking damage over time to them dealing <rt.warning>{IncinerateDot}</> fire damage <rt.bold>every</> <rt.warning>{IncinerateDoTPeriod}</> <rt.bold>seconds for 12 seconds</>. The damage over time portion is increased by <rt.warning>+30%</> for each stack that is applied to an enemy.

<rt.absorb>SPIRIT ABILITY</>
<rt.greyitalic>When you activate your Spirit ability you gain </><rt.absorb> Spirit of Heroism</><rt.greyitalic>, granting +30% Haste for 20 sec.</>",GE_Firemage_ChanneledForwardAoeDamage_Cost,GE_Shared_Cooldown_HasteScale,Firemage_Spirit,AbilityIcon,512,512,datamine,,
GA_Firemage_DashForward,e1e4435d-8af5-54be-b9e1-f5fdc0de6867,Firemage,Flickerstep,GA_Firemage_DashForward_C,true,Movement,,,,"Instantly teleport forward a short distance.

<rt.meikoability2>Can be used during Global Cooldown</>",,,,Firemage_Blink,AbilityIcon,512,512,datamine,,
GA_Firemage_Firefrogs,0c1c8851-b7e0-5990-8bd1-6b087cba723a,Firemage,Fire Frogs,GA_Firemage_FireFrogs_C,true,Core,Magic.Fire,,true,,"Conjure five <rt.absorb>Fire Frogs</> to leap at your enemies dealing <rt.warning>{FireFrogDirect}</> fire damage and burning them for an additional <rt.warning>100% of the initial damage dealt</> <rt.bold>over 12 seconds</>.

<rt.absorb>Fire Frogs'</> damage over time can not critically strike.

Each Fire Frog will perform 3 attacks before dissipating.",,GE_GlobalCooldown,Firemage_Firefrog,AbilityIcon,256,256,datamine,,
GA_Firemage_InstantDotSpread,d2a9c076-a1b0-54a8-95c8-d014bf29916e,Firemage,Wildfire,GA_Firemage_InstantDotSpread_C,true,Major,Magic.Fire,Ranged,true,"All damage over time effects from your hero abilities <rt.warning>tick 30% faster</> for <rt.bold>9 sec</>.

<rt.meikoability2>Can be used during Global Cooldown</>",,,,Firemage_Wildfire,AbilityIcon,512,512,datamine,,
GA_Firemage_InstantMultiTargetDot_C,03abd8e5-0e6f-5dc5-bbb4-fe5e29f94e67,Firemage,Pyromania,GA_Firemage_InstantMultiTargetDot_C,true,Major,Magic.Fire,,true,,"Instantly adds an <rt.absorb>Engulfing Flames</> effect on the target, and apply it to up to 2 other nearby enemies. Enemies without an already active <rt.absorb>Engulfing Flames</> and with the highest amount of health will be highest priority.

<rt.meikoability2>Can be used during Global Cooldown</>",,,Firemage_Pyromania,AbilityIcon,256,256,datamine,,
GA_Firemage_InstantSingleDisorient,229688ab-ee5e-5753-94df-24cfc3ea116d,Firemage,Fireflash,GA_Firemage_InstantSingleDisorient_C,true,Control,Magic.Fire,Ranged,true,"Conjure a bright flash of fire in front of the target's eyes, causing them to become <rt.effect>Disoriented</> for 30 seconds.

<rt.effect>Disorient</>
Disoriented enemies are incapacitated, left to wander around aimlessly for the duration. Any damage dealt to a disoriented enemy will break the effect.

<rt.meikoability2>Can be used during Global Cooldown</>",,,,Firemage_Disorient,AbilityIcon,512,512,datamine,,
GA_Firemage_InstantSingleInterrupt,ac0c0e46-872e-5211-add4-62a43b9f0cd5,Firemage,Scorch,GA_Firemage_InstantSingleInterrupt_C,true,Utility,Magic.Fire,Ranged,,"<rt.absorb>Interrupt</> the target's spellcasting and prevent it from casting for 4 sec. 
Must interrupt a spell, or it will have no effect.

<rt.meikoability2>Can be used during Global Cooldown</>",,,,Firemage_interrupt,AbilityIcon,512,512,datamine,,
GA_Firemage_Passive_FrogDamageMonitor,547f95c8-ba6b-563a-9e79-8e4a053526c3,Firemage,Fire Frogs,GA_Firemage_Passive_FrogDamageMonitor_C,true,,,,,,"Conjure five <rt.absorb>Fire Frogs</> to leap at your enemies dealing <rt.warning>{FireFrogDirect}</> fire damage and burning them for an additional <rt.warning>100% of the initial damage dealt</> <rt.bold>over 12 seconds</>.

<rt.absorb>Fire Frogs'</> damage over time can not critically strike.

Each Fire Frog will perform 3 attacks before dissipating.",,,Firemage_Firefrog,AbilityIcon,256,256,datamine,,
GA_Firemage_Passive_PlacedProjectileAoeDamageMonitor_Dot,0a98000d-0582-5916-b70c-e4909630bf6e,Firemage,Fire Ball,GA_Firemage_Passive_PlacedProjectileAoeDamageMonitor_Dot_C,true,,,,,,Inflicting fire damage every 2 seconds.,,,Firemage_Inferno,AbilityIcon,256,256,datamine,,
GA_Firemage_PlacedProjectileAoe,0a255f1d-b406-5efa-9ee8-f49c4d61a58e,Firemage,Fire Ball,GA_Firemage_PlacedProjectileAoe_C,true,Core,Magic.Fire,Ranged,true,,"Throw a ball of fiery devestation at the targeted area, dealing <rt.warning>{FireBallDirect}</> fire damage to all enemies in the radius and setting them on fire, dealing an additional <rt.warning>20% of the initial damage dealt</> <rt.bold>over 12 seconds</>.

<rt.absorb>Fire Ball's</> damage over time can not critically strike.

Your Haste is also applied as <rt.meikoability2>Cooldown Acceleration</> on <rt.absorb>Fire Ball</>.

<rt.mana>Each tick of Fireball has a 50% chance to generate 2 Cinders</>.

<rt.mana>CINDERS</>
For every <rt.mana>100 Cinder</> you generate, you gain <rt.mana>1 Burning Ember</>, shown in the UI below your character as four orbs. Your <rt.mana>Burning Embers</> are used to cast your powerful <rt.absorb>Detonate</> ability.",,GE_GlobalCooldown,Firemage_Inferno,AbilityIcon,256,256,datamine,,
GA_Firemage_SelfDefenceBuff,273ca570-3c6b-51ec-b2cd-f03d9d529db7,Firemage,Flame Ward,GA_Firemage_SelfDefenceBuff_C,true,Defensive,Magic.Fire,,,"You take <rt.absorb>40% reduced damage</> for 4 seconds.

<rt.meikoability2>Can be used during Global Cooldown</>",,,,Firemage_FlameShield,AbilityIcon,512,512,datamine,,
GA_Gunde_BasicSingleTargetAttack,b599982c-d771-5c43-b575-e30a58dc0d40,Gunde,Double Strike,GA_Gunde_BasicSingleTargetAttack_C,true,Basic,Physical,,true,,"Strike the target enemy with both axes in swift succession, dealing {DoubleStrikeDmg} per hit.

<rt.absorb>Double Strike</> can be used both in melee and at range.

Applies <rt.warning>Rend</> to the target for {Rend} of the damage dealt.",,GE_GlobalCooldown,T_Gunde_DoubleStrike,AbilityIcon,512,512,datamine,,
GA_Gunde_DamageReductionSelfBuff,7b5fc1b6-144e-5d40-b1e2-ac5920045ba9,Gunde,Reckless Abandon,GA_Gunde_DamageReductionSelfBuff_C,true,Defensive,Physical,,,,"You take <rt.absorb>40% reduced damage</> for 4 seconds.

<rt.meikoability2>Can be used during Global Cooldown</>",,,T_Gunde_Defensive,AbilityIcon,256,256,datamine,,
GA_Gunde_DashAttack,76b4a27f-ce77-5f78-8323-782528e4f38c,Gunde,Warbound,GA_Gunde_DashAttack_C,true,Movement,,,true,,"Quickly leap in the direction you are moving, dealing {WarboundDmg} to all enemies in your path.",,,T_Gunde_Charge,AbilityIcon,512,512,datamine,,
GA_Gunde_DotTransfer,8ad7c228-10ea-579d-9b57-31714d647d50,Gunde,Owed in Blood,GA_Gunde_DotTransfer_C,true,Utility,Physical,,true,,"Each time <rt.warning>Rend</> deals damage there is a chance a <rt.effect>Blood Feather</> is spawned near the enemy on the ground that you can pick up to gain 1 stack of <rt.effect>Owed in Blood</> for 30 seconds, up to maximum of 150 stacks.

Enemies that die with your <rt.warning>Rend</> active on them have a 25% chance to create a <rt.effect>Blood Feather</>.

When you use your <rt.absorb>Owed in Blood</> ability, all stacks of <rt.effect>Owed in Blood</> you have accumulated from <rt.effect>Blood Feathers</> are applied to the targeted enemy as <rt.warning>Rend</> stacks.",,,T_Gunde_SanguineFeast,AbilityIcon,512,512,datamine,,
GA_Gunde_DurationalAoeDotAndBuff,34a72ac1-1b06-5045-b96b-3ff1e9136a1f,Gunde,Bloodbound Spirit,GA_Gunde_DurationalAoeDotAndBuff_C,true,Spirit,,,,,"Call forth your <rt.absorb>Bloodbound Spirit</>, dealing <rt.warning>{BloodboundSpiritDmg}</> magic damage to all nearby enemies as it emerges and every <rt.bold>1.5 seconds</> for <rt.bold>6 seconds</>, applying <rt.warning>Rend</> to the targets for <rt.warning>{Rend} of the damage dealt</>.

For the next <rt.bold>20 seconds</> your <rt.absorb>Heart Splitter</> and <rt.absorb>Grim Carve</> deal <rt.warning>{BloodboundBuff} increased damage</>.

<rt.absorb>SPIRIT ABILITY</>
<rt.greyitalic>When you activate your Spirit ability you gain </><rt.absorb> Spirit of Heroism</><rt.greyitalic>, granting +30% Haste for 20 seconds.</>",GE_Shared_SpiritAbility_Cost,GE_GlobalCooldown,T_Gunde_Spirit,AbilityIcon,512,512,datamine,,
GA_Gunde_ExtraDotDamageBuff,709aef91-acef-5848-9028-d517ac236b5c,Gunde,Reign in Blood,GA_Gunde_ExtraDotDamageBuff_C,true,Major,Physical,,,,"For the next {duration}, your abilities apply an additional <rt.warning>{AddedTransfer} of the damage dealt</> to <rt.warning>Rend</>.",,,T_Gunde_HPDrain,AbilityIcon,256,256,datamine,,
GA_Gunde_HeavyMeleeDotBased,1306cddf-a69b-54bb-bb36-4228ca4de0e2,Gunde,Heart Splitter,GA_Gunde_HeavyMeleeDotBased_C,true,Core,Physical,,true,,"Jump and strike at your enemy from above, dealing {ReckoningDmg} to the target.

<rt.warning>100%</> of the direct damage dealt by <rt.absorb>Heart Splitter</> is added to <rt.warning>Rend</>.

<rt.effect>Exsanguinate</>
<rt.absorb>Heart Splitter</> exsanguinates the target's wounds, dealing an additional <rt.warning>{BonusOfRend}</> of the <rt.warning>Total Rend Damage</> active on the target.",,GE_GlobalCooldown,T_Gunde_Cleave,AbilityIcon,512,512,datamine,,
GA_Gunde_HeavyMeleeDotBoost,cf7e539f-a810-5d57-a541-745449e61baa,Gunde,Rupture,GA_Gunde_HeavyMeleeDotBoost_C,true,Power,Physical,,true,,"Strike target enemy by driving both axes upwards through their torso and splitting their anatomy open, dealing {RuptureDmg} and applying <rt.effect>Open Wounds</> for <rt.bold>18 seconds</>.

<rt.absorb>Rupture</> applies <rt.warning>Rend</> to the target for {Rend} of the damage dealt.

<rt.effect>Open Wounds</>
Your next <rt.absorb>Slaughter</> consumes <rt.effect>Open Wounds</>, <rt.warning>increasing</> <rt.absorb>Slaughter's</> <rt.warning>damage against that enemy by 20%</>.",,GE_GlobalCooldown,T_Gunde_Rupture,AbilityIcon,512,512,datamine,,
GA_Gunde_InstantAoeDot,32a30e14-13de-56d5-aab7-86f0c63a28cc,Gunde,Slaughter,GA_Gunde_InstantAoeDot_C,true,Major,Physical,,true,,"Strike with immense power around you, consuming all <rt.warning>Rend</> stacks on enemies hit and applying <rt.effect>Slaughter</> to them.

<rt.effect>Slaughter</> is a bleed that deals <rt.warning>{Slaughter} of the total Rend damage</> consumed from each enemy, to each enemy over <rt.bold>3 seconds</>.",,,T_Gunde_Slaughter,AbilityIcon,256,256,datamine,,
GA_Gunde_InstantAoeWithBuff,ca0a2d39-2e2a-5019-adcb-44303fccd01f,Gunde,Blood Arc,GA_Gunde_InstantAoeWithBuff_C,true,Core,,,true,,"Cleave all enemies in front of you, dealing {BloodArcDmg} and granting you <rt.effect>Serrated Edge</> for 10 seconds, causing your next damaging ability to transfer an additional <rt.warning>20%</> of its damage to <rt.warning>Rend</>.

<rt.effect>Serrated Edge</> does not interact with your <rt.absorb>Bloodbound Spirit</> ability.

<rt.absorb>Blood Arc</> applies <rt.warning>Rend</> to the targets for {Rend} of the damage dealt.",,GE_GlobalCooldown,Gunde_Frontal,AbilityIcon,512,512,datamine,,
GA_Gunde_InstantWhirlwindAoe,0907c7b2-98ff-5beb-be95-33afca3f39f4,Gunde,Reaver's Edge,GA_Gunde_InstantWhirlwindAoe_C,true,Basic,,,true,,"Jump into a spinning strike, dealing {ReaversEdgeDmg} to all nearby enemies.

Applies <rt.warning>Rend</> to the targets for {Rend} of the damage dealt.",,GE_GlobalCooldown,Gunde_AOESwing_01,AbilityIcon,256,256,datamine,,
GA_Gunde_JumpToLocation,2bc25598-4f96-570e-813d-9724581db41f,Gunde,Warbound (old),GA_Gunde_JumpToLocation_C,false,,Physical,,true,Leap to target location,,,,T_Gunde_Charge,AbilityIcon,512,512,datamine,,
GA_Gunde_MeleeAutoAttack,e1071692-0451-55e2-b2ba-6f1d614c0366,Gunde,Attack,GA_Gunde_MeleeAutoAttack_C,true,,Physical,,true,,,,,Gunde_AOESwing_01,AbilityIcon,256,256,datamine,,
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,b9777518-6e6e-5c63-8ae6-a417a9f37975,Gunde,Rend,GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager_C,true,,,,,,[no data],,,T_Gunde_BloodBuff,AbilityIcon,256,256,datamine,,
