name,captures_ordinal,attribute,source_or_target
CRIntellectDamageCalculation,21,PhysicalIncomingDamageMultiplier,Target
CRIntellectDamageCalculation,22,SourceDamageReflect,Source
CRIntellectDamageCalculation,23,TargetDamageReflect,Target
CRIntellectHealCalculation,0,CritChance,Source
CRIntellectHealCalculation,1,CritMultiplier,Source
CRIntellectHealCalculation,2,DifficultyDamageScale,Source
CRIntellectHealCalculation,3,Expertise,Source
CRIntellectHealCalculation,4,HealScale,Source
CRIntellectHealCalculation,5,HealThreatMultiplier,Source
CRIntellectHealCalculation,6,Health,Target
CRIntellectHealCalculation,7,IncomingHealMultiplier,Target
CRIntellectHealCalculation,8,IncomingHealSign,Target
CRIntellectHealCalculation,9,Intellect,Source
CRIntellectHealCalculation,10,LifeSteal,Source
CRIntellectHealCalculation,11,MaxHealth,Target
CRPrimaryAttributeDamageCalculation,0,AoeIncomingDamageMultiplier,Target
CRPrimaryAttributeDamageCalculation,1,Armor,Target
CRPrimaryAttributeDamageCalculation,2,Avoidance,Target
CRPrimaryAttributeDamageCalculation,3,BlockChance,Target
CRPrimaryAttributeDamageCalculation,4,BlockDamageReductionFlat,Target
CRPrimaryAttributeDamageCalculation,5,BlockDamageReductionMultiplier,Target
CRPrimaryAttributeDamageCalculation,6,CritChance,Source
CRPrimaryAttributeDamageCalculation,7,CritMultiplier,Source
CRPrimaryAttributeDamageCalculation,8,DamageMitigationScale,Target
CRPrimaryAttributeDamageCalculation,9,DamageScale,Source
CRPrimaryAttributeDamageCalculation,10,DamageThreatMultiplier,Source
CRPrimaryAttributeDamageCalculation,11,DifficultyDamageScale,Source
CRPrimaryAttributeDamageCalculation,12,DodgeChance,Target
CRPrimaryAttributeDamageCalculation,13,Expertise,Source
CRPrimaryAttributeDamageCalculation,14,IncomingDamageMultiplier,Target
CRPrimaryAttributeDamageCalculation,15,LifeSteal,Source
CRPrimaryAttributeDamageCalculation,16,MagicDamageReduction,Target
CRPrimaryAttributeDamageCalculation,17,MagicalIncomingDamageMultiplier,Target
CRPrimaryAttributeDamageCalculation,18,ParryChance,Target
CRPrimaryAttributeDamageCalculation,19,PhysicalDamageReduction,Target
CRPrimaryAttributeDamageCalculation,20,PhysicalIncomingDamageMultiplier,Target
CRPrimaryAttributeDamageCalculation,21,PrimaryAttribute,Source
CRPrimaryAttributeDamageCalculation,22,SourceDamageReflect,Source
CRPrimaryAttributeDamageCalculation,23,TargetDamageReflect,Target
CRStrengthDamageCalculation,0,AoeIncomingDamageMultiplier,Target
CRStrengthDamageCalculation,1,Armor,Target
CRStrengthDamageCalculation,2,Avoidance,Target
CRStrengthDamageCalculation,3,BlockChance,Target
CRStrengthDamageCalculation,4,BlockDamageReductionFlat,Target
CRStrengthDamageCalculation,5,BlockDamageReductionMultiplier,Target
CRStrengthDamageCalculation,6,CritChance,Source
CRStrengthDamageCalculation,7,CritMultiplier,Source
CRStrengthDamageCalculation,8,DamageMitigationScale,Target
CRStrengthDamageCalculation,9,DamageScale,Source
CRStrengthDamageCalculation,10,DamageThreatMultiplier,Source
CRStrengthDamageCalculation,11,DifficultyDamageScale,Source
CRStrengthDamageCalculation,12,DodgeChance,Target
CRStrengthDamageCalculation,13,Expertise,Source
CRStrengthDamageCalculation,14,IncomingDamageMultiplier,Target
CRStrengthDamageCalculation,15,LifeSteal,Source
CRStrengthDamageCalculation,16,MagicDamageReduction,Target
CRStrengthDamageCalculation,17,MagicalIncomingDamageMultiplier,Target
CRStrengthDamageCalculation,18,ParryChance,Target
CRStrengthDamageCalculation,19,PhysicalDamageReduction,Target
CRStrengthDamageCalculation,20,PhysicalIncomingDamageMultiplier,Target
CRStrengthDamageCalculation,21,SourceDamageReflect,Source
CRStrengthDamageCalculation,22,Strength,Source
CRStrengthDamageCalculation,23,TargetDamageReflect,Target
CRStrengthHealCalculation,0,CritChance,Source
CRStrengthHealCalculation,1,CritMultiplier,Source
CRStrengthHealCalculation,2,DifficultyDamageScale,Source
CRStrengthHealCalculation,3,Expertise,Source
CRStrengthHealCalculation,4,HealScale,Source
CRStrengthHealCalculation,5,HealThreatMultiplier,Source
CRStrengthHealCalculation,6,Health,Target
CRStrengthHealCalculation,7,IncomingHealMultiplier,Target
CRStrengthHealCalculation,8,IncomingHealSign,Target
CRStrengthHealCalculation,9,LifeSteal,Source
CRStrengthHealCalculation,10,MaxHealth,Target
CRStrengthHealCalculation,11,Strength,Source
CRUserDefinedDamageCalculation,0,AoeIncomingDamageMultiplier,Target
CRUserDefinedDamageCalculation,1,Armor,Target
CRUserDefinedDamageCalculation,2,Avoidance,Target
CRUserDefinedDamageCalculation,3,BlockChance,Target
CRUserDefinedDamageCalculation,4,BlockDamageReductionFlat,Target
CRUserDefinedDamageCalculation,5,BlockDamageReductionMultiplier,Target
CRUserDefinedDamageCalculation,6,CritChance,Source
CRUserDefinedDamageCalculation,7,CritMultiplier,Source
CRUserDefinedDamageCalculation,8,DamageMitigationScale,Target
CRUserDefinedDamageCalculation,9,DamageScale,Source
CRUserDefinedDamageCalculation,10,DamageThreatMultiplier,Source
CRUserDefinedDamageCalculation,11,DifficultyDamageScale,Source
CRUserDefinedDamageCalculation,12,DodgeChance,Target
CRUserDefinedDamageCalculation,13,Expertise,Source
CRUserDefinedDamageCalculation,14,IncomingDamageMultiplier,Target
CRUserDefinedDamageCalculation,15,LifeSteal,Source
CRUserDefinedDamageCalculation,16,MagicDamageReduction,Target
CRUserDefinedDamageCalculation,17,MagicalIncomingDamageMultiplier,Target
CRUserDefinedDamageCalculation,18,ParryChance,Target
CRUserDefinedDamageCalculation,19,PhysicalDamageReduction,Target
CRUserDefinedDamageCalculation,20,PhysicalIncomingDamageMultiplier,Target
CRUserDefinedDamageCalculation,21,SourceDamageReflect,Source
CRUserDefinedDamageCalculation,22,TargetDamageReflect,Target
CRUserDefinedHealCalculation,0,CritChance,Source
CRUserDefinedHealCalculation,1,CritMultiplier,Source
CRUserDefinedHealCalculation,2,DifficultyDamageScale,Source
CRUserDefinedHealCalculation,3,Expertise,Source
CRUserDefinedHealCalculation,4,HealScale,Source
CRUserDefinedHealCalculation,5,HealThreatMultiplier,Source
CRUserDefinedHealCalculation,6,Health,Target
CRUserDefinedHealCalculation,7,IncomingHealMultiplier,Target
CRUserDefinedHealCalculation,8,IncomingHealSign,Target
CRUserDefinedHealCalculation,9,LifeSteal,Source
CRUserDefinedHealCalculation,10,MaxHealth,Target
