id,numeric_id,slot,rule_set,stat_weights_key,display_name,drops_in_all_dungeons,provenance_origin,provenance_dev_name,provenance_source
ItemID.HeroItem.Dynamic.Hands.SetD_C_Expertise,5198,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,28.28.28,Hands_SetD_C_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.SetE_A_Spirit,5199,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,22.22.40,Hands_SetE_A_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.SetE_B_Crit,5200,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Hands_SetE_B_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Head.A_Crit,5202,Head,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Head_A_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Head.A_Expertise,5203,Head,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Head_A_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Head.A_Haste,5204,Head,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Head_A_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Head.B_Crit,5205,Head,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Head_B_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Head.B_Expertise,5206,Head,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Head_B_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Head.B_Haste,5207,Head,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Head_B_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Head.B_Spirit,5208,Head,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Head_B_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Head.C_Haste,5209,Head,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Head_C_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Head.C_Spirit,5210,Head,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Head_C_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Head.SetA_C_Expertise,5211,Head,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,28.28.28,Head_SetA_C_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Head.SetB_B_Crit,5212,Head,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Head_SetB_B_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Head.SetC_C_Spirit,5213,Head,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,28.28.28,Head_SetC_C_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Head.SetD_A_Haste,5214,Head,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,22.22.40,Head_SetD_A_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Back_A_CriticalStrike,5216,Back,DynamicHeroItemRuleSet.Legendary,22.22.40,Legendary_Back_A_CriticalStrike,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Back_A_Expertise,5217,Back,DynamicHeroItemRuleSet.Legendary,22.22.40,Legendary_Back_A_Expertise,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Back_A_Haste,5218,Back,DynamicHeroItemRuleSet.Legendary,22.22.40,Legendary_Back_A_Haste,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Back_A_Spirit,5219,Back,DynamicHeroItemRuleSet.Legendary,22.22.40,Legendary_Back_A_Spirit,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Ring_C_CriticalStrike_Expertise,5220,Ring,DynamicHeroItemRuleSet.Legendary,28.28.28,Legendary_Ring_C_CriticalStrike_Expertise,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Ring_C_Haste_CriticalStrike,5221,Ring,DynamicHeroItemRuleSet.Legendary,28.28.28,Legendary_Ring_C_Haste_CriticalStrike,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Ring_C_Haste_Haste,5222,Ring,DynamicHeroItemRuleSet.Legendary,28.28.28,Legendary_Ring_C_Haste_Haste,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Ring_C_Spirit_Spirit,5223,Ring,DynamicHeroItemRuleSet.Legendary,28.28.28,Legendary_Ring_C_Spirit_Spirit,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Wrists_A_CriticalStrike,5224,Wrists,DynamicHeroItemRuleSet.Legendary,22.22.40,Legendary_Wrists_A_CriticalStrike,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Wrists_A_Expertise,5225,Wrists,DynamicHeroItemRuleSet.Legendary,22.22.40,Legendary_Wrists_A_Expertise,,datamine,,
ItemID.HeroItem.Dynamic.Legendary.Wrists_A_Haste,5226,Wrists,DynamicHeroItemRuleSet.Legendary,22.22.40,Legendary_Wrists_A_Haste,,datamine,,
ItemID.HeroItem.Dynamic.Neck.A_Expertise_Crit,5229,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,22.22.40,Neck_A_Expertise_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.A_Haste_Expertise,5230,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,22.22.40,Neck_A_Haste_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.A_Haste_Spirit,5231,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,22.22.40,Neck_A_Haste_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.A_Spirit_Expertise,5232,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,28.28.28,Neck_A_Spirit_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.A_Spirit_Haste,5233,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,22.22.40,Neck_A_Spirit_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.C_Crit_Spirit,5234,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,28.28.28,Neck_C_Crit_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.C_Expertise_Crit,5235,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,28.28.28,Neck_C_Expertise_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.C_Haste_Crit,5236,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,28.28.28,Neck_C_Haste_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.C_Haste_Expertise,5237,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,28.28.28,Neck_C_Haste_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.SetA_A_Haste_Crit,5240,Necklace,DynamicHeroItemRuleSet.SetBonus_NoGemSlot_Necklace,28.28.28,Neck_SetA_A_Haste_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.SetB_C_Expertise_Spirit,5241,Necklace,DynamicHeroItemRuleSet.SetBonus_NoGemSlot_Necklace,28.28.28,Neck_SetB_C_Expertise_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.SetC_A_Crit_Haste,5242,Necklace,DynamicHeroItemRuleSet.SetBonus_NoGemSlot_Necklace,22.22.40,Neck_SetC_A_Crit_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.SetC_C_Spirit_Exertise,5243,Necklace,DynamicHeroItemRuleSet.Default_NoGemSlot_Necklace,28.28.28,Neck_C_Spirit_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Neck.SetD_C_Spirit_Crit,5244,Necklace,DynamicHeroItemRuleSet.SetBonus_NoGemSlot_Necklace,28.28.28,Neck_SetD_C_Spirit_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Relic.A_Crit_Expertise_Portal,5246,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_A_Crit_Expertise_Portal,,datamine,,
ItemID.HeroItem.Dynamic.Relic.A_Expertise_Haste_ManaPotion,5247,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_A_Expertise_Haste_ManaPotion,,datamine,,
ItemID.HeroItem.Dynamic.Relic.A_Haste_Spirit_HealthPotion,5248,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_A_Haste_Spirit_HealthPotion,,datamine,,
ItemID.HeroItem.Dynamic.Relic.A_Spirit_Haste_Movespeed,5249,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_A_Spirit_Haste_Movespeed,,datamine,,
ItemID.HeroItem.Dynamic.Relic.B_Haste_Crit_DamageReductionOther,5250,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_B_Haste_Crit_DamageReductionOther,,datamine,,
ItemID.HeroItem.Dynamic.Relic.B_Haste_Crit_DamageReductionTank,5251,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_B_Haste_Crit_DamageReductionTank,,datamine,,
ItemID.HeroItem.Dynamic.Relic.C_Crit_Spirit_Polymorph,5252,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_C_Crit_Spirit_Polymorph,,datamine,,
ItemID.HeroItem.Dynamic.Relic.C_Expertise_Crit_GroupInvisibility,5253,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_C_Expertise_Crit_GroupInvisibility,,datamine,,
ItemID.HeroItem.Dynamic.Relic.C_Expertise_Spirit_Battleres,5254,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_C_Expertise_Spirit_Battleres,,datamine,,
ItemID.HeroItem.Dynamic.Relic.C_Spirit_Crit_Dispell,5255,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_C_Spirit_Crit_Dispell,,datamine,,
ItemID.HeroItem.Dynamic.Relic.C_Spirit_Expertise_InterruptHealer,5256,Trinket,DynamicHeroItemRuleSet.Relic,28.28.28,Relic_C_Spirit_Expertise_InterruptHealer,,datamine,,
ItemID.HeroItem.Dynamic.Ring.A_Crit_Expertise,5258,Ring,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Ring_A_Crit_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.A_Crit_Haste,5259,Ring,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Ring_A_Crit_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.A_Expertise_Haste,5260,Ring,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Ring_A_Expertise_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.A_Expertise_Spirit,5261,Ring,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Ring_A_Expertise_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.A_Haste_Expertise,5262,Ring,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Ring_A_Haste_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.A_Haste_Spirit,5263,Ring,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Ring_A_Haste_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.A_Spirit_Crit,5264,Ring,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Ring_A_Spirit_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.A_Spirit_Expertise,5265,Ring,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Ring_A_Spirit_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.A_Spirit_Haste,5266,Ring,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Ring_A_Spirit_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.C_Crit_Spirit,5267,Ring,DynamicHeroItemRuleSet.Default_GemSlot,28.28.28,Ring_C_Crit_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.C_Expertise_Crit,5268,Ring,DynamicHeroItemRuleSet.Default_GemSlot,28.28.28,Ring_C_Expertise_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.C_Haste_Crit,5269,Ring,DynamicHeroItemRuleSet.Default_GemSlot,28.28.28,Ring_C_Haste_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.C_Haste_Expertise,5270,Ring,DynamicHeroItemRuleSet.Default_GemSlot,28.28.28,Ring_C_Haste_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.C_Spirit_Haste,5271,Ring,DynamicHeroItemRuleSet.Default_GemSlot,28.28.28,Ring_C_Spirit_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetA_C_Expertise_Crit,5272,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Ring_SetA_C_Expertise_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetA_C_Spirit_Expertise,5273,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Ring_SetA_C_Spirit_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetB_A_Sprit_Crit,5274,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,22.22.40,Ring_SetB_A_Spirit_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetB_C_Haste_Expertise,5275,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Ring_SetB_Haste_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetC_C_Expertise_Crit,5276,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Ring_SetC_C_Expertise_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetC_C_Spirit_Crit,5277,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Ring_SetC_Spirit_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetD_A_Spirit_Haste,5278,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Ring_SetD_A_Spirit_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetD_C_Crit_Haste,5279,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Ring_SetD_C_Crit_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetE_A_Expertise_Crit,5280,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Ring_SetE_A_Expertise_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Ring.SetE_C_Haste_Spirit,5281,Ring,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Ring_SetE_C_Haste_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Shoulders.A_Crit,5283,Shoulders,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Shoulders_A_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Shoulders.A_Expertise,5284,Shoulders,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Shoulders_A_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Shoulders.A_Haste,5285,Shoulders,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Shoulders_A_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Shoulders.A_Spirit,5286,Shoulders,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Shoulders_A_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Shoulders.B_Crit,5287,Shoulders,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Shoulders_B_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Shoulders.B_Expertise,5288,Shoulders,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Shoulders_B_Expertise,false,datamine,,
