name,definitions_ordinal,calculation_modifiers_ordinal,magnitude_scalars_ordinal,role,value,curve_table,curve_row,registry_type
CRAgilityDamageCalculation,5,3,0,magnitude,0.2,,,
CRAgilityDamageCalculation,6,0,0,magnitude,1.0,,Bowguy.InstantMarkTarget.AdditionalHit.Aoe.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,6,2,0,magnitude,1.0,,Bowguy.InstantMarkTarget.Talent.IncreasedDamage.DamageScale,AbilityConstants
CRAgilityDamageCalculation,7,0,0,magnitude,1.0,,Bowguy.InstantMarkTarget.AdditionalHit.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,7,1,0,magnitude,1.0,,Bowguy.InstantMarkTarget.Talent.IncreasedDamage.DamageScale,AbilityConstants
CRAgilityDamageCalculation,8,0,0,magnitude,1.0,,Bowguy.RangedAutoAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,9,0,0,magnitude,1.0,,Bowguy.SingleProjectileDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,9,1,0,magnitude,1.0,,Bowguy.RangedAutoAttack.Proc.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,9,2,0,magnitude,0.0,,Bowguy.RangedAutoAttack.Proc.CritChanceModifier,AbilityConstants
CRAgilityDamageCalculation,9,3,0,coefficient,1.0,,,
CRAgilityDamageCalculation,9,3,1,pre_multiply_additive,0.0,,,
CRAgilityDamageCalculation,9,3,2,post_multiply_additive,0.0,,,
CRAgilityDamageCalculation,9,4,0,magnitude,1.0,,Bowguy.CastedProjectileDamage.Talent.Enhanced.DamageScaler,AbilityConstants
CRAgilityDamageCalculation,10,0,0,magnitude,1.0,,Bowguy.TargetedAoeDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,10,2,0,magnitude,1.0,,Bowguy.TargetedAoeDamage.Talent.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,10,3,0,magnitude,1.0,,Bowguy.TargetedAoeDamage.Talent.IncreasedDurationAndExtension.MainTargetDamageBonus.DamageScaler,AbilityConstants
CRAgilityDamageCalculation,11,0,0,magnitude,1.0,,DD_Arbalist.LineAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,12,0,0,magnitude,1.0,,DR_BarbedRoot.RangedAutoAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,13,0,0,magnitude,1.0,,Mara.AoeAttackBuilder.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,14,0,0,magnitude,1.0,,Mara.AoeAttackBuilder.Poison.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,14,1,0,coefficient,1.0,,Mara.HasteToPoisonAndBleedDamageBonus.Scaler,AbilityConstants
CRAgilityDamageCalculation,14,1,1,pre_multiply_additive,-1.0,,,
CRAgilityDamageCalculation,14,1,2,post_multiply_additive,1.0,,,
CRAgilityDamageCalculation,15,0,0,magnitude,1.0,,Mara.AoeAttackBuilder.Poison.Aoe.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,15,2,0,coefficient,1.0,,Mara.HasteToPoisonAndBleedDamageBonus.Scaler,AbilityConstants
CRAgilityDamageCalculation,15,2,1,pre_multiply_additive,-1.0,,,
CRAgilityDamageCalculation,15,2,2,post_multiply_additive,1.0,,,
CRAgilityDamageCalculation,16,0,0,magnitude,1.0,,Mara.AoeAttackSpender.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,16,3,0,magnitude,1.0,,Mara.CopyCharacterDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,16,4,0,magnitude,1.0,,Mara.Talent.ResourceAttackSpenderCritChance.AdditionalCritChance,AbilityConstants
CRAgilityDamageCalculation,16,5,0,coefficient,1.0,,,
CRAgilityDamageCalculation,16,5,1,pre_multiply_additive,0.0,,,
CRAgilityDamageCalculation,16,5,2,post_multiply_additive,0.0,,,
CRAgilityDamageCalculation,16,6,0,magnitude,1.0,,Mara.Stealth.Talent.SpenderIncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,16,7,0,magnitude,1.0,,Mara.Talent.DamageSpenders.BuffOtherSpender.DamageScaler,AbilityConstants
CRAgilityDamageCalculation,17,0,0,magnitude,1.0,,Mara.AutoAttack.EnergyGainProc.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,18,0,0,magnitude,1.0,,Mara.AutoAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,19,0,0,magnitude,1.0,,Mara.BleedAttackSpender.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,19,2,0,magnitude,1.0,,Mara.BleedAttackSpender.Talent.IncreasedCritChance.AdditionalCritChance,AbilityConstants
CRAgilityDamageCalculation,19,4,0,coefficient,1.0,,Mara.HasteToPoisonAndBleedDamageBonus.Scaler,AbilityConstants
CRAgilityDamageCalculation,19,4,1,pre_multiply_additive,-1.0,,,
CRAgilityDamageCalculation,19,4,2,post_multiply_additive,1.0,,,
CRAgilityDamageCalculation,19,5,0,magnitude,1.0,,Mara.ChargedDoubleAttackBuilder.Poison.BleedMultiplier,AbilityConstants
CRAgilityDamageCalculation,20,0,0,magnitude,1.0,,Mara.BleedAttackSpender.InitialDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,21,0,0,magnitude,1.0,,Mara.ChargedDoubleAttackBuilder.FirstAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,21,1,0,magnitude,1.0,,Mara.ChargedDoubleAttackBuilder.FirstAttack.Spread,AbilityConstants
CRAgilityDamageCalculation,21,2,0,magnitude,1.0,,Mara.ChargedDoubleAttackBuilder.Talent.IncreasedCritChance.AdditionalCritChance,AbilityConstants
CRAgilityDamageCalculation,22,0,0,magnitude,1.0,,Mara.ChargedDoubleAttackBuilder.SecondAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,22,1,0,magnitude,1.0,,Mara.ChargedDoubleAttackBuilder.SecondAttack.Spread,AbilityConstants
CRAgilityDamageCalculation,22,2,0,magnitude,1.0,,Mara.ChargedDoubleAttackBuilder.Talent.IncreasedCritChance.AdditionalCritChance,AbilityConstants
CRAgilityDamageCalculation,23,0,0,magnitude,1.0,,Mara.ChargedDoubleAttackBuilder.Poison.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,23,1,0,coefficient,1.0,,Mara.HasteToPoisonAndBleedDamageBonus.Scaler,AbilityConstants
CRAgilityDamageCalculation,23,1,1,pre_multiply_additive,-1.0,,,
CRAgilityDamageCalculation,23,1,2,post_multiply_additive,1.0,,,
CRAgilityDamageCalculation,24,0,0,magnitude,1.0,,Mara.HeavyAttackSpender.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,24,3,0,magnitude,1.0,,Mara.CopyCharacterDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,24,4,0,magnitude,1.0,,Mara.Talent.ResourceAttackSpenderCritChance.AdditionalCritChance,AbilityConstants
CRAgilityDamageCalculation,24,7,0,magnitude,1.0,,Mara.Stealth.Talent.SpenderIncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,24,8,0,magnitude,1.0,,Mara.Talent.DamageSpenders.BuffOtherSpender.DamageScaler,AbilityConstants
CRAgilityDamageCalculation,25,0,0,magnitude,1.0,,Mara.StrongerBehindAttackBuilder.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,25,1,0,magnitude,1.0,,Mara.StrongerBehindAttackBuilder.DamageMultiplierInStealth,AbilityConstants
CRAgilityDamageCalculation,26,0,0,magnitude,1.0,,Mara.StrongerBehindAttackBuilder.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,26,1,0,magnitude,1.0,,Mara.StrongerBehindAttackBuilder.DamageMultiplierInStealth,AbilityConstants
CRAgilityDamageCalculation,27,0,0,magnitude,1.0,,Mara.StrongerBehindAttackBuilder.Poison.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,27,1,0,magnitude,1.0,,Mara.StrongerBehindAttackBuilder.Poison.AddedCritChance,AbilityConstants
CRAgilityDamageCalculation,27,2,0,coefficient,1.0,,Mara.HasteToPoisonAndBleedDamageBonus.Scaler,AbilityConstants
CRAgilityDamageCalculation,27,2,1,pre_multiply_additive,-1.0,,,
CRAgilityDamageCalculation,27,2,2,post_multiply_additive,1.0,,,
CRAgilityDamageCalculation,28,0,0,magnitude,1.0,,Mara.BleedAttackSpender.Talent.ExplosivePoison.Poison.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,29,0,0,magnitude,1.0,,Mara.ChargedDoubleAttackBuilder.Talent.AoeDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,29,3,0,coefficient,1.0,,Mara.HasteToPoisonAndBleedDamageBonus.Scaler,AbilityConstants
CRAgilityDamageCalculation,29,3,1,pre_multiply_additive,-1.0,,,
CRAgilityDamageCalculation,29,3,2,post_multiply_additive,1.0,,,
CRAgilityDamageCalculation,30,0,0,magnitude,1.0,,Mara.Talent.ComboPointsChanceAoeDamage.Debuff.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,30,1,0,coefficient,1.0,,Mara.HasteToPoisonAndBleedDamageBonus.Scaler,AbilityConstants
CRAgilityDamageCalculation,30,1,1,pre_multiply_additive,-1.0,,,
CRAgilityDamageCalculation,30,1,2,post_multiply_additive,1.0,,,
CRAgilityDamageCalculation,31,0,0,magnitude,1.0,,Meiko.ChanneledHeavyDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,31,2,0,magnitude,1.0,,Meiko.ChanneledHeavyDamage.Talent.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,31,3,0,coefficient,1.0,,,
CRAgilityDamageCalculation,31,3,1,pre_multiply_additive,0.0,,,
CRAgilityDamageCalculation,31,3,2,post_multiply_additive,0.0,,,
CRAgilityDamageCalculation,31,5,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,31,6,0,magnitude,1.0,,Meiko.Earth.Talent.IncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,31,7,0,magnitude,1.0,,Meiko.Finishers.Talent.IncreasedDamageScaler,AbilityConstants
CRAgilityDamageCalculation,32,0,0,magnitude,1.0,,Meiko.ChanneledHeavyDamage.FinalHit.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,32,2,0,magnitude,1.0,,Meiko.ChanneledHeavyDamage.Talent.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,32,3,0,coefficient,1.0,,,
CRAgilityDamageCalculation,32,3,1,pre_multiply_additive,0.0,,,
CRAgilityDamageCalculation,32,3,2,post_multiply_additive,0.0,,,
CRAgilityDamageCalculation,32,5,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,32,6,0,magnitude,1.0,,Meiko.Earth.Talent.IncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,32,7,0,magnitude,1.0,,Meiko.Finishers.Talent.IncreasedDamageScaler,AbilityConstants
CRAgilityDamageCalculation,33,0,0,magnitude,1.0,,Meiko.DamageSoakBuff.DamageAgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,33,1,0,magnitude,1.0,,Meiko.DamageSoakBuff.DamageSpread,AbilityConstants
CRAgilityDamageCalculation,33,3,0,magnitude,1.0,,Meiko.Earth.Talent.IncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,33,4,0,magnitude,1.0,,Meiko.DamageSoakBuff.Talent.IncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,33,5,0,magnitude,1.0,,Meiko.TauntTotem.Talent.BuffAfterDestroyed.AbilityDamageIncrease,AbilityConstants
CRAgilityDamageCalculation,34,0,0,magnitude,1.0,,Meiko.DurationalAoeDamageBuff.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,34,1,0,magnitude,1.0,,Meiko.DurationalAoeDamageBuff.Spread,AbilityConstants
CRAgilityDamageCalculation,34,2,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,34,3,0,magnitude,1.0,,Meiko.DurationalAoeDamageBuff.Talent.IncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,34,4,0,magnitude,1.0,,Meiko.Finishers.Talent.IncreasedDamageScaler,AbilityConstants
CRAgilityDamageCalculation,34,7,0,magnitude,1.0,,Meiko.TauntTotem.Talent.BuffAfterDestroyed.WindDamageIncrease,AbilityConstants
CRAgilityDamageCalculation,35,0,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,35,1,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,35,2,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,35,3,0,magnitude,1.0,,Meiko.TauntTotem.Talent.BuffAfterDestroyed.WindDamageIncrease,AbilityConstants
CRAgilityDamageCalculation,36,0,0,magnitude,1.0,,Meiko.FrontalAoeDebuff.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,36,1,0,magnitude,1.0,,Meiko.FrontalAoeDebuff.Spread,AbilityConstants
CRAgilityDamageCalculation,36,2,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,36,3,0,magnitude,1.0,,Meiko.Earth.Talent.IncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,37,0,0,magnitude,1.0,,Meiko.HighDamageCleave.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,37,1,0,magnitude,1.0,,Meiko.MeleeDamageSelfBuff.Spread,AbilityConstants
CRAgilityDamageCalculation,37,3,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,37,6,0,magnitude,1.0,,Meiko.HighDamageCleave.Talent.IncreasedCriticalChance.ChanceMultiplier,AbilityConstants
CRAgilityDamageCalculation,37,7,0,magnitude,1.0,,Meiko.Finishers.Talent.IncreasedDamageScaler,AbilityConstants
CRAgilityDamageCalculation,37,8,0,magnitude,1.0,,Meiko.TauntTotem.Talent.BuffAfterDestroyed.WindDamageIncrease,AbilityConstants
CRAgilityDamageCalculation,38,0,0,magnitude,1.0,,Meiko.MeleeAutoAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,38,1,0,magnitude,1.0,,Meiko.MeleeAutoAttack.Spread,AbilityConstants
CRAgilityDamageCalculation,39,0,0,magnitude,1.0,,Meiko.MeleeDamageImmediateSelfBuff.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,39,1,0,magnitude,1.0,,Meiko.MeleeDamageImmediateSelfBuff.Spread,AbilityConstants
CRAgilityDamageCalculation,39,2,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,39,3,0,magnitude,1.0,,Meiko.Finishers.Talent.IncreasedDamageScaler,AbilityConstants
CRAgilityDamageCalculation,39,4,0,magnitude,1.0,,Meiko.Talent.ConsumedBuffsToDefensiveBuff.MeleeDamageImmediateSelfBuff.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,40,0,0,magnitude,1.0,,Meiko.MeleeDamageLowHealthSelfBuff.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,40,1,0,magnitude,1.0,,Meiko.MeleeDamageLowHealthSelfBuff.Spread,AbilityConstants
CRAgilityDamageCalculation,40,2,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,40,3,0,magnitude,1.0,,Meiko.Earth.Talent.IncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,40,4,0,magnitude,1.0,,Meiko.Finishers.Talent.IncreasedDamageScaler,AbilityConstants
CRAgilityDamageCalculation,41,0,0,magnitude,1.0,,Meiko.MeleeDamageSelfBuff.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,41,1,0,magnitude,1.0,,Meiko.MeleeDamageSelfBuff.Spread,AbilityConstants
CRAgilityDamageCalculation,41,3,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,41,4,0,magnitude,1.0,,Meiko.Finishers.Talent.IncreasedDamageScaler,AbilityConstants
CRAgilityDamageCalculation,41,5,0,magnitude,1.0,,Meiko.TauntTotem.Talent.BuffAfterDestroyed.WindDamageIncrease,AbilityConstants
CRAgilityDamageCalculation,42,0,0,magnitude,1.0,,Meiko.MeleeDown.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,42,1,0,magnitude,1.0,,Meiko.MeleeDown.Spread,AbilityConstants
CRAgilityDamageCalculation,42,3,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,42,4,0,magnitude,1.0,,Meiko.TauntTotem.Talent.BuffAfterDestroyed.WindDamageIncrease,AbilityConstants
CRAgilityDamageCalculation,43,0,0,magnitude,1.0,,Meiko.MeleeLeft.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,43,1,0,magnitude,1.0,,Meiko.MeleeLeft.Spread,AbilityConstants
CRAgilityDamageCalculation,43,2,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,44,0,0,magnitude,1.0,,Meiko.MeleeRight.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,44,1,0,magnitude,1.0,,Meiko.MeleeRight.Spread,AbilityConstants
CRAgilityDamageCalculation,44,2,0,magnitude,1.0,,Meiko.DurationalMultipleTeleportDamage.Talent.TargetDebuff.IncreasedDamage,AbilityConstants
CRAgilityDamageCalculation,44,3,0,magnitude,1.0,,Meiko.Earth.Talent.IncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,45,0,0,magnitude,1.0,,Meiko.MoveToLocationAoeDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,45,1,0,magnitude,1.0,,Meiko.MoveToLocationAoeDamage.Spread,AbilityConstants
CRAgilityDamageCalculation,45,3,0,magnitude,1.0,,Meiko.Earth.Talent.IncreasedDamage.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,45,4,0,magnitude,1.0,,Meiko.TauntTotem.Talent.BuffAfterDestroyed.AbilityDamageIncrease,AbilityConstants
CRAgilityDamageCalculation,46,0,0,magnitude,1.0,,Meiko.MoveToLocationAoeDamage.Dot.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,46,1,0,magnitude,1.0,,Meiko.TauntTotem.Talent.BuffAfterDestroyed.AbilityDamageIncrease,AbilityConstants
CRAgilityDamageCalculation,47,0,0,magnitude,1.0,,Meiko.InstantSelfDefensive.Talent.DamageReductionLessHeal.AoeDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,48,0,0,magnitude,1.0,,UB_DeadeyeArbalest.LineAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,49,0,0,magnitude,1.0,,UB_DeadeyeArbalest.RangedAutoAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,50,0,0,magnitude,1.0,,UB_DefendingArcher.RangedAutoAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,50,1,0,magnitude,1.0,,UB_DefendingArcher.RangedAutoAttack.Spread,AbilityConstants
CRAgilityDamageCalculation,51,0,0,magnitude,1.0,,UB_DefendingArcher.Volley.Aoe.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,51,1,0,magnitude,1.0,,UB_DefendingArcher.Volley.Aoe.Spread,AbilityConstants
CRAgilityDamageCalculation,52,0,0,magnitude,1.0,,UB_ReanimatedArcher.RangedAutoAttack.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,53,0,0,magnitude,1.0,,UB_ReanimatedArcher.Volley.Aoe.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,53,1,0,magnitude,1.0,,UB_ReanimatedArcher.Volley.Aoe.Spread,AbilityConstants
CRAgilityDamageCalculation,54,0,0,magnitude,1.0,/Game/Abilities/DataTables/CT_AbilityConstants,UC_CadavrianArbalist.AutoAttack.Spread,
CRAgilityDamageCalculation,54,1,0,magnitude,1.0,/Game/Abilities/DataTables/CT_AbilityConstants,UC_CadavrianArbalist.AutoAttack.StrengthCoefficient,
CRIntellectDamageCalculation,0,0,0,magnitude,1.0,,VV_BlackmistShadowMinion.Cast.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,1,0,0,magnitude,1.0,,VV_BlackmistShadowMinion.OnDeathExplosion.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,2,0,0,magnitude,1.0,,VV_BossVikingMystic_RuneMinion.Cast.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,3,0,0,magnitude,1.0,,VV_BossVikingMystic_RuneMinion.OnDeathExplosion.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,4,0,0,magnitude,1.0,,CM_BlackburnMantrader.CastedRangedProjectile.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,4,1,0,magnitude,1.0,,CM_BlackburnMantrader.CastedRangedProjectile.Spread,AbilityConstants
CRIntellectDamageCalculation,5,0,0,magnitude,1.0,,CM_BlackburnMantrader.LargeCastedRangedProjectile.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,5,1,0,magnitude,1.0,,CM_BlackburnMantrader.LargeCastedRangedProjectile.Spread,AbilityConstants
CRIntellectDamageCalculation,6,0,0,magnitude,1.0,,CM_BossAina.CastDebuffProjectile.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,7,0,0,magnitude,1.0,,CM_BossAina.CastFillerProjectile.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,8,0,0,magnitude,1.0,,CM_BossAina.PlacedSlowAOE.Area.Dot.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,9,0,0,magnitude,1.0,,CM_BossWhisperingCore.Beam.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,9,1,0,magnitude,1.0,,CM_BossWhisperingCore.Beam.Spread,AbilityConstants
CRIntellectDamageCalculation,10,0,0,magnitude,1.0,,CM_BossWhisperingCore.PlatformAoEDamage.Debuff.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,10,1,0,magnitude,1.0,,CM_BossWhisperingCore.PlatformAoEDamage.Debuff.Spread,AbilityConstants
CRIntellectDamageCalculation,11,0,0,magnitude,1.0,,CM_BossWhisperingCore.PulsingAoEDamage.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,12,0,0,magnitude,1.0,,CM_ChargedConstruct.ChainLightning.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,12,1,0,magnitude,1.0,,CM_ChargedConstruct.ChainLightning.Spread,AbilityConstants
CRIntellectDamageCalculation,13,0,0,magnitude,1.0,,CM_CrystalConstructCharged.RotatingBeam.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,13,1,0,magnitude,1.0,,CM_CrystalConstructCharged.RotatingBeam.Spread,AbilityConstants
CRIntellectDamageCalculation,14,0,0,magnitude,1.0,,CM_ElfWarden.CastSingleBlast.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,14,1,0,magnitude,1.0,,CM_ElfWarden.CastSingleBlast.Spread,AbilityConstants
CRIntellectDamageCalculation,15,0,0,magnitude,1.0,,CM_ElfWarden.Fear.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,16,0,0,magnitude,1.0,,CM_ElfWarden.BurstingBarrier.BurstDamage.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,17,0,0,magnitude,1.0,,CM_ElfWarden.DrainMana.IntCoefficientPerTick,AbilityConstants
CRIntellectDamageCalculation,18,0,0,magnitude,1.0,,CM_RubiliteAurastone.ChasingLaser.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,18,1,0,magnitude,1.0,,CM_RubiliteAurastone.ChasingLaser.Spread,AbilityConstants
CRIntellectDamageCalculation,19,0,0,magnitude,1.0,,CM_RubiliteAurastone.LockOnLaser.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,19,1,0,magnitude,1.0,,CM_RubiliteAurastone.LockOnLaser.Spread,AbilityConstants
CRIntellectDamageCalculation,20,0,0,magnitude,1.0,,CM_RubiliteFocus.Laser.Spread,AbilityConstants
CRIntellectDamageCalculation,20,1,0,magnitude,1.0,,CM_RubiliteFocus.Laser.IntellectCoefficient,AbilityConstants
CRIntellectDamageCalculation,21,0,0,magnitude,1.0,,MF_FoulTotemic.SummonTraps.Dot.StrengthCoefficient,AbilityConstants
CRIntellectDamageCalculation,22,0,0,magnitude,1.0,,CM_VolatileConstruct.CastProjectile.IntCoefficient,AbilityConstants
CRIntellectDamageCalculation,22,1,0,magnitude,1.0,,CM_VolatileConstruct.CastProjectile.Spread,AbilityConstants
CRIntellectDamageCalculation,23,0,0,magnitude,1.0,,FK_BossRangerCaptain.IceTrap.DamageIntellectCoefficient,AbilityConstants
