id,mechanics_effects_ordinal,ordinal,value
GA_Bowguy_InstantSingleInterrupt_C,0,0,CooldownEffectBaseClass
GA_Bowguy_InstantSingleInterrupt_C,1,0,PaddingCooldownEffectBaseClass
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,0,AoeDamageEffectRef
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,1,0,DamageEffectRef
GA_Bowguy_ProcHasteBuff_C,0,0,Buff Effect
GA_Bowguy_ProcHasteBuff_C,1,0,CooldownEffectBaseClass
GA_Bowguy_ProcHasteBuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Bowguy_RangedAutoAttack_C,0,0,HitEffectRef
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,0,BuffEffectRef
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,1,0,PaddingCooldownEffectBaseClass
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,2,0,Slow Effect
GA_Bowguy_SelfBuffForAoeProjectile_C,0,0,Buff Effect
GA_Bowguy_SelfBuffForAoeProjectile_C,1,0,CooldownEffectBaseClass
GA_Bowguy_SelfBuffForAoeProjectile_C,2,0,PaddingCooldownEffectBaseClass
GA_Bowguy_SelfDefenceBuff_C,0,0,BuffEffectRef
GA_Bowguy_SelfDefenceBuff_C,1,0,CooldownEffectBaseClass
GA_Bowguy_SelfDefenceBuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Bowguy_SingleProjectileDamage_C,0,0,DamageEffectRef
GA_Bowguy_SingleProjectileDamage_C,1,0,InstantMarkDebuffRef
GA_Bowguy_SingleProjectileDamage_C,2,0,PaddingCooldownEffectBaseClass
GA_Bowguy_TargetedAoeDamage_C,0,0,CooldownEffectBaseClass
GA_Bowguy_TargetedAoeDamage_C,1,0,Damage Effect
GA_Bowguy_TargetedAoeDamage_C,2,0,PaddingCooldownEffectBaseClass
GA_Bowguy_TargetedAoePull_C,0,0,ChargeGameplayEffectClass
GA_Bowguy_TargetedAoePull_C,1,0,CooldownEffectBaseClass
GA_Bowguy_TargetedAoePull_C,2,0,PaddingCooldownEffectBaseClass
GA_Bowguy_TargetedAoePull_C,3,0,Slow Effect
GA_Firemage_CastedDotBoostProjectile,0,0,EffectRef
GA_Firemage_CastedDotBoostProjectile,1,0,Talent InstantCastedSingleDot Proc Effect
GA_Firemage_CastedDotBoostProjectile,2,0,TalentCastedDotBoostProjectileBonusBuffEffectRef
GA_Firemage_CastedDotDetonate,0,0,DetonationEffectRef
GA_Firemage_CastedPlacedAoe,0,0,AoeImpactEffectRef
GA_Firemage_CastedPlacedAoe,1,0,ChargeGameplayEffectClass
GA_Firemage_CastedPlacedAoe,2,0,CooldownEffectBaseClass
GA_Firemage_CastedPlacedAoe,3,0,TalentStunAndCooldownReductionEffectRef
GA_Firemage_CastedSingleHeavyDot_C,0,0,ChargeGameplayEffectClass
GA_Firemage_CastedSingleHeavyDot_C,1,0,CooldownEffectBaseClass
GA_Firemage_CastedSingleHeavyDot_C,2,0,DotEffectRef
GA_Firemage_CastedSingleHeavyDot_C,3,0,TalentInstantProcExtraEffectRef
GA_Firemage_CastedSingleHeavyDot_C,4,0,TalentInstantProcExtraWithTalentEffectRef
GA_Firemage_CastedSingleHeavyDot_C,5,0,TalentInstantProcMainTargetBonusDirectDamageEffectRef
GA_Firemage_ChanneledForwardAoeDamage,0,0,Damage Effect
GA_Firemage_ChanneledForwardAoeDamage,1,0,DotEffectRef
GA_Firemage_DashForward,0,0,ChargeGameplayEffectClass
GA_Firemage_DashForward,1,0,PaddingCooldownEffectBaseClass
GA_Firemage_Firefrogs,0,0,CooldownEffectBaseClass
GA_Firemage_Firefrogs,1,0,DamageEffectRef
GA_Firemage_InstantDotSpread,0,0,CooldownEffectBaseClass
GA_Firemage_InstantDotSpread,1,0,DotBonusEffectRef
GA_Firemage_InstantDotSpread,2,0,PaddingCooldownEffectBaseClass
GA_Firemage_InstantMultiTargetDot_C,0,0,CooldownEffectBaseClass
GA_Firemage_InstantMultiTargetDot_C,1,0,Dot Effect
GA_Firemage_InstantMultiTargetDot_C,2,0,PaddingCooldownEffectBaseClass
GA_Firemage_InstantSingleDisorient,0,0,CooldownEffectBaseClass
GA_Firemage_InstantSingleDisorient,1,0,DamageEffectRef
GA_Firemage_InstantSingleDisorient,2,0,DisorientEffectRef
GA_Firemage_InstantSingleDisorient,3,0,PaddingCooldownEffectBaseClass
GA_Firemage_InstantSingleInterrupt,0,0,CooldownEffectBaseClass
GA_Firemage_Passive_FrogDamageMonitor,0,0,DamageEffectRef
GA_Firemage_Passive_FrogDamageMonitor,1,0,DotEffectRef
GA_Firemage_Passive_PlacedProjectileAoeDamageMonitor_Dot,0,0,DamageEffectRef
GA_Firemage_Passive_PlacedProjectileAoeDamageMonitor_Dot,1,0,DotEffectRef
GA_Firemage_PlacedProjectileAoe,0,0,AoeImpactDotEffectRef
GA_Firemage_PlacedProjectileAoe,1,0,AoeImpactEffectRef
GA_Firemage_PlacedProjectileAoe,2,0,CooldownEffectBaseClass
GA_Firemage_SelfDefenceBuff,0,0,BuffEffectRef
GA_Firemage_SelfDefenceBuff,1,0,CooldownEffectBaseClass
GA_Gunde_BasicSingleTargetAttack,0,0,HitEffectRef
GA_Gunde_DamageReductionSelfBuff,0,0,BuffEffectRef
GA_Gunde_DamageReductionSelfBuff,1,0,CooldownEffectBaseClass
GA_Gunde_DamageReductionSelfBuff,2,0,PaddingCooldownEffectBaseClass
GA_Gunde_DashAttack,0,0,ChargeGameplayEffectClass
GA_Gunde_DashAttack,1,0,Damage Effect
GA_Gunde_DashAttack,2,0,PaddingCooldownEffectBaseClass
GA_Gunde_DotTransfer,0,0,CooldownEffectBaseClass
GA_Gunde_DotTransfer,1,0,EffectRef
GA_Gunde_DotTransfer,2,0,PaddingCooldownEffectBaseClass
GA_Gunde_DotTransfer,3,0,Talent DotTransfer InstantAoeWithBuff DamageAndOrbs ProcEffect
GA_Gunde_DurationalAoeDotAndBuff,0,0,Damage Effect
GA_Gunde_DurationalAoeDotAndBuff,1,0,PaddingCooldownEffectBaseClass
GA_Gunde_DurationalAoeDotAndBuff,2,0,Self Buff Effect
GA_Gunde_ExtraDotDamageBuff,0,0,BuffEffectRef
GA_Gunde_ExtraDotDamageBuff,1,0,CooldownEffectBaseClass
GA_Gunde_ExtraDotDamageBuff,2,0,PaddingCooldownEffectBaseClass
GA_Gunde_HeavyMeleeDotBased,0,0,CooldownEffectBaseClass
GA_Gunde_HeavyMeleeDotBased,1,0,DotBonusDamageEffectRef
GA_Gunde_HeavyMeleeDotBased,2,0,EffectRef
GA_Gunde_HeavyMeleeDotBoost,0,0,CooldownEffectBaseClass
GA_Gunde_HeavyMeleeDotBoost,1,0,DebuffEffectRef
GA_Gunde_HeavyMeleeDotBoost,2,0,EffectRef
GA_Gunde_InstantAoeDot,0,0,CooldownEffectBaseClass
GA_Gunde_InstantAoeDot,1,0,EffectRef
GA_Gunde_InstantAoeWithBuff,0,0,CooldownEffectBaseClass
GA_Gunde_InstantAoeWithBuff,1,0,DamageEffectRef
GA_Gunde_InstantAoeWithBuff,2,0,InstantAoeWithBuff AdditionalStack SelfBuffEffect
GA_Gunde_InstantAoeWithBuff,3,0,SelfBuffEffectRef
GA_Gunde_InstantAoeWithBuff,4,0,Talent DotTransfer InstantAoeWithBuff DamageAndOrbs Buff
GA_Gunde_InstantWhirlwindAoe,0,0,CooldownEffectBaseClass
GA_Gunde_InstantWhirlwindAoe,1,0,DamageEffectRef
GA_Gunde_JumpToLocation,0,0,ChargeGameplayEffectClass
GA_Gunde_JumpToLocation,1,0,CooldownEffectBaseClass
GA_Gunde_JumpToLocation,2,0,PaddingCooldownEffectBaseClass
GA_Gunde_MeleeAutoAttack,0,0,EffectRef
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,0,0,DamageEffectRef
GA_Gunde_SingleTargetInterrupt,0,0,CooldownEffectBaseClass
GA_Gunde_SingleTargetInterrupt,1,0,PaddingCooldownEffectBaseClass
GA_Gunde_SingleTargetPull,0,0,CooldownEffectBaseClass
GA_Gunde_SingleTargetPull,1,0,DamageEffectRef
GA_Gunde_SingleTargetPull,2,0,PaddingCooldownEffectBaseClass
GA_Gunde_SingleTargetPull,3,0,PullEffectRef
GA_Gunde_Talent_DotTransfer_Aoe,0,0,CooldownEffectBaseClass
GA_Gunde_Talent_DotTransfer_Aoe,1,0,Effect Type
GA_Gunde_Talent_DotTransfer_Aoe,2,0,EffectRef
GA_Gunde_Talent_DotTransfer_Aoe,3,0,PaddingCooldownEffectBaseClass
GA_Gunde_TargetedAoeProjectile,0,0,CooldownEffectBaseClass
GA_Gunde_TargetedAoeProjectile,1,0,HitEffectRef
GA_Ink_AoeAttack_C,0,0,Active Effect
GA_Ink_AoeAttack_C,1,0,Damage Effect
GA_Ink_AoeAttack_C,2,0,Lightning Damage Effect
GA_Ink_AoeFear_C,0,0,CooldownEffectBaseClass
GA_Ink_AoeFear_C,1,0,Fear Effect
GA_Ink_AoeFear_C,2,0,PaddingCooldownEffectBaseClass
GA_Ink_AutoAttackBuff_Attack_C,0,0,Aoe Hit Effect
GA_Ink_AutoAttackBuff_Attack_C,1,0,HitEffectRef
GA_Ink_AutoAttackBuff_C,0,0,Buff Effect
GA_Ink_AutoAttackBuff_InstantAttack_C,0,0,Cleave Damage Effect
GA_Ink_AutoAttackBuff_InstantAttack_C,1,0,CooldownEffectBaseClass
GA_Ink_AutoAttackBuff_InstantAttack_C,2,0,HitEffectRef
GA_Ink_AutoAttackBuff_InstantAttack_C,3,0,Lightning Hit Effect
GA_Ink_AutoAttackBuff_InstantAttack_C,4,0,Talent StackingBuffConsumedBySpenderStacker Ref
GA_Ink_BouncyProjectile_C,0,0,CooldownEffectBaseClass
GA_Ink_BouncyProjectile_C,1,0,PaddingCooldownEffectBaseClass
GA_Ink_ChargedBuff_C,0,0,Buff Effect
GA_Ink_ChargedBuff_C,1,0,CooldownEffectBaseClass
GA_Ink_ChargedBuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Ink_CleaveAttack_C,0,0,HitEffectRef
GA_Ink_CleaveAttack_C,1,0,PaddingCooldownEffectBaseClass
GA_Ink_CostReductionBuff_C,0,0,Buff Effect
GA_Ink_CostReductionBuff_C,1,0,CooldownEffectBaseClass
GA_Ink_CostReductionBuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Ink_EnhancedChargedBuff,0,0,Damage Effect
GA_Ink_EnhancedChargedBuff,1,0,PaddingCooldownEffectBaseClass
GA_Ink_EnhancedChargedBuff,2,0,SelfBuffEffectRef
GA_Ink_HeavySingleTargetAttack_C,0,0,Damage Effect
GA_Ink_HeavySingleTargetAttack_C,1,0,Lightning Damage Effect
GA_Ink_HeavySingleTargetAttack_C,2,0,PaddingCooldownEffectBaseClass
GA_Ink_LowHealthSingleTargetResourceDamage_C,0,0,CooldownEffectBaseClass
GA_Ink_LowHealthSingleTargetResourceDamage_C,1,0,Damage Effect
GA_Ink_LowHealthSingleTargetResourceDamage_C,2,0,PaddingCooldownEffectBaseClass
GA_Ink_MeleeAutoAttack_C,0,0,HitEffectRef
GA_Ink_MeleeInterrupt_C,0,0,CooldownEffectBaseClass
GA_Ink_MeleeInterrupt_C,1,0,PaddingCooldownEffectBaseClass
GA_Ink_MoveToLocationAoeDamage_C,0,0,CooldownEffectBaseClass
GA_Ink_MoveToLocationAoeDamage_C,1,0,Damage Effect
GA_Ink_MoveToLocationAoeDamage_C,2,0,PaddingCooldownEffectBaseClass
GA_Ink_MoveToLocationAoeDamage_C,3,0,TalentTargetExtraInkDamageDebuffEffectRef
GA_Ink_SecondChanceSingleTargetAttack_C,0,0,CooldownEffectBaseClass
GA_Ink_SecondChanceSingleTargetAttack_C,1,0,Damage Effect
GA_Ink_SecondChanceSingleTargetAttack_C,2,0,PaddingCooldownEffectBaseClass
GA_Ink_SelfDefenceBuff_C,0,0,BuffEffectRef
GA_Ink_SelfDefenceBuff_C,1,0,CooldownEffectBaseClass
GA_Ink_SelfDefenceBuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Ink_SingleTargetHeavyNonSpender_C,0,0,CooldownEffectBaseClass
GA_Ink_SingleTargetHeavyNonSpender_C,1,0,Damage Effect
GA_Ink_SingleTargetHeavyNonSpender_C,2,0,PaddingCooldownEffectBaseClass
GA_Ink_Taunt_C,0,0,CooldownEffectBaseClass
GA_Ink_Taunt_C,1,0,DebuffEffectRef
GA_Ink_Taunt_C,2,0,PaddingCooldownEffectBaseClass
GA_Lisa_AoeStaggerRemovalSpender_C,0,0,Heal Effect
GA_Lisa_AoeStaggerRemovalSpender_C,1,0,PaddingCooldownEffectBaseClass
GA_Lisa_AoeStaggerRemovalSpender_C,2,0,Stagger Removal Effect
GA_Lisa_CastedHeal_C,0,0,EffectForShowingStacksAsCharges
GA_Lisa_CastedHeal_C,1,0,HealEffectRef
GA_Lisa_CastedHeal_C,2,0,PaddingCooldownEffectBaseClass
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,0,0,ChargeGameplayEffectClass
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,1,0,CooldownEffectBaseClass
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,2,0,DamageEffectRef
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,3,0,PaddingCooldownEffectBaseClass
GA_Lisa_CastedSingleTargetDamage_C,0,0,CooldownReduction ActiveEffectToCheck
GA_Lisa_CastedSingleTargetDamage_C,1,0,DamageEffectRef
GA_Lisa_CastedSingleTargetDamage_C,2,0,PaddingCooldownEffectBaseClass
GA_Lisa_ChanneledHealOrDamageProjectiles_C,0,0,CooldownEffectBaseClass
GA_Lisa_ChanneledHealOrDamageProjectiles_C,1,0,DamageEffectRef
GA_Lisa_ChanneledHealOrDamageProjectiles_C,2,0,Heal Effect Ref
GA_Lisa_ChanneledHealOrDamageProjectiles_C,3,0,PaddingCooldownEffectBaseClass
GA_Lisa_InstantDamageSpender_C,0,0,DamageEffectRef
GA_Lisa_InstantDamageSpender_C,1,0,PaddingCooldownEffectBaseClass
GA_Lisa_InstantSelfBuff_C,0,0,CooldownEffectBaseClass
GA_Lisa_InstantSelfBuff_C,1,0,Self Buff Effect
GA_Lisa_InstantSingleTargetDamageAndDot_C,0,0,Damage Effect
GA_Lisa_InstantSingleTargetDamageAndDot_C,1,0,PaddingCooldownEffectBaseClass
GA_Lisa_PauseResourcesAndPartyHealth_C,0,0,PaddingCooldownEffectBaseClass
GA_Lisa_PauseResourcesAndPartyHealth_C,1,0,Party Health Buff Effect
GA_Lisa_PauseResourcesAndPartyHealth_C,2,0,Self Buff
GA_Lisa_SingleAllyDispel_C,0,0,CooldownEffectBaseClass
GA_Lisa_SingleAllyDispel_C,1,0,Dispel Effect
GA_Lisa_SingleAllyDispel_C,2,0,PaddingCooldownEffectBaseClass
GA_Lisa_SingleTargetDamageImmunityBuff_C,0,0,Buff Effect
GA_Lisa_SingleTargetDamageImmunityBuff_C,1,0,CooldownEffectBaseClass
GA_Lisa_SingleTargetDamageImmunityBuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Lisa_SingleTargetDot_C,0,0,ChargeGameplayEffectClass
GA_Lisa_SingleTargetDot_C,1,0,CooldownEffectBaseClass
GA_Lisa_SingleTargetDot_C,2,0,Dot Effect
GA_Lisa_SingleTargetDot_C,3,0,PaddingCooldownEffectBaseClass
GA_Lisa_SingleTargetrRemovalSpender_C,0,0,Gameplay Effect Class
GA_Lisa_SingleTargetrRemovalSpender_C,1,0,Heal Effect
GA_Lisa_SingleTargetrRemovalSpender_C,2,0,PaddingCooldownEffectBaseClass
GA_Lisa_TargetedAoeSilence_C,0,0,CooldownEffectBaseClass
GA_Lisa_TargetedAoeSilence_C,1,0,Interrupt Effect
GA_Lisa_TargetedAoeSilence_C,2,0,Lockout Effect
GA_Lisa_TargetedAoeSilence_C,3,0,PaddingCooldownEffectBaseClass
GA_Lisa_TargetedAoeSilence_C,4,0,Silence Effect
GA_Lisa_TeleportForward_C,0,0,CooldownEffectBaseClass
GA_Lisa_TeleportForward_C,1,0,Move Speed Buff
GA_Lisa_TeleportForward_C,2,0,PaddingCooldownEffectBaseClass
GA_Mara_AoeAttackBuilder_C,0,0,DamageEffectRef
GA_Mara_AoeAttackBuilder_C,1,0,PaddingCooldownEffectBaseClass
GA_Mara_AoeAttackSpender_C,0,0,DamageEffectRef
GA_Mara_AoeAttackSpender_C,1,0,PaddingCooldownEffectBaseClass
GA_Mara_AutoAttack_C,0,0,HitEffectRef
GA_Mara_AutoAttack_C,1,0,ProcHitEffectRef
GA_Mara_BleedAttackSpender_C,0,0,Damage Bleed Effect
GA_Mara_BleedAttackSpender_C,1,0,Damage Effect
GA_Mara_BleedAttackSpender_C,2,0,PaddingCooldownEffectBaseClass
GA_Mara_ChargedDoubleAttackBuilder_C,0,0,AoeDamage PoisonDamageEffect
GA_Mara_ChargedDoubleAttackBuilder_C,1,0,CooldownEffectBaseClass
GA_Mara_ChargedDoubleAttackBuilder_C,2,0,DamageEffectFirst
GA_Mara_ChargedDoubleAttackBuilder_C,3,0,DamageEffectSecond
GA_Mara_ChargedDoubleAttackBuilder_C,4,0,PaddingCooldownEffectBaseClass
GA_Mara_ChargedResourceRefillSelfBuff_C,0,0,Buff Effect
GA_Mara_ChargedResourceRefillSelfBuff_C,1,0,ChargedResourceRefillSelfBuff Increased Damage Effect
GA_Mara_ChargedResourceRefillSelfBuff_C,2,0,CooldownEffectBaseClass
GA_Mara_ChargedResourceRefillSelfBuff_C,3,0,PaddingCooldownEffectBaseClass
GA_Mara_ChargedTeleportBehindTarget_C,0,0,ChargeGameplayEffectClass
GA_Mara_ChargedTeleportBehindTarget_C,1,0,Gameplay Effect Class
GA_Mara_ChargedTeleportBehindTarget_C,2,0,PaddingCooldownEffectBaseClass
GA_Mara_CopyCharacterDamage_C,0,0,BuffEffectRef
GA_Mara_CopyCharacterDamage_C,1,0,PaddingCooldownEffectBaseClass
GA_Mara_HeavyAttackSpender_C,0,0,DamageEffectRef
GA_Mara_HeavyAttackSpender_C,1,0,PaddingCooldownEffectBaseClass
GA_Mara_MeleeInterrupt_C,0,0,CooldownEffectBaseClass
GA_Mara_MeleeInterrupt_C,1,0,PaddingCooldownEffectBaseClass
GA_Mara_ResetCooldownRefillResouces_C,0,0,CooldownEffectBaseClass
GA_Mara_ResetCooldownRefillResouces_C,1,0,PaddingCooldownEffectBaseClass
GA_Mara_SelfDefenceBuff_C,0,0,BuffEffectRef
GA_Mara_SelfDefenceBuff_C,1,0,CooldownEffectBaseClass
GA_Mara_SelfDefenceBuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Mara_Stealth_C,0,0,CooldownEffectBaseClass
GA_Mara_Stealth_C,1,0,PaddingCooldownEffectBaseClass
GA_Mara_Stealth_C,2,0,Stealth Effect
GA_Mara_StrongerBehindAttackBuilder_C,0,0,Damage Effect Strong
GA_Mara_StrongerBehindAttackBuilder_C,1,0,Damage Effect Weak
GA_Mara_StrongerBehindAttackBuilder_C,2,0,PaddingCooldownEffectBaseClass
GA_Mara_StunSpender_C,0,0,CooldownEffectBaseClass
GA_Mara_StunSpender_C,1,0,PaddingCooldownEffectBaseClass
GA_Mara_StunSpender_C,2,0,Stun Effect
GA_Mara_Talent_ResetCooldownRefillResources_AbilityReplacer_C,0,0,BuffEffectRef
GA_Mara_Talent_ResetCooldownRefillResources_AbilityReplacer_C,1,0,CooldownEffectBaseClass
GA_Mara_Talent_ResetCooldownRefillResources_AbilityReplacer_C,2,0,PaddingCooldownEffectBaseClass
GA_Meiko_AoePull_C,0,0,CooldownEffectBaseClass
GA_Meiko_AoePull_C,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_AoePull_C,2,0,Pull Activator Effect
GA_Meiko_ChanneledHeavyDamage_C,0,0,DamageEffectRef
GA_Meiko_ChanneledHeavyDamage_C,1,0,Final Damage Effect Ref
GA_Meiko_ChanneledHeavyDamage_C,2,0,Resource Increase Buff Effect
GA_Meiko_ChanneledHeavyDamage_C,3,0,Rock Effect Class
GA_Meiko_ChargedForwardDash_C,0,0,ChargeGameplayEffectClass
GA_Meiko_ChargedForwardDash_C,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_DamageSoakBuff_C,0,0,Active Effect
GA_Meiko_DamageSoakBuff_C,1,0,Buff Effect
GA_Meiko_DamageSoakBuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Meiko_DurationalAoeDamageBuff_C,0,0,DamageEffectRef
GA_Meiko_DurationalAoeDamageBuff_C,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_DurationalMultipleTeleportDamage_New,0,0,PaddingCooldownEffectBaseClass
GA_Meiko_DurationalMultipleTeleportDamage_New,1,0,SelfBuffEffectRef
GA_Meiko_FrontalAoeDebuff_C,0,0,CooldownEffectBaseClass
GA_Meiko_FrontalAoeDebuff_C,1,0,Damage Effect
GA_Meiko_FrontalAoeDebuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Meiko_FrontalAoeDebuff_C,3,0,Stun Effect
GA_Meiko_HighDamageCleave_C,0,0,DamageEffectRef
GA_Meiko_HighDamageCleave_C,1,0,InstantSelfDefensive Effect
GA_Meiko_HighDamageCleave_C,2,0,PaddingCooldownEffectBaseClass
GA_Meiko_HighDamageCleave_C,3,0,Wind Effect Class
GA_Meiko_InstantSelfDefensive_C,0,0, Stone Invinsibility Buff Effect
GA_Meiko_InstantSelfDefensive_C,1,0,BuffEffectRef
GA_Meiko_InstantSelfDefensive_C,2,0,CooldownEffectBaseClass
GA_Meiko_InstantSelfDefensive_C,3,0,DamageReductionEffect
GA_Meiko_InstantSelfDefensive_C,4,0,EffectForShowingStacksAsCharges
GA_Meiko_InstantSelfDefensive_C,5,0,PaddingCooldownEffectBaseClass
GA_Meiko_MeleeAutoAttack_C,0,0,HitEffectRef
GA_Meiko_MeleeDamageImmediateSelfBuff_C,0,0,DamageEffectRef
GA_Meiko_MeleeDamageImmediateSelfBuff_C,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_MeleeDamageImmediateSelfBuff_C,2,0,Self Buff Effect
GA_Meiko_MeleeDamageLowHealthSelfBuff_C,0,0,DamageEffectRef
GA_Meiko_MeleeDamageLowHealthSelfBuff_C,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_MeleeDamageLowHealthSelfBuff_C,2,0,Self Buff Effect
GA_Meiko_MeleeDamageSelfBuff_C,0,0,DamageEffectRef
GA_Meiko_MeleeDamageSelfBuff_C,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_MeleeDamageSelfBuff_C,2,0,Self Buff Effect
GA_Meiko_MeleeDown_C,0,0,DamageEffectRef
GA_Meiko_MeleeDown_C,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_MeleeInterrupt,0,0,CooldownEffectBaseClass
GA_Meiko_MeleeInterrupt,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_MeleeLeft_C,0,0,DamageEffectRef
GA_Meiko_MeleeLeft_C,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_MeleeRight_C,0,0,DamageEffectRef
GA_Meiko_MeleeRight_C,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_MoveToLocationAoeDamage_C,0,0,CooldownEffectBaseClass
GA_Meiko_MoveToLocationAoeDamage_C,1,0,Damage Effect
GA_Meiko_MoveToLocationAoeDamage_C,2,0,Dot Effect
GA_Meiko_MoveToLocationAoeDamage_C,3,0,PaddingCooldownEffectBaseClass
GA_Meiko_Passive_DamageSoakBuff_Monitor_C,0,0,Active Effect
GA_Meiko_Passive_DamageSoakBuff_Monitor_C,1,0,Buff Effect
GA_Meiko_Passive_DamageSoakBuff_Monitor_C,2,0,Damage Effect
GA_Meiko_Passive_DamageSoakBuff_Monitor_C,3,0,Incoming Damage Multiplier Effect
GA_Meiko_Passive_Talent_MeleeDamageImmediateSelfBuff_DamageBuilder_C,0,0,Effect To Apply
GA_Meiko_RangedTaunt_C,0,0,CooldownEffectBaseClass
GA_Meiko_RangedTaunt_C,1,0,DebuffEffectRef
GA_Meiko_RangedTaunt_C,2,0,PaddingCooldownEffectBaseClass
GA_Meiko_TauntTotem,0,0,CooldownEffectBaseClass
GA_Meiko_TauntTotem,1,0,PaddingCooldownEffectBaseClass
GA_Meiko_TauntTotem,2,0,SelfBuffEffectRef
GA_Mosse_BlueButterfly_Recall,0,0,PaddingCooldownEffectBaseClass
GA_Mosse_BlueButterfly_Recall,1,0,SelfBuffRef
GA_Mosse_BlueButterfly_SendOut,0,0,PaddingCooldownEffectBaseClass
GA_Mosse_BlueButterfly_SendOut,1,0,TargetBuffRef
GA_Mosse_CastedSingleTargetProjectile_C,0,0,DamageEffectRef
GA_Mosse_CastedSingleTargetProjectile_C,1,0,PaddingCooldownEffectBaseClass
GA_Mosse_DurationalAoeHealPlacement_C,0,0,CooldownEffectBaseClass
GA_Mosse_DurationalAoeHealPlacement_C,1,0,Heal Effect
GA_Mosse_DurationalAoeHealPlacement_C,2,0,PaddingCooldownEffectBaseClass
GA_Mosse_DurationalAoeHealPlacement_C,3,0,Visual Effect
GA_Mosse_ExplosiveMinion_C,0,0,EffectForShowingStacksAsCharges
GA_Mosse_ExplosiveMinion_C,1,0,PaddingCooldownEffectBaseClass
GA_Mosse_HealingAoeTotem,0,0,CooldownEffectBaseClass
GA_Mosse_HealingAoeTotem,1,0,PaddingCooldownEffectBaseClass
GA_Mosse_InstantSelfEscapeBuff,0,0,BuffEffectRef
GA_Mosse_InstantSelfEscapeBuff,1,0,CooldownEffectBaseClass
