id,effects_ordinal,asset,duration_policy,activation
GA_Bowguy_SingleProjectileDamage_C,0,GE_Bowguy_InstantMarkTarget_Debuff,HasDuration,unresolved
GA_Bowguy_SingleProjectileDamage_C,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Bowguy_SingleProjectileDamage_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_SingleProjectileDamage_C,3,GE_Bowguy_SingleProjectileDamage_Cost,,unresolved
GA_Bowguy_SingleProjectileDamage_C,4,GE_Bowguy_SingleProjectileDamage_Cost,,unresolved
GA_Bowguy_TargetedAoeDamage_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Bowguy_TargetedAoeDamage_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Bowguy_TargetedAoeDamage_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_TargetedAoeDamage_C,3,GE_Bowguy_TargetedAoeDamage_Cost,,unresolved
GA_Bowguy_TargetedAoeDamage_C,4,GE_Bowguy_TargetedAoeDamage_Cost,,unresolved
GA_Bowguy_TargetedAoePull_C,0,GE_Bowguy_TargetedAoePull_Slow,HasDuration,unresolved
GA_Bowguy_TargetedAoePull_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Bowguy_TargetedAoePull_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_TargetedAoePull_C,3,GE_Bowguy_TargetedAoePull_Pull,HasDuration,unresolved
GA_Bowguy_TargetedAoePull_C,4,GE_Bowguy_TargetedAoePull_Slow,HasDuration,unresolved
GA_Firemage_CastedDotBoostProjectile,0,GE_Firemage_InstantDoubleDot_Buff,HasDuration,unresolved
GA_Firemage_CastedDotBoostProjectile,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Firemage_CastedDotDetonate,0,GE_Firemage_CastedDotDetonate_CustomGlobalCooldown,HasDuration,unresolved
GA_Firemage_CastedDotDetonate,1,GE_Firemage_CastedDotDetonate_CustomGlobalCooldown,HasDuration,unresolved
GA_Firemage_CastedPlacedAoe,0,GE_Firemage_Talent_CastedPlacedAoe_StunAndCooldownReduction_Stun,HasDuration,unresolved
GA_Firemage_CastedPlacedAoe,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Firemage_CastedPlacedAoe,2,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Firemage_CastedSingleDot2_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Firemage_CastedSingleHeavyDot_C,0,GE_Firemage_CastedSingleHeavyDot_Dot,HasDuration,unresolved
GA_Firemage_CastedSingleHeavyDot_C,1,GE_Firemage_InstantSingleTargetDot_Dot,HasDuration,unresolved
GA_Firemage_CastedSingleHeavyDot_C,2,GE_Firemage_InstantSingleTargetDot_Dot_StackingBoostTalent,,unresolved
GA_Firemage_CastedSingleHeavyDot_C,3,GE_GlobalCooldown,HasDuration,unresolved
GA_Firemage_CastedSingleHeavyDot_C,4,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Firemage_CastedSingleHeavyDot_C,5,GE_Firemage_CastedSingleHeavyDot_Dot,HasDuration,unresolved
GA_Firemage_ChanneledForwardAoeDamage,0,GE_Firemage_ChanneledForwardAoeDamage_Dot,HasDuration,unresolved
GA_Firemage_ChanneledForwardAoeDamage,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Firemage_ChanneledForwardAoeDamage,2,GE_Firemage_ChanneledForwardAoeDamage_Cost,,unresolved
GA_Firemage_ChanneledForwardAoeDamage,3,GE_Firemage_ChanneledForwardAoeDamage_Cost,,unresolved
GA_Firemage_ChanneledForwardAoeDamage,4,GE_Firemage_ChanneledForwardAoeDamage_Dot,HasDuration,unresolved
GA_Firemage_DashForward,0,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Firemage_Firefrogs,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Firemage_Firefrogs,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Firemage_Firefrogs,2,GE_Firemage_FireFrog_Dot,HasDuration,unresolved
GA_Firemage_InstantDotSpread,0,GE_Firemage_InstantDotSpread_DotBonusBuff,HasDuration,unresolved
GA_Firemage_InstantDotSpread,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Firemage_InstantDotSpread,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Firemage_InstantDotSpread,3,GE_Firemage_InstantDotSpread_DotBonusBuff,HasDuration,unresolved
GA_Firemage_InstantMultiTargetDot_C,0,GE_Firemage_CastedSingleHeavyDot_Dot,HasDuration,unresolved
GA_Firemage_InstantMultiTargetDot_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Firemage_InstantMultiTargetDot_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Firemage_InstantSingleDisorient,0,GE_Firemage_InstantSingleDisorient_Debuff,HasDuration,unresolved
GA_Firemage_InstantSingleDisorient,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Firemage_InstantSingleDisorient,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Firemage_InstantSingleDisorient,3,GE_Firemage_InstantSingleDisorient_Debuff,HasDuration,unresolved
GA_Firemage_InstantSingleInterrupt,0,GE_Shared_Cooldown_Static,HasDuration,unresolved
GA_Firemage_InstantSingleInterrupt,1,GE_Firemage_InstantSingleInterrupt_Lockout,,unresolved
GA_Firemage_Passive_FrogDamageMonitor,0,GE_Firemage_FireFrog_Dot,HasDuration,unresolved
GA_Firemage_Passive_PlacedProjectileAoeDamageMonitor_Dot,0,GE_Firemage_PlacedProjectileAoe_DirectDamageBased_Dot,HasDuration,unresolved
GA_Firemage_PlacedProjectileAoe,0,GE_Firemage_PlacedProjectileAoe_DirectDamageBased_Dot,HasDuration,unresolved
GA_Firemage_PlacedProjectileAoe,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Firemage_PlacedProjectileAoe,2,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Firemage_PlacedProjectileAoe,3,GE_Firemage_PlacedProjectileAoe_DirectDamageBased_Dot,HasDuration,unresolved
GA_Firemage_SelfDefenceBuff,0,GE_Firemage_SelfDefenceBuff_SelfBuff,HasDuration,unresolved
GA_Firemage_SelfDefenceBuff,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Firemage_SelfDefenceBuff,2,GE_Firemage_SelfDefenceBuff_SelfBuff,HasDuration,unresolved
GA_Gunde_BasicSingleTargetAttack,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Gunde_DamageReductionSelfBuff,0,GE_Gunde_DamageReductionSelfBuff_SelfBuff,HasDuration,unresolved
GA_Gunde_DamageReductionSelfBuff,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Gunde_DamageReductionSelfBuff,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Gunde_DamageReductionSelfBuff,3,GE_Gunde_DamageReductionSelfBuff_SelfBuff,HasDuration,unresolved
GA_Gunde_DashAttack,0,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Gunde_DotTransfer,0,GE_Gunde_DotTransfer_SelfBuff,HasDuration,unresolved
GA_Gunde_DotTransfer,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Gunde_DotTransfer,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Gunde_DotTransfer,3,GE_Gunde_DotTransfer_SelfBuff,HasDuration,unresolved
GA_Gunde_DurationalAoeDotAndBuff,0,GE_Gunde_DurationalAoeDotAndBuff_SelfBuff,HasDuration,unresolved
GA_Gunde_DurationalAoeDotAndBuff,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Gunde_DurationalAoeDotAndBuff,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Gunde_DurationalAoeDotAndBuff,3,GE_Shared_SpiritAbility_Cost,,unresolved
GA_Gunde_DurationalAoeDotAndBuff,4,GE_Gunde_DurationalAoeDotAndBuff_SelfBuff,HasDuration,unresolved
GA_Gunde_ExtraDotDamageBuff,0,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Gunde_ExtraDotDamageBuff,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Gunde_HeavyMeleeDotBased,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Gunde_HeavyMeleeDotBased,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Gunde_HeavyMeleeDotBoost,0,GE_Gunde_BoostedDotDamage_TargetDebuff,HasDuration,unresolved
GA_Gunde_HeavyMeleeDotBoost,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Gunde_HeavyMeleeDotBoost,2,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Gunde_InstantAoeDot,0,GE_Gunde_InstantAoeDot_Dot,HasDuration,unresolved
GA_Gunde_InstantAoeDot,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Gunde_InstantAoeDot,2,GE_Gunde_InstantAoeDot_Dot,HasDuration,unresolved
GA_Gunde_InstantAoeWithBuff,0,GE_Gunde_ExtraDotDamageGain_SelfBuff,HasDuration,unresolved
GA_Gunde_InstantAoeWithBuff,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Gunde_InstantAoeWithBuff,2,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Gunde_InstantWhirlwindAoe,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Gunde_InstantWhirlwindAoe,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Gunde_JumpToLocation,0,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Gunde_JumpToLocation,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,0,GE_Gunde_PerTargetAccumulatedBleed,HasDuration,unresolved
GA_Gunde_SingleTargetInterrupt,0,GE_Shared_Cooldown_Static,HasDuration,unresolved
GA_Gunde_SingleTargetInterrupt,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Gunde_SingleTargetPull,0,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Gunde_SingleTargetPull,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Gunde_Talent_DotTransfer_Aoe,0,GE_Gunde_DotTransfer_SelfBuff,HasDuration,unresolved
GA_Gunde_Talent_DotTransfer_Aoe,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Gunde_Talent_DotTransfer_Aoe,2,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Gunde_Talent_DotTransfer_Aoe,3,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Gunde_TargetedAoeProjectile,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Gunde_TargetedAoeProjectile,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Ink_AoeAttack_C,0,GE_Ink_AoeAttack_Activated,Infinite,unresolved
GA_Ink_AoeAttack_C,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Ink_AoeAttack_C,2,GE_Ink_AoeAttack_Cost,,unresolved
GA_Ink_AoeAttack_C,3,GE_Ink_AoeAttack_Activated,Infinite,unresolved
GA_Ink_AoeAttack_C,4,GE_Ink_AoeAttack_Cost,,unresolved
GA_Ink_AoeFear_C,0,GE_Ink_AoeFear_Fear,HasDuration,unresolved
GA_Ink_AoeFear_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Ink_AoeFear_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_AoeFear_C,3,GE_Ink_AoeFear_Fear,HasDuration,unresolved
GA_Ink_AutoAttackBuff_InstantAttack_C,0,GE_Ink_Talent_AutoAttackBuff_StackingBuffConsumedBySpender_Stacker,HasDuration,unresolved
GA_Ink_AutoAttackBuff_InstantAttack_C,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Ink_AutoAttackBuff_InstantAttack_C,2,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Ink_BouncyProjectile_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Ink_BouncyProjectile_C,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Ink_BouncyProjectile_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_ChargedBuff_C,0,GE_Ink_ChargedBuff_Buff,HasDuration,unresolved
GA_Ink_ChargedBuff_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Ink_ChargedBuff_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_ChargedBuff_C,3,GE_Ink_ChargedBuff_Buff,HasDuration,unresolved
GA_Ink_CleaveAttack_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Ink_CleaveAttack_C,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_CleaveAttack_C,2,GE_Ink_CleaveAttack_Cost,,unresolved
GA_Ink_CleaveAttack_C,3,GE_Ink_CleaveAttack_Cost,,unresolved
GA_Ink_CostReductionBuff_C,0,GE_Ink_CostReductionBuff_SelfBuff,HasDuration,unresolved
GA_Ink_CostReductionBuff_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Ink_CostReductionBuff_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_CostReductionBuff_C,3,GE_Ink_CostReductionBuff_SelfBuff,HasDuration,unresolved
GA_Ink_EnhancedChargedBuff,0,GE_Ink_EnhancedChargedBuff_PulsatingSingleDamage_SelfBuff,HasDuration,unresolved
GA_Ink_EnhancedChargedBuff,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_EnhancedChargedBuff,2,GE_Ink_EnhancedChargedBuff_Cost,,unresolved
GA_Ink_EnhancedChargedBuff,3,GE_Ink_EnhancedChargedBuff_Cost,,unresolved
GA_Ink_EnhancedChargedBuff,4,GE_Ink_EnhancedChargedBuff_PulsatingSingleDamage_SelfBuff,HasDuration,unresolved
GA_Ink_HeavySingleTargetAttack_C,0,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_HeavySingleTargetAttack_C,1,GE_Ink_HeavySingleTargetAttack_Cost,,unresolved
GA_Ink_HeavySingleTargetAttack_C,2,GE_Ink_HeavySingleTargetAttack_Cost,,unresolved
GA_Ink_LowHealthSingleTargetResourceDamage_C,0,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Ink_LowHealthSingleTargetResourceDamage_C,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_MeleeInterrupt_C,0,GE_Shared_Cooldown_Static,HasDuration,unresolved
GA_Ink_MeleeInterrupt_C,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_MeleeInterrupt_C,2,GE_Ink_MeleeInterrupt_Lockout,,unresolved
GA_Ink_MoveToLocationAoeDamage_C,0,GE_Ink_Talent_MoveToLocationAoeDamage_TargetExtraInkDamage_Debuff,HasDuration,unresolved
GA_Ink_MoveToLocationAoeDamage_C,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Ink_MoveToLocationAoeDamage_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_SecondChanceSingleTargetAttack_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Ink_SecondChanceSingleTargetAttack_C,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Ink_SecondChanceSingleTargetAttack_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_SecondChanceSingleTargetAttack_C,3,GE_Ink_SecondChanceSingleTargetAttack_Cost,,unresolved
GA_Ink_SecondChanceSingleTargetAttack_C,4,GE_Ink_SecondChanceSingleTargetAttack_Cost,,unresolved
GA_Ink_SecondChanceSingleTargetAttack_C,5,GE_Ink_SecondChanceSingleTargetDamage_Proc,Infinite,unresolved
GA_Ink_SelfDefenceBuff_C,0,GE_Ink_SelfDefenceBuff_SelfBuff_First,HasDuration,unresolved
GA_Ink_SelfDefenceBuff_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Ink_SelfDefenceBuff_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_SelfDefenceBuff_C,3,GE_Ink_SelfDefenceBuff_SelfBuff_First,HasDuration,unresolved
GA_Ink_SingleTargetHeavyNonSpender_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Ink_SingleTargetHeavyNonSpender_C,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Ink_SingleTargetHeavyNonSpender_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_SingleTargetHeavyNonSpender_C,3,GE_Ink_SecondChanceSingleTargetAttack_Cost,,unresolved
GA_Ink_Taunt_C,0,GE_Ink_Talent_SelfDefenceBuff_IncreasedDurationAndTaunt_Taunt_Debuff,HasDuration,unresolved
GA_Ink_Taunt_C,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Ink_Taunt_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Ink_Taunt_C,3,GE_Ink_Talent_SelfDefenceBuff_IncreasedDurationAndTaunt_Taunt_Debuff,HasDuration,unresolved
GA_Lisa_AoeStaggerRemovalSpender_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Lisa_AoeStaggerRemovalSpender_C,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Lisa_AoeStaggerRemovalSpender_C,2,GE_Lisa_AoeStaggerRemovalSpender_Cost,,unresolved
GA_Lisa_AoeStaggerRemovalSpender_C,3,GE_Lisa_AoeStaggerRemovalSpender_Cost,,unresolved
GA_Lisa_CastedHeal_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Lisa_CastedHeal_C,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Lisa_CastedHeal_C,2,GE_Lisa_Talent_CastedSingleTargetProjectile_CastedHealFromPreviousDamageProc_Proc,,unresolved
GA_Lisa_CastedHeal_C,3,GE_Lisa_CastedHeal_Cost,,unresolved
GA_Lisa_CastedHeal_C,4,GE_Lisa_CastedHeal_Cost,,unresolved
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,3,GE_Lisa_CastedProjectileDamageIncreaseDebuff_Cost,,unresolved
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,4,GE_Lisa_CastedProjectileDamageIncreaseDebuff_Cost,,unresolved
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,5,GE_Lisa_CastedProjectileDamageIncreaseDebuff_Debuff,HasDuration,unresolved
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,6,GE_Lisa_CastedProjectileDamageIncreaseDebuff_Debuff_OwnerEffect,,unresolved
GA_Lisa_CastedSingleTargetDamage_C,0,GE_Lisa_InstantSingleTargetDamageAndDot_Dot,HasDuration,unresolved
GA_Lisa_CastedSingleTargetDamage_C,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Lisa_CastedSingleTargetDamage_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Lisa_CastedSingleTargetDamage_C,3,GE_Lisa_CastedSingleTargetProjectile_Cost,,unresolved
GA_Lisa_CastedSingleTargetDamage_C,4,GE_Lisa_CastedSingleTargetProjectile_Cost,,unresolved
GA_Lisa_ChanneledHealOrDamageProjectiles_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Lisa_ChanneledHealOrDamageProjectiles_C,1,GE_Shared_Cooldown_HasteScale,HasDuration,unresolved
GA_Lisa_ChanneledHealOrDamageProjectiles_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Lisa_ChanneledHealOrDamageProjectiles_C,3,GE_Lisa_ChanneledHealOrDamageProjectiles_Cost,,unresolved
GA_Lisa_ChanneledHealOrDamageProjectiles_C,4,GE_Lisa_ChanneledHealOrDamageProjectiles_Cost,,unresolved
GA_Lisa_InstantDamageSpender_C,0,GE_GlobalCooldown,HasDuration,unresolved
