id,hero,numeric_id,name,description,tier_row,unlock_level,point_cost,icon_id,icon_kind,icon_width,icon_height,provenance_origin,provenance_dev_name,provenance_source
Talent.ID.Talent98,Bowguy,24,Spirited Advance (old),Your <bold>Movement Speed</> is increased by 20%,3,0,2,Barbarian8,TalentIcon,256,256,datamine,,
Talent.ID.Talent99,Bowguy,25,Lingering Heartseeker (old),"Your <bold>Heartseeker Barrage</> damage applies <bold>Lingering Heartseeker</> to enemies for 12 seconds, causing them to take 40% increased damage from your <bold>Celestial Shot</> and <bold>Multishot</>.",1,0,2,T_Nhance_RPG_Gold_43,TalentIcon,256,256,datamine,,
Talent.ID.Talent1,Firemage,1,Pyrophibian Frenzy,"Each time the <rt.effect>Damage Over Time</> effects from your <rt.absorb>Hero Abilities</> deal damage, you have a <rt.bold>2.5% chance</> to spawn a <rt.absorb>Fire Frog</> to leap toward your enemies.

Critical Strikes have a <rt.bold>5% chance</>.",5,0,3,Firemage_Firefrog,TalentIcon,256,256,datamine,,
Talent.ID.Talent10,Firemage,10,Backdraft,Each time you cast <rt.absorb>Detonate</> the duration of any of your active <rt.absorb>Searing Blaze</> effects is extended by <rt.bold>1.5 seconds</> up to maximum duration.,2,0,1,Firemage_Dot_02,TalentIcon,512,512,datamine,,
Talent.ID.Talent11,Firemage,11,Firestarter,"All <bold>damage over time</> effects applied to enemies by your abilities gain <rt.warning>+20% critical strike chance</>.

<rt.absorb>Fire Frogs</> and <rt.absorb>Fire Ball</> also gain a <rt.bold>20% chance</> to critically strike with their damage over time effects.",3,0,2,Pyromancer20,TalentIcon,256,256,datamine,,
Talent.ID.Talent12,Firemage,12,Undying Flame,The duration of your <rt.absorb>Engulfing Flames</> is increased by <rt.bold>3 seconds</>.,3,0,2,Pyromancer5,TalentIcon,256,256,datamine,,
Talent.ID.Talent13,Firemage,13,Crackling Inferno,Your <rt.absorb>Infernal Wave</> has <rt.warning>+20% increased critical strike chance</> and its critical strikes burn the target for <rt.warning>60% of the damage it dealt</> over 24 seconds.,4,0,1,Pyromancer15,TalentIcon,256,256,datamine,,
Talent.ID.Talent14,Firemage,14,Apocalyptic Surge,"Your <rt.absorb>Apocalypse</> has <rt.bold>1.5 seconds</> reduced cast time and grants you <rt.bold>2 stacks</> of <rt.effect>Apocalyptic Surge</> for 18 seconds, up to <rt.bold>4 stacks maximum</>.

Your next <rt.absorb>Detonate</> consumes 1 stack of <rt.effect>Apocalyptic Surge</> and is <rt.mana>Free</>.",2,0,1,Firemage_Apocalypse,TalentIcon,256,256,datamine,,
Talent.ID.Talent15,Firemage,15,Burning Initiative,<rt.absorb>Start each Dungeon</> with <rt.mana>50 Spirit Points</> and <rt.mana>2 Burning Embers</>.,6,0,1,Tex_SpellBook01_33,TalentIcon,256,256,datamine,,
Talent.ID.Talent16,Firemage,16,Great Balls of Fire,Your <rt.absorb>Fire Ball</> deals <rt.warning>50% more damage</> and an additional <rt.warning>10% of the damage dealt</> is added to its damage over time effect.,1,0,2,T_Nhance_RPG_Fire_36,TalentIcon,256,256,datamine,,
Talent.ID.Talent17,Firemage,17,Flare up,"Your <rt.absorb>Infernal Wave</> hits cause all enemies near the target with <rt.absorb>Searing Blaze</> active on them to flare up, taking <rt.warning>50% of the damage</> <rt.absorb>Infernal Wave</> dealt to the initial target.",2,0,1,T_Nhance_RPG_Icons_FireRune,TalentIcon,256,256,datamine,,
Talent.ID.Talent18,Firemage,18,Slow Burn,Your active <rt.absorb>Engulfing Flames</> and <rt.absorb>Searing Blaze</> durations are extended each time <rt.absorb>Fire Ball</> burns enemies up to a total of <rt.bold>3 seconds</> over its full duration.,1,0,2,T_Nhance_RPG_Fire_24,TalentIcon,256,256,datamine,,
Talent.ID.Talent2,Firemage,2,Reign of Fire,"Your <rt.absorb>Detonate</> casts have a chance to instantly grant you <rt.bold>1 charge</> of <rt.absorb>Fire Ball</> and cause your next <rt.absorb>Fire Ball</> to have <rt.warning>+200% critical strike chance</>. (1.5 PPM)

<rt.warning>GRIEVOUS CRITICAL STRIKE</>
Any critical strike chance you have beyond 100% causes a <rt.warning>grievous critical strike</>. <rt.warning>Grievous critical strikes</> increase the base damage of the hit by an amount equal to the overflowing critical strike chance.",5,0,3,Firemage_Inferno,TalentIcon,256,256,datamine,,
Talent.ID.Talent3,Firemage,3,Agonizing Blaze,"Each tick of <rt.absorb>Searing Blaze</> on a target <rt.warning>increases the damage it deals by 4%</> up to a maximum of <rt.warning>40% increased damage</> at <rt.bold>10 stacks</>.

All stacks are lost when <rt.absorb>Searing Blaze</> is removed from the target.",3,0,2,T_Nhance_RPG_Fire_30,TalentIcon,256,256,datamine,,
Talent.ID.Talent4,Firemage,4,Intensifying Inferno,Your <rt.absorb>Infernal Wave</> deals <rt.warning>+15% increased damage</> for each of your unique damage over time effects that are active on the target.,6,0,1,Firemage_Bolt,TalentIcon,512,512,datamine,,
Talent.ID.Talent5,Firemage,5,Cascading Inferno,"Each time you cast <rt.absorb>Detonate</> you gain 1 stack of <rt.effect>Cascading Inferno</>, up to 12 stacks.

<rt.effect>Cascading Inferno</>
When you have at least <rt.bold>4 stacks</> your next <rt.absorb>Infernal Wave</> is <rt.bold>Instant Cast</>, has <rt.warning>+100% Critical Strike chance</>, and generates <rt.mana>twice the amout of Cinders</>.

<rt.warning>GRIEVOUS CRITICAL STRIKE</>
Any critical strike chance you have beyond 100% causes a <rt.warning>grievous critical strike</>. <rt.warning>Grievous critical strikes</> increase the base damage of the hit by an amount equal to the overflowing critical strike chance.",4,0,1,T_Icon_Fire_156,TalentIcon,256,256,datamine,,
Talent.ID.Talent6,Firemage,6,Frog Squad,"Your <rt.absorb>Fire Frogs</> ability conjures <rt.bold>2 additional frogs</> and all your <rt.absorb>Fire Frogs</> now leap on enemies <rt.bold>1 additional time</>.

<rt.absorb>Fire Frogs</> deal <rt.warning>20% more damage</>.",1,0,2,T_Nhance_RPG_Icons_HypnoToad,TalentIcon,256,256,datamine,,
Talent.ID.Talent7,Firemage,7,Crash and Burn,"Each time your <rt.absorb>Searing Blaze</> deals damage to an enemy, the cooldown of <rt.absorb>Fire Ball</> is reduced by <rt.bold>0.05 seconds</>.",4,0,1,T_Nhance_RPG_Icons_FireRealm,TalentIcon,256,256,datamine,,
Talent.ID.Talent8,Firemage,8,Rolling Flames,The cooldown of your <rt.absorb>Engulfing Flames</> is reduced by <rt.bold>0.25 seconds</> each time your <rt.absorb>Searing Blaze</> deals damage to an enemy and by <rt.bold>1 second</> each time you cast <rt.absorb>Infernal Wave</>.,5,0,3,Firemage_Dot_01,TalentIcon,512,512,datamine,,
Talent.ID.Talent9,Firemage,9,Spontaneous Combustion,"Each tick of <rt.absorb>Searing Blaze</> & <rt.absorb>Engulfing Flames</> has a <rt.bold>10% chance</> to have <rt.warning>+100% critical strike chance</>.

The chance for <rt.effect>Spontaneous Combustion</> to trigger is increased by <rt.bold>+1% for every 5% critical strike chance</> you have.

<rt.warning>GRIEVOUS CRITICAL STRIKE</>
Any critical strike chance you have beyond 100% causes a <rt.warning>grievous critical strike</>. <rt.warning>Grievous critical strikes</> increase the base damage of the hit by an amount equal to the overflowing critical strike chance.",6,0,1,Tex_r_02,TalentIcon,256,256,datamine,,
Talent.ID.Talent92,Firemage,29,Fiery Resilience (old),"Your <rt.absorb>Flame Ward's</> duration is <rt.bold>extended to 6 seconds</> and now applies an absorb on you for <rt.heal>30% of your maximum health</> that lasts for 6 seconds.

The absorb is applied again when <rt.absorb>Flame Ward</> expires.",4,0,1,T_Nhance_RPG_Fire_61,TalentIcon,256,256,datamine,,
Talent.ID.Talent93,Firemage,28,Spirited Fortitude (old),You take 10% reduced <bold>Area of Effect damage</>.,6,0,1,Barbarian3,TalentIcon,256,256,datamine,,
Talent.ID.Talent94,Firemage,27,Magic Ward (old),You take 10% reduced <bold>Magic Damage</>.,4,0,1,T_Arcane_Scroll,TalentIcon,256,256,datamine,,
Talent.ID.Talent95,Firemage,26,Flickering Cinders (old),Your <rt.absorb>Searing Blaze</> and <rt.absorb>Engulfing Flames</> generate 25% more <rt.mana>Cinders</>.,2,0,1,Firemage_Dot_02,TalentIcon,512,512,datamine,,
Talent.ID.Talent96,Firemage,22,Danger Frogs (old),Your <rt.absorb>Fire Frogs</> deal 20% increased damage over time.,2,0,1,Tex_emerald_5,TalentIcon,256,256,datamine,,
Talent.ID.Talent97,Firemage,23,Infernal Doom (old),"Your <rt.absorb>Detonate</> ability consumes up to <rt.mana>2 Burning Embers</> each cast.

When <rt.absorb>Detonate</> consumes <rt.mana>2 Burning Embers</>, its damage is increased by 100% and you gain 1 stack of <rt.effect>Infernal Doom</> for 8 seconds.

<rt.effect>INFERNAL DOOM</>
Your next <rt.absorb>Infernal Wave</> deals +300% increased damage and causes all enemies afflicted by your <rt.absorb>Searing Blaze</> to flare up, taking fire damage equal to 30% of the damage dealt by your <rt.absorb>Infernal Wave</>.",5,0,3,T_Nhance_RPG_Icons_FireRune_2,TalentIcon,256,256,datamine,,
Talent.ID.Talent98,Firemage,24,Swift Inferno (old),Your <bold>Infernal Wave's</> cast time is reduced by 0.5 seconds.,2,0,1,Pyromancer15,TalentIcon,256,256,datamine,,
Talent.ID.Talent99,Firemage,25,Infernal Doom (old),,5,0,3,T_Nhance_RPG_Icons_FireRune_2,TalentIcon,256,256,datamine,,
Talent.ID.Talent1,Gunde,1,Death's Arc,"Each time you use <rt.absorb>Blood Arc</>, it has a <rt.bold>30% chance</> to instantly reset its cooldown and cause your next <rt.absorb>Blood Arc</> to have <rt.warning>+100% Critical Strike chance</>.

<rt.warning>GRIEVOUS CRITICAL STRIKE</>
Any critical strike chance you have beyond 100% causes a <rt.warning>grievous critical strike</>. <rt.warning>Grievous critical strikes</> increase the base damage of the hit by an amount equal to the overflowing critical strike chance.",1,0,2,T_Nhance_RPG_Icons_NightmarePuppet,TalentIcon,256,256,datamine,,
Talent.ID.Talent10,Gunde,10,Slayer's Grin,Your <rt.absorb>Rupture</> cooldown is reduced by <rt.bold>0.4 seconds</> each time you collect a <rt.effect>Blood Feather</>.,4,0,1,T_Gunde_Rupture,TalentIcon,512,512,datamine,,
Talent.ID.Talent11,Gunde,11,Frenzied Reign,Your <rt.absorb>Reign in Blood</> now causes the direct damage of your abilities that apply <rt.warning>Rend</> to transfer an additional <rt.warning>+25% damage</> to <rt.warning>Rend</>.,4,0,1,T_Gunde_HPDrain,TalentIcon,256,256,datamine,,
Talent.ID.Talent12,Gunde,12,Deep Rend,"Your <rt.warning>Rend</> ticks <rt.warning>10% faster</>, dealing <rt.warning>10% more damage</>.",2,0,1,T_Status_Bleed,TalentIcon,512,512,datamine,,
Talent.ID.Talent13,Gunde,13,Bloodcraze,"Your <rt.absorb>Owed in Blood</> causes you to <rt.warning>pulsate damage</> equal to <rt.warning>25% Strength</> in a 700 radius around you every 3 seconds for 6 seconds.

The damage of <rt.effect>Bloodcraze</> is increased by <rt.warning>150% per stack of</> <rt.effect>Owed in Blood</> <rt.warning>that was consumed</>.

(Damage reduced beyond 1 target)",5,0,3,T_Gunde_SanguineFeast_off,TalentIcon,512,512,datamine,,
Talent.ID.Talent14,Gunde,14,Oathshatter,"Your <rt.absorb>Heart Splitter</> has <rt.warning>+30% increased Critical Strike chance</>.

When the direct damage portion of <rt.absorb>Heart Splitter</> <rt.bold>Critically Strikes</>, it causes <rt.effect>Exsanguinate</> to explode, <rt.warning>dealing 50% of its damage to all enemies near your target</>.

(Damage reduced beyond 8 targets)",5,0,3,T_Gunde_DoubleAxe,TalentIcon,512,512,datamine,,
Talent.ID.Talent15,Gunde,15,Carnage,"Each spin of <rt.absorb>Grim Carve</> reduces the cooldown of your <rt.absorb>Reaver's Edge</>, <rt.absorb>Blood Arc</>, <rt.absorb>Heart Splitter</> and <rt.absorb>Rupture</> by <rt.bold>1 second</> per spin. 

<rt.absorb>Grim Carve</> deals <rt.warning>25% more damage</>.",5,0,3,t_gunde_Healstrike,TalentIcon,512,512,datamine,,
Talent.ID.Talent16,Gunde,16,Superior Serration,Your <rt.absorb>Blood Arc's</> <rt.effect>Serrated Edge</> grants an additional <rt.warning>+10% damage applied to Rend</>.,6,0,1,Gunde_Frontal,TalentIcon,512,512,datamine,,
Talent.ID.Talent17,Gunde,17,Ancestral Instinct,"Your <rt.absorb>Reaver's Edge</> and <rt.absorb>Grim Carve</> have a <rt.bold>40% chance</> to grant you <rt.effect>Ancestral Instinct</>, granting you <rt.warning>6% Strength</> for <rt.bold>6 seconds</>.",6,0,1,Tex_yellow_14,TalentIcon,256,256,datamine,,
Talent.ID.Talent18,Gunde,18,Bloodbath,"Your <rt.absorb>Grim Carve</> grants you <rt.effect>Bloodbath</> for <rt.bold>3 seconds</>, causing your <rt.absorb>Reign in Blood</> ability to gain <rt.meikoability2>+200% Cooldown Acceleration</> for the duration.",4,0,1,T_Nhance_RPG_BloodCombat_22,TalentIcon,256,256,datamine,,
Talent.ID.Talent2,Gunde,2,Raven's Precision,"Your <rt.absorb>Reaver's Edge</> collects all <rt.effect>Blood Feathers</> within a 1000 radius.

Each time you <rt.bold>Pick Up</> or <rt.bold>Collect</> a <rt.effect>Blood Feather</>, it triggers an explosion of blood emanating from you, <rt.warning>dealing 37.4% Strength physical damage</> to nearby enemies.

(damage is reduced beyond 5 targets).",1,0,2,Gunde_AOESwing_01,TalentIcon,256,256,datamine,,
Talent.ID.Talent3,Gunde,3,Grim Harvest,"Your <rt.absorb>Reaver's Edge</>, <rt.absorb>Blood Arc</>, <rt.absorb>Heart Splitter</>, and <rt.absorb>Rupture</> have a <rt.bold>6% chance</> to reset the cooldown of <rt.absorb>Grim Carve</> and grant you <rt.effect>Grim Harvest</> for 8 seconds, causing your next <rt.absorb>Grim Carve</> to have <rt.warning>+100% Critical Strike chance</>.

<rt.warning>GRIEVOUS CRITICAL STRIKE</>
Any critical strike chance you have beyond 100% causes a <rt.warning>grievous critical strike</>. <rt.warning>Grievous critical strikes</> increase the base damage of the hit by an amount equal to the overflowing critical strike chance.",1,0,2,T_Gunde_Sawblade,TalentIcon,512,512,datamine,,
Talent.ID.Talent4,Gunde,4,Harvester's Toll,"Your <rt.absorb>Rupture</> ability grants you <rt.effect>Harvester's Toll</>, <rt.warning>increasing all damage you deal by 7.5%</> for <rt.bold>10 seconds</>.",6,0,1,T_Icon_BloodCombat_143,TalentIcon,256,256,datamine,,
Talent.ID.Talent5,Gunde,5,Crimson strikes,"Your <rt.absorb>Blood Arc</> grants you <rt.effect>Crimson Strikes</>, empowering your next ability that applies <rt.warning>Rend</> with <rt.warning>+15% damage</>.

<rt.effect>Crimson Strikes</> does not interact with your <rt.absorb>Bloodbound Spirit</> ability.",2,0,1,T_Icon_BloodCombat_141,TalentIcon,256,256,datamine,,
Talent.ID.Talent6,Gunde,6,Darkening Hearts,"Your <rt.absorb>Heart Splitter</> deals <rt.warning>10% more Direct Damage</>.

Your <rt.absorb>Heart Splitter</> has <rt.warning>+100% Critical Strike chance</> against <rt.bold>targets with 30% health or less</>.

<rt.warning>GRIEVOUS CRITICAL STRIKE</>
Any critical strike chance you have beyond 100% causes a <rt.warning>grievous critical strike</>. <rt.warning>Grievous critical strikes</> increase the base damage of the hit by an amount equal to the overflowing critical strike chance.",3,0,2,T_Gunde_Cleave,TalentIcon,512,512,datamine,,
Talent.ID.Talent7,Gunde,7,Sundered Flesh,"When your <rt.warning>Rend</> or <rt.effect>Slaughter</> contains more damage than an enemy has left in remaining health, they <rt.warning>instantly take that damage</>.",2,0,1,T_Nhance_RPG_Icons_NightmareAura,TalentIcon,256,256,datamine,,
Talent.ID.Talent8,Gunde,8,Murder of Crows,"Your <rt.absorb>Rupture</> grants you <rt.bold>2 stacks</> of <rt.effect>Murder of Crows</> for <rt.bold>12 seconds</>.

Your next ability that applies <rt.warning>Rend</> consumes 1 stack of <rt.effect>Murder of Crows</> and always triggers a <rt.mana>Spirit Refund</>.",3,0,2,T_Icon_BloodCombat_129,TalentIcon,256,256,datamine,,
Talent.ID.Talent9,Gunde,9,Massacre,"Each <rt.warning>Rend</> that is consumed by your <rt.absorb>Slaughter</> grants you <rt.warning>+0.25% Spirit</> for 8 seconds, up to a maximum of <rt.warning>25% Spirit</>.",3,0,2,T_Gunde_Slaughter,TalentIcon,256,256,datamine,,
Talent.ID.Talent95,Gunde,26,Harvester's Toll,"Your <rt.absorb>Owed in Blood</> ability grants you <rt.effect>Harvester's Toll</>, <rt.warning>increasing all damage you deal by 0.25% per rend stack it applied</> for <rt.bold>10 seconds</>, up to a maximum of 30 stacks.",2,0,1,T_Icon_BloodCombat_143,TalentIcon,256,256,datamine,,
Talent.ID.Talent96,Gunde,22,Oathshatter,"When the direct damage portion of <rt.absorb>Heart Splitter</> <rt.bold>Critically Strikes</>, it causes <rt.effect>Exsanguinate</> to explode, <rt.warning>dealing 20% of its damage to all enemies near your target</>.

Your <rt.absorb>Heart Splitter</> has <rt.warning>+30% increased Critical Strike chance</>.",5,0,3,T_Gunde_DoubleAxe,TalentIcon,512,512,datamine,,
Talent.ID.Talent97,Gunde,23,Bloodcraze,"Your <rt.absorb>Owed in Blood</> causes you to 
<rt.warning>pulsate damage</> equal to <rt.warning>20% Strength</> in a 700 radius around you every 3 seconds for 6 seconds.

The damage of <rt.effect>Bloodcraze</> is increased by <rt.warning>72% per stack of</> <rt.effect>Owed in Blood</> <rt.warning>that was consumed</>.",5,0,3,T_Nhance_RPG_Icons_BloodDrop,TalentIcon,256,256,datamine,,
Talent.ID.Talent98,Gunde,24,Raven's Precision,"Your <rt.absorb>Reaver's Edge</> collects all <rt.effect>Blood Feathers</> within a 700 radius.

Each time you <rt.bold>Pick Up</> or <rt.bold>Collect</> a <rt.effect>Blood Feather</>, it triggers an explosion of blood eminating from you, <rt.warning>dealing 34% Strength physical damage</> to enemies in a 700 radius.

(damage is reduced beyond 8 targets).",3,0,2,T_Gunde_Shockwave,TalentIcon,512,512,datamine,,
Talent.ID.Talent99,Gunde,25,Murder of Crows,Your <rt.absorb>Rupture</> instantly creates <rt.effect>8 Blood Feathers</> around the target.,3,0,2,t_gunde_SingleTargetPain,TalentIcon,256,256,datamine,,
Talent.ID.Talent1,Ink,1,The Motherload,Your <rt.absorb>Chain Lightning</> deals <rt.warning>+65% increased damage</> for each unique enemy other than your target that it hits.,3,0,2,T_Nhance_RPG_Icons_SoulGrave,TalentIcon,256,256,datamine,,
Talent.ID.Talent10,Ink,10,Them Bones,"Your <rt.absorb>Skull Crusher</> has a <rt.bold>30%</> chance to have <rt.warning>+100%</> increased critical strike chance.

<rt.warning>GRIEVOUS CRITICAL STRIKE</>
Any critical strike chance you have beyond 100% causes a <rt.warning>grievous critical strike</>. <rt.warning>Grievous critical strikes</> increase the base damage of the hit by an amount equal to the overflowing critical strike chance.",6,0,1,T_Ink_Skullcrusher,TalentIcon,256,256,datamine,,
Talent.ID.Talent11,Ink,11,Kill Em All,"Your offensive abilities have a <rt.bold>8% chance</> to reset the cooldown of your <rt.absorb>Heavy Strike</> and grant you <rt.bold>2 stacks</> of <rt.effect>Kill Em All</> for <rt.bold>8 seconds</>

While <rt.effect>Kill Em All</> is active, your <rt.absorb>Heavy Strike</> has <rt.meikoability2>+60% Cooldown Acceleration</>.

Your next <rt.Absorb>Heavy Strike</> consumes <rt.bold>1 stack</> of <rt.effect>Kill Em All</>, causing it to deal <rt.warning>150% more damage</>.",5,0,3,Berserker6,TalentIcon,256,256,datamine,,
Talent.ID.Talent12,Ink,12,Killing in the Name,Your <rt.absorb>Culling Strike</> has <rt.warning>+50% increased Critical Strike chance</>.,6,0,1,T_Ink_Cullingstrike,TalentIcon,256,256,datamine,,
Talent.ID.Talent13,Ink,13,Pneuma,"You <rt.absorb>Start each Dungeon</> with <rt.mana>50 Spirit Points</>.

Your <rt.absorb>Culling Strike</> generates <rt.mana>1 Spirit Point</>.",4,0,1,T_Nhance_RPG_Energy_18,TalentIcon,256,256,datamine,,
