id,modifiers_ordinal,attribute,op,value_known,value_curve_ref,value_default,value_unresolved_reason,magnitude_type,detail,detail_kind,detail_data_tag,detail_data_name,detail_calculation_class,detail_coefficient,detail_backing_attribute,detail_pre_add,detail_post_add,detail_source
GE_BossVikingMystic_RuneMinion_Cast_Buff,1,DamageScale,Multiplicitive,1.4,,,,ScalableFloat,registry::VV_BossVikingMystic_RuneMinion.Cast.Buff.DamageScale,scalable_float_reference,,,,,,,,
GE_BossVikingMystic_RuneMinion_Cast_Debuff,0,IncomingDamageMultiplier,Multiplicitive,1.0,,,,ScalableFloat,registry::VV_BossVikingMystic_RuneMinion.Cast.DebuffDamageMultiplier,scalable_float_reference,,,,,,,,
GE_BossVikingMystic_RuneMinion_Cast_HasteBuff,0,Haste,Multiplicitive,1.4,,,,ScalableFloat,registry::VV_BossVikingMystic_RuneMinion.Cast.Buff.HasteMultiplier,scalable_float_reference,,,,,,,,
GE_Bowguy_AimSlow,0,PassiveMoveSpeed,Multiplicitive,0.5,,,,ScalableFloat,registry::Bowguy.AimSlow.MovementMultiplier,scalable_float_reference,,,,,,,,
GE_Bowguy_AoeProjectileDamage_Cost,0,Resources,Additive,,,,the magnitude is computed by a calculation class this dataset does not read,CustomCalc,,custom_calculation,,,,,,,,
GE_Bowguy_CastedBouncyProjectileDamage_Cost,0,Resources,Additive,,,,the magnitude is computed by a calculation class this dataset does not read,CustomCalc,,custom_calculation,,,,,,,,
GE_Bowguy_CastedProjectileHeavyDamage_Cost,0,Resources,Additive,,,,the magnitude is computed by a calculation class this dataset does not read,CustomCalc,,custom_calculation,,,,,,,,
GE_Bowguy_ChanneledMultiProjectileDebuff_Cost,0,Resources,Additive,,,,the magnitude is computed by a calculation class this dataset does not read,CustomCalc,,custom_calculation,,,,,,,,
GE_Bowguy_DurationalAoeDamage_Cost,0,SpiritPoints,Additive,100.0,,,,ScalableFloat,registry::Bowguy.DurationalAoeDamage.Cost,scalable_float_reference,,,,,,,,
GE_Bowguy_ProcHasteBuff_Buff,0,Haste,Additive,0.3,,,,ScalableFloat,registry::Bowguy.ProcHasteBuff.HasteIncrease,scalable_float_reference,,,,,,,,
GE_Bowguy_ReducedCostCooldownRecoveryBuff_CooldownRecoveryBuff,0,CooldownRecovery,MultiplyCompound,,,,"the magnitude is supplied by whatever applies this effect, not by the effect",SetByCaller,,set_by_caller,SetByCaller.CooldownRecovery,None,,,,,,
GE_Bowguy_ReducedCostCooldownRecoveryBuff_Cost,0,SpiritPoints,Additive,,,,the magnitude is computed by a calculation class this dataset does not read,CustomCalc,,custom_calculation,,,,,,,,
GE_Bowguy_ReducedCostCooldownRecoveryBuff_SelfBuff,0,DamageScale,MultiplyCompound,1.2,,,,ScalableFloat,registry::Bowguy.ReducedCostCooldownRecoveryBuff.DamageMultiplier,scalable_float_reference,,,,,,,,
GE_Bowguy_SelfDefenceBuff_SelfBuff,0,IncomingDamageMultiplier,MultiplyCompound,0.6,,,,ScalableFloat,registry::Bowguy.SelfDefenceBuff.IncomingDamageMultiplier,scalable_float_reference,,,,,,,,
GE_Bowguy_SingleProjectileDamage_Cost,0,Resources,Additive,,,,the magnitude is computed by a calculation class this dataset does not read,CustomCalc,,custom_calculation,,,,,,,,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_IncreasedIncomingDamageDebuff_OwnerEffect,0,IncomingDamageMultiplier,Multiplicitive,1.08,,,,ScalableFloat,registry::Bowguy.CastedProjectileHeavyDamage.Talent.IncreasedIncomingDamageDebuff.IncomingDamageMultiplier,scalable_float_reference,,,,,,,,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_NoBounceBuff_SelfBuff,0,Expertise,Additive,0.02,,,,ScalableFloat,registry::Bowguy.CastedProjectileHeavyDamage.Talent.NoBounceBuff.ExpertiseAdded,scalable_float_reference,,,,,,,,
GE_Bowguy_Talent_IncomingAoeDamageReduction,0,Avoidance,Additive,0.1,,,,ScalableFloat,registry::Bowguy.Talent.IncomingAoeDamageReduction.AdditionalAvoidance,scalable_float_reference,,,,,,,,
GE_Bowguy_Talent_IncreasedCritChanceAtLowHealth,0,CritChance,Additive,0.2,,,,ScalableFloat,registry::Bowguy.Talent.IncreasedCritChanceAtLowHealth.AdditionalCritChance,scalable_float_reference,,,,,,,,
GE_Bowguy_Talent_IncreasedMovementSpeed,0,PassiveMoveSpeed,MultiplyCompound,1.2,,,,ScalableFloat,registry::Bowguy.Talent.IncreasedMovementSpeed.SpeedMultiplier,scalable_float_reference,,,,,,,,
GE_Bowguy_Talent_ReducedIncomingMagicDamage,0,MagicalIncomingDamageMultiplier,MultiplyCompound,0.9,,,,ScalableFloat,registry::Bowguy.Talent.ReducedIncomingMagicDamage.DamageMultiplier,scalable_float_reference,,,,,,,,
GE_Bowguy_TargetedAoeDamage_Cost,0,Resources,Additive,,,,the magnitude is computed by a calculation class this dataset does not read,CustomCalc,,custom_calculation,,,,,,,,
GE_Bowguy_TargetedAoePull_Slow,0,MoveSpeed,Multiplicitive,0.35,,,,ScalableFloat,registry::Bowguy.TargetedAoePull.Debuff.MoveSpeedMultiplier,scalable_float_reference,,,,,,,,
GE_CM_BlackburnMantrader_CastedRangedProjectile_SlowDebuff,0,MoveSpeed,Multiplicitive,0.6,,,,ScalableFloat,registry::CM_BlackburnMantrader.CastedRangedProjectile.Debuff.MovementSpeedMultiplier,scalable_float_reference,,,,,,,,
GE_CM_BossAina_CastHealDebuff_Debuff,0,IncomingHealSign,Override,-1.0,,,,ScalableFloat,,,,,,,,,,
GE_CM_BossAina_PlacedSlowAoe_SlowEffect,0,MoveSpeed,Multiplicitive,0.5,,,,ScalableFloat,registry::CM_BossAina.PlacedSlowAOE.Area.MovementSpeedMultiplier,scalable_float_reference,,,,,,,,
GE_CM_BossTroll_FallingRocks_Slow,0,MoveSpeed,Multiplicitive,0.8,,,,ScalableFloat,registry::CM_BossTroll.FallingRock.CrumbleAoe.MovementSpeedMultiplier,scalable_float_reference,,,,,,,,
GE_CM_BossTroll_FinalEnrageHealth,0,MinHealth,Override,1.0,,,,ScalableFloat,,,,,,,,,,
GE_CM_BossYrsa_Aina_Shared_Enrage_FinalBuff,0,DamageScale,Multiplicitive,1.1,,,,ScalableFloat,registry::CM_BossYrsa.Shared.EnragePassive.OutgoingDamageMultiplierPerStack,scalable_float_reference,,,,,,,,
GE_CM_BossYrsa_Aina_Shared_Enrage_StackingBuff,0,DamageScale,Multiplicitive,1.1,,,,ScalableFloat,registry::CM_BossYrsa.Shared.EnragePassive.OutgoingDamageMultiplierPerStack,scalable_float_reference,,,,,,,,
GE_CM_EarthElemental_CastAoeDamage_Debuff,0,IncomingDamageMultiplier,Multiplicitive,1.1,,,,ScalableFloat,registry::CM_EarthElemental.CastAoeDamage.Debuff.DamageTakenFromThisMultiplier,scalable_float_reference,,,,,,,,
GE_CM_EarthElemental_EarthBreaker_Slow,0,MoveSpeed,Multiplicitive,0.4,,,,ScalableFloat,registry::CM_EarthElemental.EarthBreaker.MovementSpeedMultiplier,scalable_float_reference,,,,,,,,
GE_CM_ElfEnforcer_TankSlam_Debuff,0,Armor,Multiplicitive,0.8,,,,ScalableFloat,registry::CM_ElfEnforcer.TankSlam.ArmorMultiplier,scalable_float_reference,,,,,,,,
GE_CM_ElfInterrogator_IncreaseDamageTakenDebuff,0,IncomingDamageMultiplier,Additive,0.01,,,,ScalableFloat,registry::CM_ElfInterrogator.IncreaseDamageTakenDebuff.PercentageDamageBonus,scalable_float_reference,,,,,,,,
GE_CM_ElfInterrogator_PoisonDagger_ConvertHealingDebuff,0,IncomingHealMultiplier,Multiplicitive,,CM_ElfInterrogator.PoisonDagger.ReducedHealingTakenDebuff.HealSign,,,ScalableFloat,registry::CM_ElfInterrogator.PoisonDagger.ReducedHealingTakenDebuff.HealSign,scalable_float_reference,,,,,,,,
GE_CM_RubiliteAurastone_Vulnerable_SelfStun,0,IncomingDamageMultiplier,Multiplicitive,4.0,,,,ScalableFloat,registry::CM_RubiliteAurastone.Vulnerable.IncomingDamageMultiplier,scalable_float_reference,,,,,,,,
GE_CM_RubiliteFocus_Vulnerable_SelfStun,0,IncomingDamageMultiplier,Multiplicitive,4.0,,,,ScalableFloat,registry::CM_RubiliteAurastone.Vulnerable.IncomingDamageMultiplier,scalable_float_reference,,,,,,,,
GE_DD_Arbalist_LineAttack_Debuff,0,Strength,MultiplyCompound,0.75,,,,ScalableFloat,registry::DD_Arbalist.LineAttack.Debuff.MainStatMultiplier,scalable_float_reference,,,,,,,,
GE_DD_Arbalist_LineAttack_Debuff,1,Intellect,MultiplyCompound,0.75,,,,ScalableFloat,registry::DD_Arbalist.LineAttack.Debuff.MainStatMultiplier,scalable_float_reference,,,,,,,,
GE_DD_Arbalist_LineAttack_Debuff,2,Agility,MultiplyCompound,0.75,,,,ScalableFloat,registry::DD_Arbalist.LineAttack.Debuff.MainStatMultiplier,scalable_float_reference,,,,,,,,
GE_DD_Arbalist_LineAttack_Debuff,3,BlockChance,MultiplyCompound,0.75,,,,ScalableFloat,registry::DD_Arbalist.LineAttack.Debuff.BlockMultiplier,scalable_float_reference,,,,,,,,
GE_DD_Arbalist_LineAttack_Debuff,4,ParryChance,MultiplyCompound,0.75,,,,ScalableFloat,registry::DD_Arbalist.LineAttack.Debuff.ParryMultiplier,scalable_float_reference,,,,,,,,
GE_DD_Arbalist_LineAttack_Debuff,5,DodgeChance,MultiplyCompound,0.75,,,,ScalableFloat,registry::DD_Arbalist.LineAttack.Debuff.DodgeMultiplier,scalable_float_reference,,,,,,,,
GE_DD_BossCadavrianMagi_MoonCast_Slow,0,MoveSpeed,Multiplicitive,0.5,,,,ScalableFloat,registry::DD_BossCadavrianMagi.MoonCast.Slow.MovementSpeedMultiplier,scalable_float_reference,,,,,,,,
GE_DD_DesertNomad_MeleeAutoAttack_Buff,0,Haste,Additive,0.02,,,,ScalableFloat,registry::DD_DesertNomad.MeleeAutoAttack.Buff.HasteGainPerStack,scalable_float_reference,,,,,,,,
GE_DD_NightboundMagi_CastedPartyAoeDebuff_Debuff,0,MagicalIncomingDamageMultiplier,MultiplyCompound,1.5,,,,ScalableFloat,registry::DD_NightboundMagi.CastedPartyAoeDebuff.Debuff.IncomingMagicDamageScaler,scalable_float_reference,,,,,,,,
GE_DD_NightboundMagi_ChanneledFriendlyBuff_Buff,0,DamageScale,Multiplicitive,,DD_NightboundMagi.ChanneledFriendlyBuff.DamageScaleIncrease,,,ScalableFloat,registry::DD_NightboundMagi.ChanneledFriendlyBuff.DamageScaleIncrease,scalable_float_reference,,,,,,,,
GE_DM_ClockworkRat_MoveToTarget_Buff,0,MoveSpeed,Multiplicitive,0.45,,,,ScalableFloat,registry::DM_WinterTrickster.ThrowHomingBomb.Rat.MoveToTarget.MovementSpeedMod,scalable_float_reference,,,,,,,,
GE_DM_ClockworkRat_SaveSelf,0,Health,Override,1.0,,,,AttributeBased,,attribute_based,,,,1.0,MaxHealth,0.0,0.0,Source
GE_DM_Shared_CappedDifficultyDamageScale,0,DifficultyDamageScale,Override,,,,the magnitude is computed by a calculation class this dataset does not read,CustomCalc,,custom_calculation,,,,,,,,
GE_DM_WinterGiantFriendly_BossChannelDamage_OutOfCombat,0,DamageThreatMultiplier,Override,0.0,,,,ScalableFloat,,,,,,,,,,
GE_DM_WinterGiant_CastSoakDebuff_Debuff,0,Armor,Multiplicitive,0.8,,,,ScalableFloat,registry::DM_WinterGiant.CastSoakDebuff.Debuff.ArmorDecreasePerStack,scalable_float_reference,,,,,,,,
GE_DM_WinterTrickster_DropBuffs_HasteAndMovementSpeedBuff,0,Haste,Multiplicitive,1.2,,,,ScalableFloat,registry::DM_WinterTrickster.DropBuffs.Buff.HasteAddMult,scalable_float_reference,,,,,,,,
GE_DM_WinterTrickster_DropBuffs_HasteAndMovementSpeedBuff,1,MoveSpeed,Multiplicitive,1.2,,,,ScalableFloat,registry::DM_WinterTrickster.DropBuffs.Buff.MovementSpeedAddMult,scalable_float_reference,,,,,,,,
GE_DM_WinterWitch_ChannelAoeDamage_SlowDebuff,0,MoveSpeed,Multiplicitive,0.7,,,,ScalableFloat,registry::DM_WinterWitch.ChannelAoeDamage.Debuff.MovementSpeedMultiplierPerStack,scalable_float_reference,,,,,,,,
GE_DR_BarbedRoot_Grip_Slow,0,MoveSpeed,MultiplyCompound,0.35,,,,ScalableFloat,registry::DR_BarbedRoot.Grip.Slow.MovementSpeedMultiplier,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_BeamHeroDebuff_DamageIncrease,0,DamageScale,Multiplicitive,1.3,,,,ScalableFloat,registry::DR_BossCultLeader.SoakBeam.BossBuffDamageMultiplier,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_BeamNPCDebuff_DamageIncrease,0,DamageScale,Multiplicitive,1.3,,,,ScalableFloat,registry::DR_BossCultLeader.SoakBeam.BossBuffDamageMultiplier,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_BloodPoolSlow,0,MoveSpeed,Multiplicitive,0.4,,,,ScalableFloat,registry::DR_BossCultLeader.SacrificeBlood.MovementSpeedMultiplier,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_BloodPoolSlow,1,IncomingDamageMultiplier,MultiplyCompound,2.0,,,,ScalableFloat,registry::DR_BossCultLeader.SacrificeBlood.DamageTakenMultiplier,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_BloodPool_SelfBuff,0,DamageScale,Multiplicitive,1.5,,,,ScalableFloat,registry::DR_BossCultLeader.SacrificeBlood.SelfBuff.DamageScale,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_BloodPool_SelfBuff,1,SizeScale,Multiplicitive,1.2,,,,ScalableFloat,registry::DR_BossCultLeader.SacrificeBlood.SelfBuff.SizeScale,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_BloodPool_SelfBuff_Linger,0,DamageScale,Multiplicitive,1.5,,,,ScalableFloat,registry::DR_BossCultLeader.SacrificeBlood.SelfBuff.DamageScale,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_BloodPool_SelfBuff_Linger,1,SizeScale,Multiplicitive,1.2,,,,ScalableFloat,registry::DR_BossCultLeader.SacrificeBlood.SelfBuff.SizeScale,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_ChoosenBuff,0,SizeScale,Multiplicitive,1.5,,,,ScalableFloat,registry::DR_BossCultLeader.ChosenRitualistSizeBuff,scalable_float_reference,,,,,,,,
GE_DR_BossCultLeader_Grip_Slow,0,MoveSpeed,MultiplyCompound,0.35,,,,ScalableFloat,registry::NP_HalfMancatcher.Grip.Slow.MovementSpeedMultiplier,scalable_float_reference,,,,,,,,
GE_DR_BossDemonPlant_WakeUpAdds_SelfDebuff,0,IncomingDamageMultiplier,MultiplyCompound,1.1,,,,ScalableFloat,registry::DR_BossDemonPlant.WakeUpAdds.IncomingDamageMultiplier,scalable_float_reference,,,,,,,,
GE_DR_BossGateWizard_KickFootballDebuff,0,IncomingDamageMultiplier,MultiplyCompound,1.1,,,,ScalableFloat,registry::DR_BossGateWizard.Football.Debuff.IncreasedDamageTaken,scalable_float_reference,,,,,,,,
GE_DR_BossSummonedDemon_Debuff,0,IncomingDamageMultiplier,MultiplyCompound,0.05,,,,ScalableFloat,registry::DR_BossSummonedDemon.Debuff.IncreasedDamageTakenPerStack,scalable_float_reference,,,,,,,,
GE_DR_BossSummonedDemon_Enrage,0,SizeScale,Additive,0.33,,,,ScalableFloat,registry::DR_BossSummonedDemon.Enrage.IncreasedSize,scalable_float_reference,,,,,,,,
GE_DR_BossSummonedDemon_Enrage,1,DamageScale,Multiplicitive,1.2,,,,ScalableFloat,registry::DR_BossSummonedDemon.Enrage.IncreasedDamage,scalable_float_reference,,,,,,,,
